"id","annual_earnings","education","age","religion","sex","residence"
103,12747,12,40,"Hindu","Male","Rural"
104,7047,0,31,"Hindu","Female","Rural"
105,5930,9,48,"Hindu","Female","Rural"
106,260276,15,40,"Hindu","Male","Urban"
107,6435,8,38,"Hindu","Male","Urban"
108,185788,12,44,"Muslim","Female","Rural"
109,17011,7,42,"Hindu","Male","Rural"
110,7535,0,30,"Hindu","Female","Rural"
111,6283,0,29,"Hindu","Female","Rural"
112,8482,2,18,"Hindu","Female","Rural"
113,25995,9,58,"Hindu","Male","Rural"
114,45884,1,52,"Hindu","Male","Rural"
115,10723,0,42,"Hindu","Male","Rural"
116,52392,6,18,"Tribal","Male","Rural"
117,12297,1,43,"Hindu","Male","Rural"
118,10535,5,31,"Hindu","Female","Rural"
119,39960,11,28,"Muslim","Male","Urban"
120,17328,15,45,"Hindu","Male","Urban"
121,58405,0,36,"Hindu","Male","Rural"
122,17122,9,39,"Hindu","Female","Rural"
123,92744,7,18,"Hindu","Male","Urban"
124,28942,0,55,"Hindu","Male","Rural"
125,10592,0,46,"Hindu","Male","Rural"
126,24706,5,37,"Sikh","Female","Rural"
127,56028,1,55,"Hindu","Male","Rural"
128,58303,1,43,"Hindu","Male","Rural"
129,9595,0,38,"Hindu","Female","Rural"
130,53728,0,44,"Hindu","Male","Rural"
131,22808,0,18,"Hindu","Male","Rural"
132,85445,8,56,"Hindu","Male","Rural"
133,16558,3,47,"Hindu","Male","Rural"
134,22110,0,30,"Hindu","Female","Rural"
135,2981,15,21,"Hindu","Female","Rural"
136,30065,0,59,"Hindu","Male","Rural"
137,58948,11,20,"Hindu","Male","Rural"
138,72422,7,58,"Hindu","Male","Rural"
139,142023,10,29,"Hindu","Male","Rural"
140,23354,7,27,"Hindu","Female","Rural"
141,30542,0,19,"Hindu","Male","Rural"
142,12603,15,30,"Hindu","Male","Urban"
143,67824,7,65,"Hindu","Male","Rural"
144,138635,7,52,"Hindu","Female","Rural"
145,134084,14,18,"Hindu","Male","Urban"
146,94236,15,36,"Hindu","Male","Rural"
147,18279,12,51,"Hindu","Female","Rural"
148,42238,1,20,"Muslim","Male","Rural"
149,443300,7,57,"Hindu","Male","Urban"
150,67619,15,44,"Sikh","Male","Rural"
151,74544,5,18,"Christian","Male","Urban"
152,52570,10,42,"Tribal","Female","Urban"
153,61332,7,43,"Hindu","Male","Rural"
154,4414,1,43,"Muslim","Female","Rural"
155,41367,7,31,"Hindu","Male","Rural"
156,991453,8,31,"Sikh","Male","Rural"
157,52129,0,45,"Hindu","Male","Urban"
158,45588,12,34,"Hindu","Male","Rural"
159,10493,0,65,"Hindu","Male","Rural"
160,4127,0,50,"Hindu","Male","Rural"
161,20073,0,26,"Hindu","Male","Rural"
162,12710,13,35,"Hindu","Male","Rural"
163,33629,5,31,"Hindu","Male","Rural"
164,35525,1,38,"Hindu","Male","Urban"
165,20769,9,52,"Hindu","Male","Rural"
166,32404,5,27,"Christian","Male","Urban"
167,1399,3,23,"Hindu","Female","Rural"
168,36504,3,30,"Hindu","Female","Rural"
169,33382,7,39,"Hindu","Male","Rural"
170,16103,0,41,"Hindu","Male","Rural"
171,76718,4,52,"Muslim","Male","Rural"
172,6248,5,47,"Muslim","Female","Rural"
173,127550,14,47,"Christian","Female","Rural"
174,4655,6,34,"Hindu","Female","Rural"
175,35508,5,35,"Hindu","Male","Rural"
176,31625,0,36,"Muslim","Male","Urban"
177,6495,2,29,"Hindu","Male","Urban"
178,191468,0,51,"Hindu","Male","Rural"
179,16244,0,48,"Hindu","Male","Rural"
180,204965,14,31,"Hindu","Male","Rural"
181,19983,1,43,"Muslim","Male","Rural"
182,193876,15,43,"Hindu","Female","Urban"
183,649221,0,50,"Christian","Male","Rural"
184,68890,0,44,"Sikh","Male","Rural"
185,44181,0,26,"Hindu","Male","Rural"
186,4209,0,42,"Hindu","Male","Rural"
187,64069,0,51,"Hindu","Male","Rural"
188,23924,6,24,"Hindu","Male","Rural"
189,12452,6,27,"Hindu","Male","Rural"
190,46373,5,43,"Hindu","Male","Urban"
191,24858,0,38,"Hindu","Female","Urban"
192,9325,9,50,"Hindu","Female","Rural"
193,46254,3,44,"Hindu","Male","Rural"
194,26196,0,53,"Hindu","Male","Rural"
195,278381,15,47,"Sikh","Male","Urban"
196,1758,4,65,"Hindu","Female","Rural"
197,51011,4,42,"Hindu","Male","Rural"
198,1965,0,52,"Hindu","Female","Rural"
199,121956,15,41,"Tribal","Male","Urban"
200,1812,0,33,"Hindu","Female","Rural"
201,12690,0,46,"Hindu","Female","Rural"
202,89446,13,46,"Hindu","Male","Urban"
203,19395,0,26,"Hindu","Male","Rural"
204,58667,0,46,"Hindu","Male","Rural"
205,19335,10,33,"Hindu","Female","Urban"
206,82710,11,40,"Hindu","Male","Rural"
207,83285,8,31,"Hindu","Male","Rural"
208,8588,0,31,"Hindu","Female","Rural"
209,32165,5,65,"Muslim","Female","Rural"
210,259318,14,48,"Hindu","Male","Urban"
211,7213,9,35,"Hindu","Female","Rural"
212,16750,13,48,"Hindu","Male","Rural"
213,23966,10,36,"Hindu","Male","Rural"
214,7252,1,18,"Hindu","Male","Rural"
215,721576,5,34,"Hindu","Male","Urban"
216,6757,14,43,"Muslim","Female","Rural"
217,5272,13,35,"Hindu","Female","Rural"
218,112835,3,42,"Muslim","Male","Rural"
219,4950,6,35,"Hindu","Female","Rural"
220,41594,0,40,"Muslim","Male","Urban"
221,113752,0,64,"Muslim","Male","Rural"
222,54321,14,36,"Muslim","Male","Rural"
223,34841,0,35,"Hindu","Male","Urban"
224,4803,0,20,"Hindu","Male","Rural"
225,32884,9,36,"Hindu","Male","Rural"
226,16026,8,29,"Hindu","Female","Urban"
227,50524,11,31,"Muslim","Female","Urban"
228,8598,1,47,"Hindu","Female","Rural"
229,83505,1,31,"Sikh","Male","Rural"
230,3397,0,44,"Hindu","Male","Rural"
231,5143,4,32,"Hindu","Female","Rural"
232,17143,9,45,"Hindu","Male","Urban"
233,2454,6,35,"Hindu","Female","Rural"
234,90324,12,35,"Hindu","Male","Urban"
235,113591,15,58,"Christian","Male","Rural"
236,42850,0,23,"Hindu","Male","Rural"
237,27964,5,60,"Hindu","Male","Urban"
238,9600,5,52,"Muslim","Female","Rural"
239,53462,15,32,"Hindu","Male","Urban"
240,7542,1,34,"Muslim","Male","Rural"
241,5455,0,46,"Hindu","Female","Rural"
242,16427,15,31,"Sikh","Male","Rural"
243,4491,9,32,"Hindu","Female","Rural"
244,17573,7,25,"Hindu","Male","Rural"
245,116481,12,26,"Hindu","Female","Urban"
246,51862,9,47,"Hindu","Male","Urban"
247,14859,0,28,"Muslim","Male","Rural"
248,5491,0,38,"Hindu","Female","Rural"
249,135748,15,39,"Hindu","Female","Urban"
250,23993,3,50,"Hindu","Male","Rural"
251,54422,7,18,"Hindu","Female","Rural"
252,144863,6,32,"Hindu","Male","Urban"
253,3010,4,45,"Hindu","Male","Rural"
254,6218,2,57,"Hindu","Male","Rural"
255,41489,8,32,"Hindu","Male","Rural"
256,66331,0,54,"Hindu","Female","Urban"
257,40078,4,39,"Hindu","Male","Rural"
258,11159,6,28,"Tribal","Male","Rural"
259,4671,5,37,"Hindu","Female","Rural"
260,83545,4,47,"Muslim","Male","Rural"
261,27326,3,40,"Hindu","Male","Rural"
262,64058,2,37,"Hindu","Male","Rural"
263,7224,7,21,"Hindu","Male","Rural"
264,5310,0,18,"Hindu","Male","Rural"
265,9022,0,30,"Christian","Male","Rural"
266,26303,0,47,"Hindu","Male","Urban"
267,10029,2,29,"Hindu","Female","Rural"
268,21136,7,54,"Christian","Female","Rural"
269,57114,13,25,"Hindu","Female","Rural"
270,78711,6,44,"Hindu","Male","Urban"
271,8343,1,31,"Hindu","Male","Urban"
272,19069,0,29,"Sikh","Male","Rural"
273,98350,7,38,"Muslim","Male","Rural"
274,8547,1,39,"Hindu","Male","Rural"
275,15773,10,34,"Sikh","Female","Rural"
276,6534,12,32,"Hindu","Male","Rural"
277,15675,5,18,"Hindu","Male","Urban"
278,41471,0,34,"Hindu","Male","Rural"
279,12505,2,39,"Muslim","Female","Rural"
280,6008,0,42,"Hindu","Male","Rural"
281,193431,9,40,"Hindu","Male","Urban"
282,113138,4,42,"Hindu","Male","Rural"
283,20940,5,61,"Hindu","Female","Rural"
284,15321,3,24,"Christian","Male","Rural"
285,14173,7,26,"Hindu","Male","Urban"
286,16283,7,46,"Hindu","Female","Rural"
287,46721,14,55,"Muslim","Female","Rural"
288,4603,0,42,"Hindu","Male","Rural"
289,36972,3,40,"Hindu","Male","Rural"
290,218917,15,53,"Hindu","Female","Urban"
291,39685,5,21,"Muslim","Female","Rural"
292,5231,3,54,"Hindu","Female","Rural"
293,32195,6,46,"Hindu","Male","Rural"
294,15758,14,31,"Hindu","Male","Urban"
295,9590,0,36,"Hindu","Male","Rural"
296,182721,8,58,"Hindu","Male","Rural"
297,14566,8,29,"Hindu","Female","Urban"
298,25752,10,55,"Hindu","Male","Rural"
299,12413,15,65,"Hindu","Male","Urban"
300,68152,15,50,"Hindu","Female","Rural"
301,31462,7,59,"Hindu","Male","Rural"
302,373116,11,29,"Muslim","Male","Urban"
303,33288,10,32,"Hindu","Male","Rural"
304,9292,3,42,"Hindu","Female","Rural"
305,185226,5,54,"Hindu","Male","Urban"
306,3732,0,45,"Muslim","Female","Urban"
307,5682,12,26,"Muslim","Female","Urban"
308,84383,2,31,"Hindu","Male","Rural"
309,17235,0,57,"Hindu","Male","Rural"
310,12434,2,47,"Hindu","Male","Rural"
311,12039,0,43,"Hindu","Female","Rural"
312,8218,1,31,"Hindu","Female","Urban"
313,395970,15,20,"Hindu","Female","Rural"
314,9901,10,18,"Hindu","Female","Rural"
315,40683,1,44,"Hindu","Female","Rural"
316,48354,8,48,"Hindu","Male","Urban"
317,22484,1,50,"Muslim","Male","Urban"
318,129102,15,21,"Hindu","Male","Urban"
319,119520,4,18,"Muslim","Male","Urban"
320,101445,3,41,"Christian","Female","Rural"
321,4616,0,31,"Hindu","Male","Rural"
322,13992,8,38,"Hindu","Male","Rural"
323,35741,9,54,"Hindu","Male","Rural"
324,21937,3,46,"Sikh","Male","Rural"
325,42261,15,30,"Hindu","Female","Rural"
326,19751,4,48,"Hindu","Female","Rural"
327,928,6,27,"Hindu","Female","Rural"
328,53719,6,54,"Hindu","Male","Urban"
329,2446,0,32,"Hindu","Male","Rural"
330,92409,7,29,"Hindu","Male","Urban"
331,54723,15,45,"Hindu","Female","Rural"
332,18612,3,41,"Hindu","Female","Rural"
333,77229,15,62,"Sikh","Female","Rural"
334,10292,7,36,"Hindu","Male","Rural"
335,5232,0,18,"Hindu","Female","Rural"
336,41931,8,41,"Hindu","Male","Rural"
337,152388,14,64,"Hindu","Female","Rural"
338,19450,6,33,"Hindu","Male","Rural"
339,56012,7,43,"Hindu","Female","Rural"
340,62863,11,63,"Hindu","Male","Rural"
341,23213,2,50,"Hindu","Male","Urban"
342,5853,0,47,"Hindu","Male","Rural"
343,102687,9,43,"Hindu","Male","Urban"
344,147872,15,33,"Hindu","Female","Rural"
345,235634,10,42,"Hindu","Male","Urban"
346,77637,5,33,"Hindu","Male","Urban"
347,31453,15,27,"Hindu","Female","Rural"
348,10465,0,38,"Muslim","Male","Rural"
349,125567,5,56,"Hindu","Male","Urban"
350,37483,14,47,"Hindu","Male","Rural"
351,6800,0,27,"Sikh","Female","Rural"
352,2118,7,37,"Hindu","Female","Rural"
353,30153,6,36,"Muslim","Male","Rural"
354,34836,0,32,"Hindu","Male","Urban"
355,7611,3,36,"Hindu","Male","Rural"
356,45683,4,45,"Hindu","Male","Urban"
357,4836,3,55,"Hindu","Female","Rural"
358,32451,7,45,"Hindu","Male","Rural"
359,7238,4,46,"Hindu","Female","Rural"
360,5457,0,23,"Hindu","Female","Rural"
361,174929,14,34,"Hindu","Male","Urban"
362,69478,15,65,"Hindu","Male","Rural"
363,11006,1,37,"Hindu","Male","Urban"
364,100808,5,27,"Hindu","Female","Rural"
365,77520,4,27,"Hindu","Male","Urban"
366,24090,15,42,"Hindu","Female","Urban"
367,24182,10,42,"Hindu","Male","Rural"
368,11683,1,50,"Hindu","Male","Rural"
369,73028,15,40,"Hindu","Male","Urban"
370,225444,9,26,"Hindu","Female","Rural"
371,28508,1,30,"Hindu","Male","Rural"
372,24066,10,51,"Muslim","Female","Rural"
373,5258,0,30,"Hindu","Male","Rural"
374,17501,1,30,"Hindu","Male","Rural"
375,83452,0,31,"Hindu","Female","Rural"
376,25575,7,34,"Hindu","Male","Urban"
377,666490,11,19,"Hindu","Male","Urban"
378,8665,0,37,"Hindu","Male","Rural"
379,14978,0,47,"Hindu","Male","Rural"
380,37616,2,50,"Hindu","Male","Rural"
381,32623,4,49,"Hindu","Male","Rural"
382,10940,0,42,"Muslim","Female","Rural"
383,16469,4,28,"Hindu","Male","Rural"
384,10682,3,36,"Hindu","Female","Rural"
385,230917,15,57,"Hindu","Male","Rural"
386,17200,6,26,"Hindu","Male","Rural"
387,78931,3,47,"Muslim","Male","Urban"
388,6883,0,30,"Hindu","Male","Rural"
389,54656,12,64,"Christian","Male","Rural"
390,73594,15,47,"Hindu","Female","Urban"
391,41979,13,44,"Hindu","Male","Rural"
392,27659,15,48,"Hindu","Female","Rural"
393,95405,15,22,"Hindu","Male","Urban"
394,35412,1,30,"Hindu","Male","Rural"
395,14702,4,37,"Hindu","Male","Rural"
396,117009,11,33,"Hindu","Female","Urban"
397,24129,7,39,"Hindu","Female","Urban"
398,67667,11,29,"Hindu","Male","Urban"
399,5228,1,38,"Hindu","Male","Rural"
400,9855,15,38,"Muslim","Male","Rural"
401,427516,15,36,"Hindu","Female","Urban"
402,19419,6,52,"Hindu","Male","Rural"
403,8302,1,53,"Hindu","Male","Rural"
404,3363,2,32,"Hindu","Female","Rural"
405,7746,6,31,"Hindu","Male","Rural"
406,28783,10,36,"Hindu","Male","Rural"
407,10951,11,41,"Tribal","Male","Rural"
408,73111,7,32,"Hindu","Male","Urban"
409,45653,14,61,"Hindu","Male","Rural"
410,380956,15,44,"Hindu","Female","Urban"
411,7938,2,38,"Hindu","Female","Rural"
412,6724,9,20,"Hindu","Female","Rural"
413,21613,14,38,"Hindu","Female","Urban"
414,364794,15,36,"Hindu","Male","Urban"
415,6433,1,48,"Muslim","Female","Rural"
416,11689,0,33,"Buddhist","Male","Rural"
417,6185,6,27,"Hindu","Male","Rural"
418,7516,6,18,"Hindu","Male","Rural"
419,46022,15,54,"Hindu","Male","Urban"
420,71283,12,23,"Hindu","Male","Urban"
421,69825,6,30,"Muslim","Male","Rural"
422,18490,4,58,"Hindu","Male","Urban"
423,157236,2,29,"Muslim","Male","Rural"
424,19853,0,54,"Hindu","Male","Rural"
425,5987,4,20,"Muslim","Female","Rural"
426,38665,12,24,"Hindu","Female","Rural"
427,135141,15,41,"Hindu","Male","Rural"
428,46010,0,33,"Hindu","Male","Rural"
429,29585,0,42,"Hindu","Female","Rural"
430,24932,6,25,"Hindu","Male","Rural"
431,14160,1,61,"Hindu","Male","Urban"
432,14901,15,29,"Hindu","Female","Rural"
433,58865,4,39,"Hindu","Male","Rural"
434,75598,4,42,"Hindu","Male","Rural"
435,23096,0,30,"Hindu","Male","Rural"
436,4770,0,22,"Hindu","Female","Rural"
437,38673,4,32,"Hindu","Male","Rural"
438,11524,4,32,"Hindu","Male","Urban"
439,8349,2,25,"Hindu","Male","Rural"
440,10880,0,48,"Muslim","Female","Rural"
441,25909,1,31,"Hindu","Female","Urban"
442,16679,0,44,"Hindu","Female","Rural"
443,14638,10,51,"Muslim","Female","Rural"
444,71093,4,30,"Hindu","Male","Urban"
445,34151,0,52,"Hindu","Female","Rural"
446,20869,3,33,"Hindu","Male","Rural"
447,9320,4,41,"Muslim","Male","Rural"
448,36068,15,51,"Hindu","Male","Rural"
449,43127,7,34,"Hindu","Male","Rural"
450,13556,5,30,"Hindu","Male","Rural"
451,107742,4,35,"Hindu","Male","Urban"
452,25612,0,49,"Muslim","Female","Rural"
453,161120,0,39,"Hindu","Male","Urban"
454,25799,6,40,"Hindu","Female","Rural"
455,63334,9,34,"Hindu","Male","Rural"
456,20107,5,42,"Hindu","Male","Rural"
457,34607,0,33,"Hindu","Male","Rural"
458,45194,14,54,"Hindu","Male","Rural"
459,10646,7,48,"Hindu","Male","Rural"
460,4895,6,65,"Muslim","Female","Rural"
461,10516,2,33,"Hindu","Male","Rural"
462,160698,15,42,"Hindu","Male","Urban"
463,144615,0,32,"Hindu","Male","Rural"
464,19686,0,63,"Hindu","Male","Rural"
465,12649,8,38,"Hindu","Female","Rural"
466,723888,15,38,"Hindu","Male","Urban"
467,22266,11,60,"Hindu","Female","Rural"
468,301885,12,52,"Christian","Male","Urban"
469,108336,15,36,"Christian","Female","Urban"
470,13982,9,64,"Hindu","Female","Rural"
471,53134,0,41,"Hindu","Female","Urban"
472,20100,15,22,"Hindu","Male","Rural"
473,64620,8,41,"Hindu","Male","Urban"
474,30277,4,24,"Hindu","Male","Urban"
475,3436,2,22,"Hindu","Female","Rural"
476,22177,5,32,"Hindu","Male","Rural"
477,18499,5,39,"Hindu","Male","Rural"
478,8925,7,40,"Hindu","Male","Rural"
479,62977,12,26,"Hindu","Male","Rural"
480,3945,1,37,"Hindu","Male","Rural"
481,31049,15,41,"Hindu","Female","Rural"
482,9834,11,40,"Hindu","Male","Rural"
483,5616,2,35,"Hindu","Male","Rural"
484,9968,6,64,"Hindu","Female","Rural"
485,11358,2,32,"Hindu","Male","Rural"
486,99986,1,24,"Hindu","Male","Rural"
487,49729,0,29,"Muslim","Male","Rural"
488,10514,2,55,"Hindu","Male","Rural"
489,13563,5,49,"Hindu","Male","Rural"
490,13544,3,55,"Hindu","Male","Rural"
491,25793,0,57,"Hindu","Male","Rural"
492,4631,0,36,"Hindu","Male","Rural"
493,29529,11,31,"Hindu","Male","Rural"
494,49048,7,34,"Hindu","Male","Urban"
495,4554,7,28,"Hindu","Female","Rural"
496,16819,0,38,"Hindu","Male","Rural"
497,71387,9,51,"Hindu","Male","Rural"
498,24665,0,50,"Hindu","Male","Urban"
499,55665,6,38,"Hindu","Male","Rural"
500,366980,7,31,"Hindu","Male","Rural"
501,157900,14,36,"Hindu","Male","Urban"
502,59741,6,41,"Hindu","Male","Urban"
503,29683,1,59,"Hindu","Male","Rural"
504,66037,3,30,"Buddhist","Male","Urban"
505,40048,0,34,"Hindu","Female","Rural"
506,24785,0,43,"Hindu","Male","Rural"
507,15668,0,18,"Hindu","Female","Rural"
508,14126,4,44,"Hindu","Female","Rural"
509,47045,0,48,"Hindu","Male","Rural"
510,93383,15,24,"Hindu","Male","Urban"
511,273930,15,26,"Muslim","Male","Urban"
512,21179,7,25,"Muslim","Male","Rural"
513,5725,0,53,"Muslim","Male","Rural"
514,19832,9,52,"Hindu","Male","Rural"
515,87643,0,44,"Hindu","Male","Rural"
516,13236,0,48,"Hindu","Female","Rural"
517,23922,6,35,"Hindu","Male","Rural"
518,35491,11,29,"Hindu","Male","Urban"
519,50107,7,50,"Hindu","Male","Rural"
520,4800,1,43,"Muslim","Male","Rural"
521,2213,2,22,"Christian","Female","Rural"
522,266442,7,36,"Hindu","Male","Rural"
523,24871,2,54,"Hindu","Male","Urban"
524,25187,0,36,"Hindu","Male","Rural"
525,65242,0,45,"Hindu","Male","Rural"
526,80534,10,18,"Hindu","Male","Rural"
527,17426,5,38,"Hindu","Male","Rural"
528,21458,5,39,"Hindu","Male","Rural"
529,10861,0,55,"Hindu","Male","Rural"
530,38764,15,48,"Hindu","Female","Urban"
531,54030,0,40,"Hindu","Female","Urban"
532,15215,0,36,"Hindu","Male","Rural"
533,3492,0,45,"Sikh","Female","Rural"
534,68475,0,35,"Hindu","Male","Rural"
535,30159,10,37,"Christian","Male","Rural"
536,17290,4,46,"Hindu","Male","Rural"
537,24917,5,49,"Sikh","Male","Rural"
538,46577,0,51,"Sikh","Male","Urban"
539,17534,0,43,"Hindu","Female","Rural"
540,932,2,65,"Hindu","Female","Rural"
541,17817,7,32,"Hindu","Male","Rural"
542,6636,2,51,"Hindu","Male","Rural"
543,17308,8,27,"Buddhist","Male","Rural"
544,24063,6,34,"Hindu","Male","Rural"
545,35003,11,59,"Hindu","Male","Urban"
546,71174,13,24,"Hindu","Male","Rural"
547,67328,11,41,"Hindu","Male","Urban"
548,1255,3,34,"Hindu","Female","Rural"
549,29772,0,28,"Hindu","Female","Urban"
550,117247,0,51,"Hindu","Male","Urban"
551,124647,12,51,"Hindu","Male","Urban"
552,134523,15,36,"Hindu","Male","Urban"
553,6795,11,46,"Hindu","Male","Rural"
554,38863,5,42,"Hindu","Male","Rural"
555,220090,10,19,"Hindu","Male","Urban"
556,3395,5,32,"Hindu","Female","Rural"
557,6142,9,30,"Hindu","Female","Rural"
558,9731,8,31,"Hindu","Male","Rural"
559,1242,2,25,"Hindu","Female","Rural"
560,37234,8,32,"Hindu","Male","Urban"
561,20092,2,41,"Hindu","Male","Rural"
562,45799,10,54,"Hindu","Female","Rural"
563,5095,0,35,"Hindu","Female","Rural"
564,6469,4,37,"Sikh","Female","Rural"
565,8361,0,18,"Hindu","Male","Rural"
566,1068351,14,40,"Hindu","Male","Urban"
567,115354,3,43,"Hindu","Male","Urban"
568,22386,8,25,"Hindu","Male","Urban"
569,56476,12,65,"Hindu","Male","Rural"
570,47819,9,42,"Hindu","Male","Rural"
571,32410,0,49,"Muslim","Male","Rural"
572,4425,4,28,"Hindu","Male","Rural"
573,14599,7,44,"Hindu","Male","Rural"
574,29934,9,35,"Sikh","Male","Rural"
575,94582,15,46,"Hindu","Male","Rural"
576,23922,15,55,"Hindu","Female","Urban"
577,15528,0,41,"Hindu","Male","Rural"
578,121492,3,40,"Hindu","Male","Urban"
579,115410,0,43,"Hindu","Male","Rural"
580,55710,9,41,"Hindu","Male","Rural"
581,36268,10,30,"Hindu","Male","Rural"
582,30955,0,32,"Hindu","Male","Rural"
583,38801,15,51,"Hindu","Female","Urban"
584,3574,0,40,"Hindu","Female","Rural"
585,9886,0,39,"Hindu","Male","Rural"
586,40217,1,37,"Hindu","Male","Urban"
587,22005,0,49,"Hindu","Female","Rural"
588,28889,0,30,"Hindu","Male","Rural"
589,9432,1,47,"Muslim","Male","Rural"
590,61519,0,25,"Hindu","Male","Rural"
591,6296,0,23,"Hindu","Male","Rural"
592,24872,15,49,"Hindu","Male","Urban"
593,5165,5,45,"Hindu","Female","Rural"
594,61086,1,33,"Hindu","Female","Urban"
595,5265,0,58,"Hindu","Female","Rural"
596,38648,1,46,"Sikh","Male","Rural"
597,74655,5,18,"Hindu","Male","Rural"
598,81427,8,53,"Hindu","Male","Urban"
599,26056,4,18,"Muslim","Male","Urban"
600,89907,0,33,"Hindu","Male","Urban"
601,31980,0,58,"Hindu","Female","Rural"
602,131987,14,45,"Christian","Male","Rural"
603,5589,5,38,"Hindu","Male","Rural"
604,113973,7,31,"Hindu","Male","Rural"
605,8837,1,32,"Hindu","Male","Urban"
606,9773,8,35,"Hindu","Female","Rural"
607,157636,2,65,"Hindu","Male","Urban"
