"train","age","educ","black","hisp","married","earn96","unem96","earn98","unem98"
1,25,12,1,0,0,0,1,10.63,0
1,18,12,1,0,0,0,1,6.99,0
1,27,13,1,0,0,0,1,0,1
1,27,8,1,0,0,0,1,3.6,0
1,38,11,1,0,0,0,1,0,1
0,26,11,1,0,0,0,1,12.6,0
1,25,8,1,0,0,0,1,2.04,0
1,31,11,1,0,1,0,1,0,1
0,17,10,1,0,0,0,1,0,1
1,25,11,1,0,0,0,1,4.79,0
1,21,12,1,0,0,0,1,1.01,0
1,44,11,1,0,0,0,1,0,1
0,18,9,1,0,0,0,1,0,1
1,42,12,1,0,0,0,1,5.87,0
0,25,10,1,0,0,0,1,9.81,0
0,24,10,1,0,0,0,1,0,1
0,26,10,1,0,0,0,1,5.88,0
1,25,11,1,0,0,0,1,0,1
0,18,11,1,0,0,0,1,0.95,0
0,19,11,1,0,0,0,1,0,1
0,43,9,1,0,0,0,1,1.97,0
0,27,13,1,0,0,0,1,0,1
1,17,9,1,0,0,0,1,0,1
1,30,11,1,0,0,0,1,23.44,0
0,26,10,1,0,1,0,1,19.8,0
1,20,9,1,0,0,0,1,1.95,0
1,20,12,1,0,0,0.33,0,4.91,0
0,18,11,1,0,0,0.43,0,2.21,0
0,27,12,1,0,1,0.67,0,0.08,0
0,27,12,1,0,0,0.72,0,4.25,0
1,20,12,1,0,0,0.76,0,29.03,0
0,19,10,1,0,0,0.77,0,6.44,0
0,23,12,1,0,0,1,0,10.47,0
0,29,14,1,0,0,1.36,0,2.34,0
1,18,10,1,0,0,1.6,0,9.93,0
1,19,9,1,0,0,1.6,0,16.26,0
1,27,9,1,0,1,1.87,0,2.91,0
1,22,12,1,0,0,1.87,0,24.53,0
1,23,10,1,0,1,1.87,0,8.95,0
1,20,11,1,0,0,2.44,0,19.39,0
1,17,9,1,0,0,2.51,0,0.63,0
0,28,11,1,0,0,2.57,0,11.14,0
1,26,11,1,0,1,2.79,0,10.35,0
0,20,11,1,0,0,2.97,0,13.41,0
1,24,11,1,0,1,3.33,0,8.94,0
1,31,9,1,0,0,3.4,0,5.05,0
1,18,10,1,0,0,3.57,0,0,1
1,29,12,1,0,0,3.63,0,20.8,0
1,24,9,1,0,0,4.58,0,13.72,0
1,25,12,1,0,0,4.82,0,10.26,0
0,24,10,1,0,0,4.84,0,5.33,0
1,46,8,1,0,0,5.19,0,7.72,0
1,19,11,1,0,0,5.23,0,19.35,0
1,19,8,1,0,0,5.31,0,0,1
1,27,11,1,0,0,5.33,0,9.03,0
1,26,11,1,0,1,5.51,0,9.66,0
1,20,10,1,0,0,5.55,0,5.88,0
1,28,10,1,0,0,5.67,0,9.99,0
0,24,12,1,0,0,5.69,0,11.95,0
1,19,8,1,0,0,5.87,0,0,1
1,23,12,1,0,0,6.08,0,3.78,0
1,42,9,1,0,1,6.12,0,8.31,0
1,25,13,1,0,0,6.18,0,8.56,0
0,18,9,1,0,0,6.57,0,6.04,0
1,21,12,1,0,0,6.66,0,5.15,0
1,27,10,1,0,0,7.1,0,10.72,0
1,21,8,1,0,0,7.39,0,5.29,0
1,22,9,1,0,0,7.67,0,15.48,0
1,31,4,1,0,0,8.05,0,0,1
1,24,10,1,0,1,8.16,0,16.74,0
1,29,10,1,0,0,8.8,0,22.21,0
1,29,12,1,0,0,9.76,0,11.78,0
1,31,9,1,0,0,11.04,0,12.44,0
0,22,10,1,0,1,11.18,0,5.42,0
1,21,9,1,0,0,11.5,0,16.24,0
1,17,10,1,0,0,11.59,0,7.49,0
0,26,12,1,0,1,11.59,0,18.53,0
1,19,10,1,0,0,12.11,0,8.57,0
0,28,11,1,0,0,13.74,0,13.82,0
0,33,11,1,0,0,15.74,0,4.62,0
0,35,9,1,0,1,27.66,0,6,0
1,22,9,0,1,0,0,1,8.94,0
0,33,12,0,0,1,0,1,12.09,0
0,41,14,0,0,0,0,1,3.28,0
0,38,9,0,0,0,0,1,2.53,0
0,27,10,0,1,0,0,1,14.13,0
1,19,9,0,0,0,0,1,7.05,0
1,18,8,0,1,1,0,1,11.21,0
0,22,11,0,0,0,0,1,0,1
1,23,7,0,0,0,0,1,0,1
1,25,11,0,0,0,0,1,4.4,0
0,38,12,0,0,0,0,1,6.81,0
1,23,8,0,1,0,0,1,7.72,0
0,21,12,0,0,0,0,1,0.66,0
1,25,12,0,0,0,0,1,9.36,0
1,31,9,0,1,0,0,1,0,1
1,17,9,0,1,0,0.15,0,17.59,0
1,21,12,0,0,0,0.67,0,7.7,0
1,27,13,0,0,1,1.71,0,7.32,0
1,18,11,0,0,0,1.84,0,6.74,0
1,23,12,0,1,0,2.23,0,13.85,0
1,23,8,0,0,1,3.43,0,9.17,0
1,26,11,0,0,0,4.45,0,17.76,0
1,31,12,0,0,0,5.22,0,9.26,0
1,19,10,0,0,0,10.65,0,26.62,0
1,19,11,0,1,1,10.93,0,26,0
1,20,9,0,1,0,11.75,0,14.88,0
0,22,12,0,1,1,14.11,0,4.56,0
0,22,12,0,0,0,16.91,0,14.41,0
0,29,10,0,1,0,17.71,0,14.11,0
0,50,12,1,0,1,0,1,0.32,0
0,28,12,1,0,1,0,1,1.53,0
1,25,12,1,0,0,0,1,0,1
0,50,12,1,0,1,0,1,0,1
1,23,12,1,0,0,0,1,0,1
0,34,14,1,0,1,0,1,9.4,0
1,36,12,1,0,1,0,1,0,1
0,36,12,1,0,1,17.9,0,24.84,0
0,33,13,1,0,1,21.48,0,17.09,0
1,43,12,1,0,1,3.76,0,14.45,0
0,24,12,1,0,0,0,1,2.13,0
1,23,12,1,0,0,6.45,0,8.86,0
0,22,12,1,0,1,0,1,0,1
0,20,12,1,0,0,25.06,0,17.5,0
1,21,12,1,0,0,10.92,0,11.34,0
1,22,12,1,0,1,4.94,0,13.6,0
1,20,12,1,0,0,8.95,0,5.62,0
1,28,12,1,0,0,5.73,0,16.07,0
0,24,12,1,0,0,9.31,0,4.02,0
0,22,12,1,0,0,34.27,0,9.51,0
0,20,12,1,0,0,17.9,0,1.89,0
1,27,12,1,0,1,3.99,0,7.47,0
0,23,12,1,0,1,5.73,0,12.74,0
0,23,12,1,0,1,23.27,0,6.11,0
1,19,12,1,0,0,16.11,0,15.07,0
1,21,12,1,0,1,6.09,0,6.28,0
0,24,12,1,0,1,17.9,0,8.86,0
0,31,12,1,0,1,22.13,0,22.08,0
1,22,12,1,0,0,20.74,0,0,1
0,20,13,1,0,0,25.06,0,14.58,0
0,23,12,1,0,0,25.06,0,22.65,0
1,22,12,1,0,0,8.95,0,12.19,0
0,21,12,1,0,0,22.92,0,15.06,0
0,27,12,1,0,1,0,1,0,1
1,27,13,1,0,1,8.19,0,9.79,0
0,24,12,1,0,1,28.65,0,19.98,0
0,28,15,1,0,0,0,1,16.83,0
0,53,14,1,0,1,16.84,0,11.82,0
1,19,12,1,0,0,7.52,0,9.21,0
0,32,12,1,0,1,10.74,0,6.31,0
0,20,12,1,0,1,17.9,0,2.33,0
0,27,12,1,0,1,17.9,0,3.34,0
0,23,12,1,0,1,25.06,0,16.17,0
0,23,12,1,0,1,26.85,0,22.06,0
1,21,12,1,0,1,26.19,0,18.27,0
0,24,12,1,0,1,30.83,0,7.83,0
1,26,12,1,0,1,17.19,0,11.08,0
0,23,14,1,0,1,20.8,0,20.84,0
1,25,12,1,0,0,12.53,0,10.54,0
0,23,12,1,0,1,24.35,0,19.64,0
0,27,12,1,0,0,28.65,0,8.47,0
0,21,12,1,0,0,29.72,0,20.52,0
0,23,14,1,0,1,25.06,0,19.74,0
0,23,16,1,0,0,32.98,0,23.71,0
1,27,12,1,0,1,10.74,0,0.98,0
0,21,12,1,0,1,14.32,0,9.98,0
1,23,12,1,0,1,16.54,0,0.98,0
1,21,14,1,0,0,10.74,0,20.46,0
1,27,12,1,0,1,0,1,2.9,0
0,21,12,1,0,1,8.59,0,11.68,0
0,33,12,1,0,0,17.9,0,19.84,0
0,22,12,1,0,1,21.48,0,17.51,0
0,29,12,1,0,1,25.06,0,17.75,0
0,23,12,1,0,1,25.06,0,21.61,0
0,27,12,1,0,1,28.65,0,9.06,0
0,24,12,1,0,1,28.65,0,15.2,0
0,26,12,1,0,0,21.48,0,25.35,0
0,31,12,1,0,1,17.9,0,17.86,0
0,25,13,1,0,0,30.79,0,8.86,0
1,27,12,1,0,0,6.45,0,13.01,0
0,27,12,1,0,1,17.9,0,16.83,0
0,24,12,1,0,0,18.62,0,5.76,0
0,20,12,1,0,0,32.75,0,14.98,0
1,26,12,1,0,1,2.15,0,2.68,0
0,23,12,1,0,1,15.63,0,4.14,0
0,24,12,1,0,0,26.14,0,22.55,0
0,23,12,1,0,0,5.37,0,14.61,0
1,28,14,1,0,1,0,1,0,1
0,29,12,1,0,1,19.69,0,17,0
0,24,13,1,0,1,21.48,0,16.86,0
0,21,12,1,0,1,28.65,0,19.87,0
0,25,12,1,0,1,28.65,0,8.92,0
0,22,13,1,0,1,30.44,0,27.78,0
0,27,15,1,0,0,33.49,0,13.46,0
0,26,12,1,0,1,28.3,0,26.06,0
0,25,13,1,0,1,27.65,0,17.03,0
0,30,12,1,0,1,21.48,0,24.53,0
1,37,17,1,0,1,2.61,0,12.36,0
0,23,12,1,0,0,28.65,0,1.41,0
0,27,12,1,0,1,24.71,0,18.03,0
0,22,12,1,0,1,26.85,0,23.23,0
1,22,12,1,0,1,0,1,0.87,0
0,25,12,1,0,1,16.47,0,5.27,0
0,33,12,1,0,0,22.2,0,0,1
0,55,16,1,0,1,23.99,0,3.01,0
0,47,12,1,0,1,24.87,0,8.4,0
0,20,12,1,0,1,25.06,0,11.85,0
1,26,12,1,0,1,25.06,0,17.08,0
0,21,12,1,0,0,26.68,0,24.84,0
0,24,12,1,0,1,32.23,0,30.14,0
0,29,12,1,0,1,30.79,0,16.24,0
1,24,12,1,0,1,23.63,0,14.15,0
0,22,14,1,0,1,25.06,0,20.8,0
0,27,12,1,0,1,26.85,0,20.76,0
0,28,12,1,0,1,29.72,0,10.48,0
0,22,12,1,0,1,29.36,0,10.05,0
0,42,12,1,0,1,22.37,0,13.33,0
0,22,13,1,0,1,28.64,0,24.79,0
1,26,12,1,0,1,17.9,0,18.48,0
0,25,12,1,0,1,7.48,0,16.34,0
0,28,15,1,0,1,18.91,0,17.64,0
0,21,13,1,0,1,25.06,0,4.28,0
0,54,16,1,0,1,28.65,0,12.52,0
0,21,12,1,0,1,19.69,0,9.13,0
1,23,12,1,0,1,20.98,0,28.64,0
0,43,12,1,0,1,21.48,0,7.65,0
0,27,14,1,0,1,0,1,6.51,0
1,21,12,1,0,0,1.43,0,6.31,0
0,25,12,1,0,1,10.74,0,5.09,0
1,31,12,1,0,1,3.01,0,13.45,0
1,54,3,1,0,0,0,1,0,1
1,54,3,1,0,1,0,1,1.18,0
1,54,3,1,0,1,0,1,0,1
0,54,3,1,0,1,0,1,0,1
1,53,4,1,0,0,0,1,0,1
0,51,4,1,0,1,0,1,0,1
1,51,5,1,0,0,0,1,0,1
1,46,6,1,0,1,0,1,5.67,0
1,41,6,1,0,1,0,1,0,1
1,45,7,1,0,1,0,1,0,1
1,55,8,1,0,1,0,1,0,1
1,53,8,1,0,1,0,1,0,1
0,45,9,1,0,1,0,1,0,1
0,45,9,1,0,1,0,1,6.89,0
1,23,9,1,0,0,0,1,5.92,0
1,54,10,1,0,1,0,1,0,1
1,54,10,1,0,1,0,1,6.65,0
0,25,11,1,0,0,0,1,0,1
1,23,11,1,0,0,0,1,2.56,0
0,23,11,1,0,0,0,1,3.5,0
1,52,10,1,0,1,0,1,2.35,0
1,43,9,1,0,1,0,1,7.03,0
0,54,4,1,0,1,0,1,9.38,0
1,49,4,1,0,1,0,1,5.31,0
1,21,8,1,0,0,1.79,0,2.02,0
1,21,11,1,0,0,19.69,0,13.86,0
0,43,3,1,0,1,0,1,0,1
1,52,6,1,0,1,2.49,0,14.99,0
0,52,7,1,0,0,10.03,0,0,1
0,29,11,1,0,1,0,1,0,1
1,31,6,1,0,0,1.11,0,1.57,0
1,23,10,1,0,0,10.74,0,5.16,0
1,19,11,1,0,0,0,1,0.75,0
0,35,9,1,0,0,10.74,0,6.7,0
1,21,10,1,0,0,16.29,0,11.86,0
0,41,8,1,0,1,16.76,0,11.7,0
0,41,8,1,0,1,16.76,0,15.85,0
1,20,8,1,0,0,7.3,0,11.65,0
1,30,9,1,0,0,0.33,0,2.11,0
1,29,10,1,0,0,5.37,0,12.21,0
1,22,11,1,0,0,0,1,11.94,0
0,25,10,1,0,0,10.74,0,3.16,0
1,20,8,1,0,0,3.68,0,18.53,0
0,40,4,1,0,0,3.87,0,4.14,0
1,22,9,1,0,0,8.69,0,0,1
1,24,10,1,0,0,7.81,0,1.78,0
1,19,6,1,0,0,0,1,2.16,0
1,50,10,1,0,1,0,1,3.74,0
1,38,3,1,0,1,11.46,0,4.41,0
1,38,3,1,0,1,11.46,0,16.37,0
1,43,10,1,0,1,4.3,0,8.99,0
0,30,6,1,0,1,6.8,0,0,1
1,35,10,1,0,1,7.59,0,6.09,0
1,35,10,1,0,1,7.59,0,18.29,0
1,35,10,1,0,1,7.59,0,13.86,0
0,44,11,1,0,1,10.74,0,0,1
1,23,10,1,0,0,14.32,0,20,0
0,41,8,1,0,1,22.34,0,12.31,0
0,39,5,1,0,1,26.85,0,10.28,0
0,39,5,1,0,1,26.85,0,17.23,0
0,39,5,1,0,1,26.85,0,18.61,0
0,25,11,1,0,0,23.27,0,10.82,0
1,38,9,1,0,1,15.88,0,15.02,0
0,50,9,1,0,1,14.94,0,1.09,0
0,22,11,1,0,1,12.37,0,25.34,0
1,19,10,1,0,0,6.87,0,2.78,0
1,25,10,1,0,1,8.56,0,21.97,0
0,47,6,1,0,1,8.59,0,4.22,0
0,24,8,1,0,1,10.74,0,14.06,0
0,44,11,1,0,0,12.53,0,4.51,0
0,24,11,1,0,1,0,1,7.61,0
0,19,11,1,0,1,15.18,0,15.33,0
0,22,11,1,0,0,26.85,0,17.42,0
1,30,6,1,0,1,0,1,8.79,0
1,50,10,1,0,1,0,1,0,1
1,26,8,1,0,1,8.59,0,12.69,0
1,46,6,1,0,0,19.36,0,0,1
0,38,10,1,0,1,0,1,0,1
0,24,9,1,0,0,10.74,0,6.14,0
0,55,3,1,0,1,10.74,0,0.25,0
1,40,5,1,0,1,10.74,0,4.2,0
0,25,9,1,0,1,12.53,0,23.15,0
0,43,7,1,0,1,13.63,0,7.27,0
0,18,11,1,0,0,13.86,0,11.85,0
0,28,7,1,0,1,16.28,0,11.07,0
0,52,4,1,0,1,23.27,0,0,1
1,22,8,1,0,1,24.06,0,9.01,0
0,34,7,1,0,1,25.06,0,17.16,0
0,31,9,1,0,1,11.24,0,19.29,0
0,27,8,1,0,0,13.25,0,5.53,0
1,32,11,1,0,1,0,1,10.59,0
1,49,5,1,0,0,11.46,0,1.71,0
0,33,8,1,0,1,17.16,0,19.38,0
0,26,8,1,0,1,7.16,0,9.97,0
0,20,10,1,0,1,13.66,0,0,1
0,45,8,1,0,1,19.07,0,2.77,0
0,33,11,1,0,1,23.27,0,5.51,0
0,41,3,1,0,1,6.45,0,2.5,0
1,25,7,1,0,1,21.48,0,23.45,0
0,35,11,1,0,1,17.12,0,9.18,0
0,35,11,1,0,1,17.12,0,17.34,0
0,41,4,1,0,0,10.74,0,0,1
0,36,6,1,0,0,14.9,0,0,1
1,52,5,1,0,1,8.59,0,8.24,0
1,52,5,1,0,1,8.59,0,0,1
0,29,10,1,0,1,16.25,0,3.56,0
1,42,10,1,0,0,3.44,0,6.51,0
1,22,11,1,0,1,10.03,0,8.58,0
1,27,11,1,0,1,10.74,0,15.24,0
0,42,5,1,0,1,14.32,0,15.52,0
0,42,5,1,0,1,14.32,0,14.79,0
1,28,9,1,0,1,16.47,0,6.36,0
0,45,9,1,0,1,17.9,0,17.2,0
0,45,6,1,0,1,17.9,0,1.96,0
0,34,9,1,0,1,22.42,0,13.8,0
0,49,5,1,0,1,15.4,0,5.77,0
0,27,7,1,0,1,14.32,0,16.29,0
0,21,11,1,0,1,9.7,0,6.63,0
0,54,6,1,0,1,0,1,0,1
0,40,9,1,0,1,13.14,0,10.3,0
0,41,5,1,0,1,21.48,0,16.39,0
0,29,10,1,0,1,16.65,0,3.14,0
0,29,10,1,0,1,21.78,0,8.52,0
0,26,10,1,0,1,0,1,0,1
0,40,8,1,0,1,16.11,0,8.79,0
0,40,7,1,0,1,17.9,0,13.65,0
0,49,7,1,0,0,22.54,0,0,1
0,50,8,1,0,1,19.69,0,6.21,0
0,24,8,1,0,1,26.07,0,26.52,0
0,24,10,1,0,1,13.25,0,5.31,0
0,30,11,1,0,1,17.62,0,14.47,0
1,26,10,1,0,1,9.85,0,20.33,0
0,50,5,1,0,1,20.27,0,10.08,0
0,22,10,1,0,1,18.05,0,22.4,0
0,40,7,1,0,1,17.35,0,13.78,0
1,52,5,1,0,1,2.15,0,7.04,0
0,49,5,1,0,1,10.74,0,12.72,0
0,20,10,1,0,1,10.74,0,14.87,0
0,44,5,1,0,1,17.9,0,0.65,0
0,34,9,1,0,1,17.9,0,10.42,0
0,46,9,1,0,0,18.62,0,18.89,0
0,47,4,1,0,0,21.48,0,0.43,0
0,24,11,1,0,1,21.48,0,6.32,0
0,39,5,1,0,1,21.48,0,0,1
0,32,11,1,0,0,28.65,0,16.78,0
0,23,11,1,0,1,12.53,0,22.4,0
0,39,11,1,0,1,23.27,0,20.24,0
0,41,10,1,0,1,29.52,0,22.37,0
0,32,10,1,0,0,17.9,0,18.36,0
0,40,5,1,0,1,24.35,0,4.17,0
0,37,11,1,0,1,27.93,0,11.42,0
0,37,11,1,0,1,27.93,0,13.14,0
1,29,10,1,0,1,14.61,0,17.43,0
0,28,7,1,0,1,16.52,0,16.37,0
1,39,9,1,0,1,19.34,0,8,0
1,39,9,1,0,1,19.34,0,24.59,0
0,34,8,1,0,1,25.06,0,23.23,0
0,49,10,1,0,1,0,1,1.96,0
0,49,10,1,0,1,0,1,0,1
0,47,6,1,0,1,16.11,0,4.55,0
0,30,9,1,0,1,17.9,0,13.47,0
0,31,9,1,0,1,17.9,0,10.74,0
0,44,7,1,0,1,21.48,0,20.08,0
1,48,10,1,0,1,10.74,0,20.47,0
0,27,11,1,0,1,7.88,0,8.12,0
0,22,11,1,0,0,14.32,0,10.02,0
1,22,11,1,0,0,10.38,0,8.97,0
0,26,6,1,0,1,19.61,0,10.36,0
0,22,9,1,0,1,20.84,0,17.29,0
0,33,6,1,0,1,11.92,0,0,1
1,34,11,1,0,0,4.3,0,1.03,0
1,23,11,1,0,1,11.64,0,15.47,0
0,25,9,1,0,0,14.32,0,7.44,0
1,28,9,1,0,1,14.32,0,20.09,0
0,35,11,1,0,1,17.9,0,1.96,0
0,29,10,1,0,1,19.56,0,18.72,0
0,42,8,1,0,1,21.48,0,2.19,0
0,47,11,1,0,1,21.48,0,5.78,0
0,39,10,1,0,0,25.06,0,14.94,0
0,43,8,1,0,1,25.06,0,11.74,0
0,43,8,1,0,1,25.06,0,26.73,0
0,28,10,1,0,1,30.44,0,10.1,0
0,47,11,1,0,1,32.11,0,20.29,0
0,53,4,1,0,1,17.9,0,4.77,0
0,54,4,1,0,0,21.93,0,0,1
0,44,7,1,0,1,29.13,0,21.7,0
0,54,3,1,0,1,19.21,0,0,1
0,34,10,1,0,1,23.27,0,13.85,0
0,48,5,1,0,1,27.21,0,18.43,0
1,25,10,1,0,1,17.9,0,3.17,0
0,53,6,1,0,1,21.48,0,8.59,0
1,31,6,1,0,0,21.48,0,19.44,0
1,50,6,1,0,1,8.19,0,0,1
0,31,11,1,0,1,29.72,0,13.41,0
0,21,9,1,0,0,32.66,0,14.6,0
0,36,11,1,0,1,25.06,0,21.34,0
0,44,9,1,0,1,29.29,0,12.11,0
0,46,8,1,0,1,14.18,0,8.83,0
0,48,6,1,0,0,23.27,0,5.8,0
0,50,7,1,0,1,25.06,0,5.96,0
0,50,7,1,0,1,25.06,0,8.51,0
0,26,11,1,0,1,26.5,0,24.8,0
0,30,10,1,0,0,28.65,0,15.57,0
0,46,10,1,0,1,32.23,0,17.35,0
0,33,10,1,0,0,27.93,0,1.82,0
0,53,5,1,0,1,5.32,0,0.2,0
0,24,10,1,0,1,21.48,0,11.4,0
0,55,3,1,0,1,26.93,0,0,1
0,41,10,1,0,0,30.51,0,18.95,0
1,25,11,1,0,1,13.25,0,20.31,0
0,23,11,1,0,1,26.85,0,2.18,0
0,42,11,1,0,0,30.44,0,6.46,0
0,53,9,1,0,1,27.4,0,1.55,0
0,31,8,1,0,1,21.7,0,7.5,0
0,19,11,1,0,0,21.48,0,10.67,0
1,31,11,1,0,0,8.63,0,20.47,0
1,25,11,1,0,0,13.96,0,7.29,0
0,23,11,1,0,1,16.83,0,25.69,0
0,34,10,1,0,0,25.06,0,9.86,0
0,51,8,1,0,1,11.6,0,9.13,0
1,53,4,1,0,1,1.97,0,2.03,0
0,48,8,1,0,1,23.27,0,0,1
1,48,8,1,0,1,23.27,0,14.08,0
0,23,11,1,0,1,21.48,0,14.53,0
1,42,8,1,0,0,21.13,0,13.63,0
1,30,10,1,0,1,0,1,7.05,0
1,47,12,0,0,0,0,1,3.23,0
0,44,12,0,0,0,0,1,0,1
0,54,12,0,0,1,0,1,0.04,0
0,55,12,0,1,1,0,1,0,1
1,47,12,0,0,1,0,1,0,1
0,44,12,0,0,1,0,1,0,1
1,49,14,0,0,1,0,1,0,1
0,55,14,0,0,1,0,1,0,1
1,34,16,0,0,1,0,1,8.97,0
0,55,13,0,1,1,0,1,0,1
1,52,12,0,0,1,0,1,0,1
0,52,15,0,0,1,0,1,1.25,0
1,30,16,0,0,1,0,1,2.8,0
1,21,12,0,0,0,0,1,7.99,0
1,30,17,0,0,0,0,1,4.95,0
0,44,12,0,0,1,0,1,0,1
1,46,12,0,0,0,0,1,0,1
0,53,17,0,0,1,0,1,0,1
1,26,16,0,0,0,0,1,22,0
0,49,12,0,0,1,0,1,0,1
1,39,15,0,0,1,0,1,14.07,0
0,26,17,0,0,1,0,1,13.44,0
0,32,16,0,0,1,0,1,4.88,0
1,34,12,0,0,1,0,1,1.88,0
1,31,14,0,0,1,0,1,5.2,0
1,39,17,0,1,1,0,1,0.88,0
0,40,17,0,0,1,0,1,4.67,0
1,31,12,0,0,1,0,1,10.87,0
0,27,13,0,0,1,0,1,5.29,0
0,48,12,0,0,1,0,1,6.39,0
0,41,13,0,0,1,0,1,0.34,0
1,26,14,0,0,0,0,1,12.54,0
0,50,17,0,0,0,0,1,8.02,0
0,48,12,0,0,1,0,1,9.38,0
0,45,16,0,0,1,0,1,0,1
0,37,13,0,0,1,0,1,13.86,0
1,33,12,0,0,1,0,1,4.1,0
0,31,12,0,0,1,0,1,14.95,0
0,44,13,0,0,1,0,1,0,1
1,28,17,0,0,1,0,1,15,0
1,30,17,0,0,1,0,1,17.6,0
0,42,16,0,0,1,0,1,6.98,0
1,30,12,0,0,1,0,1,22.79,0
0,27,16,0,0,1,0,1,2.19,0
0,37,12,0,0,1,0,1,0,1
1,37,12,0,0,1,0,1,0,1
0,45,12,0,0,1,0,1,0,1
0,35,16,0,0,1,0,1,6.14,0
0,37,17,0,0,1,0,1,5.47,0
1,27,17,0,0,1,0,1,4.5,0
0,47,14,0,0,1,0,1,0,1
0,48,12,0,0,1,0,1,4.67,0
0,42,12,0,0,1,0,1,9.27,0
0,43,12,0,0,1,0,1,0,1
0,46,12,0,0,1,0,1,0.79,0
1,46,12,0,0,1,0,1,0,1
0,46,12,0,0,1,0,1,2.63,0
0,29,16,0,0,1,0,1,0,1
0,39,13,0,0,1,0,1,0,1
0,32,12,0,0,1,0,1,14.01,0
0,48,16,0,0,1,0,1,0,1
0,48,16,0,0,1,0,1,5.51,0
0,41,13,0,0,1,0,1,11.36,0
0,42,13,0,0,1,0,1,10.67,0
0,42,13,0,0,1,0,1,0,1
0,42,13,0,0,1,0,1,12.13,0
1,54,13,0,0,1,0,1,2.62,0
0,29,14,0,0,1,0,1,12.47,0
0,54,12,0,0,1,0,1,0,1
0,54,12,0,0,1,0,1,0,1
0,26,14,0,0,1,0,1,0,1
0,43,17,0,0,1,0,1,10.33,0
0,54,12,0,0,1,0,1,0,1
1,37,12,0,0,1,0,1,6.41,0
1,54,16,0,0,1,0,1,0,1
0,48,17,0,0,1,0,1,0,1
0,44,12,0,0,1,0,1,10.03,0
1,54,12,0,0,1,0,1,0,1
0,38,12,0,0,1,0,1,1.16,0
0,37,13,0,0,1,0,1,16.25,0
1,27,17,0,0,1,0,1,11.08,0
0,51,12,0,0,1,0,1,0,1
1,39,12,0,0,1,0,1,18.04,0
0,55,14,0,0,1,0,1,0.16,0
0,54,13,0,0,1,0,1,0,1
1,54,13,0,0,1,0,1,0,1
