"age","price","rooms","area","land","baths","dist","highway","logprice","logarea","logland","logdist","loghighway"
0,119900,7,2258,12500,3,5.73024,3.048,11.69441,7.722235,9.433484,1.745757,1.114486
1,125000,7,2016,12632,3,5.76072,3.048,11.73607,7.608871,9.443989,1.751062,1.114486
0,118000,7,1991,12632,3,5.76072,3.048,11.67844,7.596392,9.443989,1.751062,1.114486
0,100000,7,1746,13504,3,5.7912,3.048,11.51293,7.465083,9.510741,1.75634,1.114486
1,128000,7,2700,13504,3,5.7912,3.048,11.75979,7.901007,9.510741,1.75634,1.114486
0,140000,7,2302,13504,3,5.73024,3.048,11.8494,7.741534,9.510741,1.745757,1.114486
0,143500,6,2144,12806,3,5.60832,3.048,11.87409,7.670429,9.457669,1.724251,1.114486
59,66500,5,1867,5000,1,2.07264,1.8288,11.10496,7.532088,8.517193,0.7288231,0.60366
51,50000,5,1140,13945,1,2.16408,1.524,10.81978,7.038784,9.542876,0.7719953,0.4213385
25,65000,5,912,12005,1,3.38328,1.524,11.08214,6.81564,9.393079,1.218846,0.4213385
20,86000,6,1425,19550,1,4.2672,2.1336,11.3621,7.261927,9.880731,1.450958,0.7578107
131,120000,9,3798,50045,2,5.7912,3.6576,11.69525,8.242229,10.82068,1.75634,1.296807
0,135000,7,2252,34879,3,5.57784,3.3528,11.81303,7.719574,10.45964,1.718802,1.209796
0,135000,7,2252,34879,3,5.57784,3.3528,11.81303,7.719574,10.45964,1.718802,1.209796
0,160000,7,2836,37046,3,5.6388,3.3528,11.98293,7.95015,10.51992,1.729671,1.209796
0,168000,7,2486,30808,3,5.66928,3.3528,12.03172,7.81843,10.33553,1.735062,1.209796
0,182095,7,3074,25159,3,5.6388,3.3528,12.11228,8.030735,10.13297,1.729671,1.209796
0,175000,7,3074,25265,3,5.6388,3.3528,12.07254,8.030735,10.13718,1.729671,1.209796
0,162000,7,3232,25380,3,5.60832,3.3528,11.99535,8.080856,10.14172,1.724251,1.209796
0,189857,7,3396,31412,4,5.69976,3.6576,12.15403,8.130354,10.35495,1.740424,1.296807
0,190508,7,2464,37026,3,5.76072,3.6576,12.15745,7.809541,10.51938,1.751062,1.296807
0,234552,7,3252,29671,3,5.7912,3.6576,12.36543,8.087026,10.29792,1.75634,1.296807
0,220000,7,3040,29621,3,5.7912,3.3528,12.30138,8.019613,10.29624,1.75634,1.209796
0,175000,7,3055,25265,3,5.76072,3.3528,12.07254,8.024535,10.13718,1.751062,1.209796
11,118000,7,1731,14810,2,1.524,4.8768,11.67844,7.456455,9.603058,0.4213385,1.584489
1,155000,9,2996,45738,3,2.65176,4.2672,11.95118,8.005033,10.73068,0.9752236,1.450958
0,144000,7,2464,46174,3,2.62128,4.2672,11.87757,7.809541,10.74017,0.9636627,1.450958
0,216000,7,2548,46174,3,2.68224,3.9624,12.28303,7.843064,10.74017,0.9866523,1.37685
0,124500,6,3398,63260,4,3.01752,3.9624,11.73206,8.130942,11.05501,1.104435,1.37685
0,80000,6,1988,65212,3,2.46888,3.9624,11.28978,7.594884,11.0854,0.9037646,1.37685
0,100000,7,5136,47916,3,2.49936,4.2672,11.51293,8.54403,10.7772,0.9160348,1.450958
81,88000,6,2327,35538,1,2.37744,1.8288,11.38509,7.752335,10.47836,0.8660243,0.60366
41,41000,6,936,8276,1,1.92024,2.1336,10.62133,6.841616,9.021115,0.6524502,0.7578107
121,66000,7,1674,54886,1,2.31648,0.9144,11.09741,7.422971,10.91301,0.8400487,-0.0894872
7,74000,5,1587,5957,2,2.92608,2.1336,11.21182,7.369601,8.692323,1.073664,0.7578107
1,76900,5,1531,3049,2,2.19456,2.1336,11.25026,7.333676,8.022569,0.7859816,0.7578107
0,132000,7,2574,43757,3,3.74904,2.7432,11.79056,7.853216,10.68641,1.3215,1.009125
0,130000,7,2644,35284,2,3.62712,2.4384,11.77529,7.880048,10.47118,1.288439,0.8913421
39,75000,6,1456,18215,1,4.90728,3.048,11.22524,7.283448,9.81,1.59072,1.114486
2,156500,7,2464,31215,3,4.8768,3.3528,11.96081,7.809541,10.34865,1.584489,1.209796
8,140000,8,2400,29226,3,4.8768,3.048,11.8494,7.783224,10.28281,1.584489,1.114486
81,65000,6,1760,32670,2,5.27304,3.3528,11.08214,7.473069,10.39421,1.662607,1.209796
6,150000,6,3132,26136,3,5.42544,3.6576,11.91839,8.049427,10.17107,1.691099,1.296807
2,155000,7,2688,28688,2,5.7912,3.9624,11.95118,7.896553,10.26423,1.75634,1.37685
0,153000,7,2656,43996,3,7.4676,7.62,11.93819,7.884576,10.69185,2.010574,2.030776
0,160000,7,2738,43560,3,7.49808,7.62,11.98293,7.914983,10.68189,2.014647,2.030776
0,148000,7,2736,43560,3,7.49808,7.62,11.90497,7.914252,10.68189,2.014647,2.030776
0,142000,8,3726,43935,3,7.4676,7.62,11.86358,8.22309,10.69047,2.010574,2.030776
1,162000,7,2656,45302,3,7.34568,7.3152,11.99535,7.884576,10.72111,1.994112,1.989954
0,175500,8,3284,43996,3,7.3152,7.3152,12.07539,8.096817,10.69185,1.989954,1.989954
1,194000,9,3170,45302,3,7.28472,7.3152,12.17561,8.061487,10.72111,1.985779,1.989954
0,130500,6,2330,43995,2,8.16864,7.62,11.77913,7.753623,10.69183,2.100302,2.030776
29,73000,6,1564,48787,1,5.24256,5.7912,11.19821,7.355002,10.79522,1.65681,1.75634
0,140000,6,2248,49829,3,5.21208,5.4864,11.8494,7.717796,10.81635,1.650979,1.702272
29,82000,6,1566,43996,1,5.57784,5.7912,11.31447,7.35628,10.69185,1.718802,1.75634
2,180000,7,2744,77101,3,5.0292,5.1816,12.10071,7.917172,11.25287,1.615261,1.645114
0,200000,7,2470,64745,3,5.05968,5.4864,12.20607,7.811974,11.07821,1.621303,1.702272
51,52900,6,1199,54450,1,7.7724,7.0104,10.87616,7.089243,10.90504,2.050579,1.947395
17,110000,6,2204,45302,2,7.68096,7.0104,11.60824,7.698029,10.72111,2.038744,1.947395
0,68000,7,2400,45738,3,7.68096,7.3152,11.12726,7.783224,10.73068,2.038744,1.989954
2,90000,7,3152,51835,2,7.62,7.0104,11.40757,8.055793,10.85582,2.030776,1.947395
2,102000,7,3152,51835,2,7.62,7.0104,11.53273,8.055793,10.85582,2.030776,1.947395
0,119600,7,2701,48787,3,7.71144,7.3152,11.69191,7.901377,10.79522,2.042705,1.989954
2,113500,7,2000,43569,3,8.5344,7.9248,11.63956,7.600903,10.6821,2.144105,2.069997
11,80500,7,1286,44200,2,9.41832,8.5344,11.29601,7.159292,10.69648,2.242657,2.144105
19,75900,6,1344,78408,2,9.08304,7.9248,11.23717,7.203405,11.26968,2.206409,2.069997
2,109000,6,1232,49384,2,8.2296,7.3152,11.5991,7.116394,10.80738,2.107737,1.989954
6,160000,7,4056,69465,3,8.50392,7.3152,11.98293,8.307953,11.14858,2.140527,1.989954
8,120000,7,2364,43996,3,8.93064,7.62,11.69525,7.76811,10.69185,2.189488,2.030776
0,135900,7,2377,43560,3,9.02208,7.9248,11.81967,7.773594,10.68189,2.199675,2.069997
6,121000,7,2706,43996,3,9.69264,8.5344,11.70355,7.903227,10.69185,2.271367,2.144105
15,85000,6,1978,44867,2,10.8814,9.7536,11.35041,7.589841,10.71146,2.387051,2.277637
3,133000,7,2756,43573,3,9.78408,8.5344,11.7981,7.921535,10.68219,2.280756,2.144105
0,143000,7,2576,49223,3,10.7899,9.4488,11.8706,7.853993,10.80412,2.378612,2.245888
2,130000,7,2528,45738,3,11.2166,10.0584,11.77529,7.835184,10.73068,2.417398,2.308408
0,135000,7,2464,46609,3,11.1862,9.7536,11.81303,7.809541,10.74955,2.414677,2.277637
2,141000,7,2920,43560,3,10.668,9.4488,11.85651,7.979339,10.68189,2.367249,2.245888
0,125000,7,2548,43560,3,10.668,9.4488,11.73607,7.843064,10.68189,2.367249,2.245888
0,172900,7,2580,53579,3,8.86968,7.3152,12.06047,7.855545,10.88891,2.182639,1.989954
0,177755,7,2738,45973,3,8.71728,7.3152,12.08816,7.914983,10.73581,2.165307,1.989954
0,125000,7,2208,45738,3,8.9916,7.62,11.73607,7.699842,10.73068,2.196291,2.030776
0,173500,7,2900,43560,3,8.59536,7.0104,12.06393,7.972466,10.68189,2.151222,1.947395
0,169000,7,3292,43560,3,8.56488,7.0104,12.03765,8.099251,10.68189,2.14767,1.947395
0,167950,6,2472,52708,3,8.77824,7.3152,12.03142,7.812783,10.87252,2.172276,1.989954
0,145000,7,2569,43560,3,8.71728,7.3152,11.88449,7.851272,10.68189,2.165307,1.989954
0,159900,7,2464,47480,3,8.65632,7.0104,11.9823,7.809541,10.76806,2.15829,1.947395
0,172267,7,2826,46598,3,8.62584,7.0104,12.0568,7.946618,10.74931,2.154762,1.947395
0,156900,7,2464,43908,3,8.62584,7.0104,11.96336,7.809541,10.68985,2.154762,1.947395
0,169900,7,2832,43560,3,8.56488,7.0104,12.04296,7.948739,10.68189,2.14767,1.947395
7,129900,7,2056,65340,3,8.62584,7.0104,11.77452,7.628518,11.08736,2.154762,1.947395
26,109900,7,2632,64904,2,8.2296,6.4008,11.60733,7.875499,11.08066,2.107737,1.856423
13,120000,6,2528,44431,3,7.4676,5.7912,11.69525,7.835184,10.70169,2.010574,1.75634
7,140000,6,1800,44867,3,8.56488,6.7056,11.8494,7.495542,10.71146,2.14767,1.902943
7,83000,6,1182,44247,1,8.80872,7.0104,11.3266,7.074963,10.69754,2.175742,1.947395
0,175000,7,2738,59790,3,8.10768,6.4008,12.07254,7.914983,10.99859,2.092812,1.856423
7,117500,8,2016,44900,3,7.86384,6.096,11.67419,7.608871,10.71219,2.062275,1.807633
0,155500,7,2610,44431,3,7.86384,6.096,11.9544,7.867105,10.70169,2.062275,1.807633
2,158000,7,2627,43560,3,7.80288,6.096,11.97035,7.873598,10.68189,2.054493,1.807633
7,115000,6,1848,46300,2,8.0772,5.7912,11.65269,7.521859,10.7429,2.089045,1.75634
6,133500,7,2648,46609,3,10.0584,7.9248,11.80186,7.88156,10.74955,2.308408,2.069997
4,128000,7,2464,43560,3,9.96696,7.9248,11.75979,7.809541,10.68189,2.299276,2.069997
5,105000,7,1998,67954,3,11.0947,8.8392,11.56172,7.599902,11.12659,2.406469,2.179196
16,90000,6,1549,44431,1,11.8567,10.0584,11.40757,7.345365,10.70169,2.472895,2.308408
12,270000,7,3334,43560,3,4.572,3.9624,12.50618,8.111928,10.68189,1.519951,1.37685
26,70000,6,1526,28314,1,5.36448,4.2672,11.15625,7.330405,10.25111,1.679799,1.450958
3,98000,6,1197,50965,2,5.69976,4.572,11.49272,7.087574,10.83889,1.740424,1.519951
1,103900,7,1836,35284,3,5.30352,3.9624,11.55118,7.515345,10.47118,1.668371,1.37685
6,101100,7,2856,29955,2,5.39496,3.6576,11.52387,7.957177,10.30745,1.685465,1.296807
1,107900,7,1836,35121,2,5.36448,3.9624,11.58896,7.515345,10.46655,1.679799,1.37685
15,62000,6,1133,5000,1,4.20624,1.8288,11.03489,7.032624,8.517193,1.436569,0.60366
1,96750,7,1242,23087,2,4.08432,1.524,11.47989,7.124478,10.04702,1.407155,0.4213385
36,79500,5,2216,10000,2,4.08432,1.8288,11.28351,7.703459,9.21034,1.407155,0.60366
0,97900,7,1226,13068,2,3.99288,1.524,11.4917,7.111512,9.477921,1.384513,0.4213385
0,103900,7,1910,20909,2,4.02336,1.524,11.55118,7.554859,9.947935,1.392117,0.4213385
3,70000,6,1728,10938,2,3.90144,1.8288,11.15625,7.45472,9.299998,1.361346,0.60366
26,175000,6,1842,29130,2,5.15112,3.048,12.07254,7.518607,10.27952,1.639214,1.114486
65,80000,5,2384,10000,2,5.1816,3.048,11.28978,7.776535,9.21034,1.645114,1.114486
25,60000,6,1388,7500,1,5.15112,3.048,11.0021,7.235619,8.922658,1.639214,1.114486
0,144500,7,3140,48787,3,7.62,7.9248,11.88103,8.051978,10.79522,2.030776,2.069997
20,97000,6,1296,44867,2,6.49224,4.572,11.48247,7.167038,10.71146,1.870608,1.519951
19,95000,5,1148,44182,2,6.2484,4.572,11.46163,7.045776,10.69607,1.832325,1.519951
0,204080,7,2261,45465,3,5.91312,3.9624,12.22627,7.723562,10.7247,1.777174,1.37685
