"id","educ","regprc","ecoprc","hhsize","male","faminc","age","reglbs","ecolbs"
10301,16,0.59,0.59,2,0,175,40,0,2
10306,18,0.59,0.79,4,1,85,22,1.5,0
10307,12,0.59,0.99,4,0,65,39,0,4
10308,12,0.59,0.99,4,0,35,38,1,1
10309,16,0.89,1.29,3,0,130,42,1.333333,0
10310,16,1.19,1.59,1,0,45,33,1,0
10314,14,0.89,1.29,2,0,55,35,0,2
10315,14,0.59,0.99,3,0,35,26,2.5,0
10330,13,0.89,1.09,4,0,25,49,0,1
10345,14,1.19,1.19,2,1,25,63,10,0
10348,18,0.59,0.79,2,0,45,61,0,5
10350,16,1.19,1.19,4,0,55,47,0,1.333333
10355,16,0.89,0.89,4,0,85,39,0,0
10363,14,1.19,1.39,4,1,45,35,0,3.333333
10374,16,0.89,1.09,6,0,25,24,3.333333,3.333333
10377,18,0.89,1.29,3,0,45,30,1,1.5
10381,12,1.19,1.19,3,0,35,42,0,5
10382,12,0.89,1.29,4,1,45,26,0,2
10386,15,0.89,1.09,2,0,35,80,1.333333,0
10388,12,1.19,1.59,3,1,55,38,3,0
10389,12,0.59,0.79,3,1,25,52,0,3
10390,13,0.89,1.29,1,1,15,75,2,0
10392,14,1.19,1.59,3,0,85,28,0,1.333333
10395,16,0.89,1.29,5,0,55,39,5,0
10401,11,0.89,1.29,1,0,15,78,5,0
10406,14,1.19,1.59,3,0,25,46,0,0.5
10413,16,0.89,1.09,2,0,95,52,1,0
10417,12,0.89,0.89,5,0,45,22,0,2
10421,14,0.59,0.59,5,0,75,41,2,2
10425,12,0.59,0.59,4,1,25,33,0,4
10428,12,0.89,0.89,2,0,55,61,0,3
10429,13,0.89,0.89,4,1,55,39,0,2
10430,12,0.89,0.89,5,0,65,34,0.6666667,0.6666667
10431,16,0.59,0.99,5,0,35,35,6,0.3333333
10434,16,0.89,0.89,2,0,45,22,1,0
10448,12,0.59,0.99,3,0,65,59,0,1.333333
10449,14,0.89,0.89,2,0,95,46,0,0.3333333
10450,12,1.19,1.19,4,1,95,34,0,2
10461,12,0.89,1.09,4,1,75,48,1,1
10465,16,0.59,0.59,1,1,75,44,0,1
10468,18,0.59,0.59,2,0,55,28,0,1.333333
10469,16,0.59,0.59,1,1,35,32,0,0
10470,13,1.19,1.59,5,0,65,36,3.333333,0
10475,11,0.89,1.29,2,0,15,68,0,3
10483,12,0.59,0.79,2,0,45,40,2,0
10493,15,1.19,1.59,1,1,55,43,0,0
10497,16,1.19,1.19,2,0,45,49,0.6666667,0.6666667
10499,18,0.89,1.09,1,1,45,36,0,1
10500,16,0.89,0.89,2,1,45,25,0,2.333333
10508,20,0.89,1.09,2,0,75,32,0,1.666667
10517,15,0.59,0.79,2,0,15,32,1.333333,0.6666667
10518,16,1.19,1.19,3,0,45,36,1,1
10529,12,1.19,1.39,2,0,45,51,1.666667,1.666667
10544,12,1.19,1.39,1,0,25,35,5,0
10547,14,0.89,1.09,3,0,35,44,0,1
10552,9,0.89,1.29,2,0,25,54,0,0.3333333
10555,13,0.89,1.09,2,1,85,33,3,0
10557,15,1.19,1.19,3,0,105,35,0,1.333333
10561,12,1.19,1.59,1,0,15,67,3,0
10565,14,0.89,0.89,5,0,65,50,0,2
10567,16,0.59,0.59,5,0,35,24,1,1
10572,16,0.89,0.89,2,1,45,23,0.5,0.5
10590,13,0.89,1.29,4,0,95,25,2,0
10603,16,1.19,1.59,8,0,55,34,3,0
10604,13,1.19,1.59,1,0,15,83,0,0
10621,18,0.59,0.59,2,0,65,60,0,5
10623,13,0.59,0.99,3,0,35,60,1,1
10627,14,1.19,1.19,2,0,45,69,0,2
10633,13,1.19,1.39,4,0,65,42,0,1
10639,16,0.59,0.79,4,0,55,30,0,2
10646,12,1.19,1.39,2,0,45,56,2,0
10660,14,0.89,0.89,7,0,25,44,1.333333,1.333333
10664,14,0.59,0.99,3,0,15,25,3,2
10667,12,0.89,1.29,4,0,45,69,5,0
10674,12,0.59,0.79,4,0,35,38,21,0
10675,13,0.89,0.89,1,0,25,77,1.333333,0.6666667
10681,13,0.89,1.29,4,0,55,35,2,0
10687,18,1.19,1.59,2,0,65,48,0,2
10695,13,1.19,1.19,2,1,55,54,2,0
10698,16,0.89,1.09,1,1,85,66,1,0
10702,18,0.89,1.09,3,1,65,51,0,3
10710,15,0.59,0.59,6,0,45,39,0,2
10715,12,1.19,1.19,4,0,25,22,0,1.666667
10716,15,0.59,0.99,2,1,55,31,0,1.666667
10731,12,0.89,1.09,4,0,45,40,3,0
10743,14,0.89,0.89,3,0,35,34,0,2
10750,16,0.89,0.89,1,0,25,28,0,2
10753,16,0.89,1.29,4,0,65,27,1,1
10755,12,0.59,0.99,1,1,25,64,3,0
10756,14,1.19,1.39,2,0,75,30,1,1
10758,12,0.89,0.89,3,1,35,41,42,0
10762,14,1.19,1.59,3,0,55,63,3.333333,0
10767,13,0.89,1.09,2,1,85,44,2,0
10773,18,0.59,0.79,3,0,25,53,2.666667,0
10775,18,0.59,0.79,2,0,105,45,0,3.333333
10778,16,0.89,1.09,1,0,35,45,0,2
10781,18,1.19,1.19,3,0,25,48,0,1
10788,16,0.89,0.89,1,1,25,27,0.6666667,0.6666667
10796,15,1.19,1.39,3,1,55,38,0,1.333333
10802,12,0.59,0.79,3,0,35,49,0,2
10804,16,1.19,1.59,3,0,65,28,0,2
10805,20,0.59,0.59,5,0,175,30,42,0
10812,13,1.19,1.39,2,1,25,67,0,1
10819,12,1.19,1.39,3,1,35,25,0,3
10820,13,0.89,1.29,3,0,15,30,0,0.5
10824,16,1.19,1.39,3,1,65,44,0,0
10828,16,0.59,0.79,5,0,130,37,0,3.333333
10834,13,1.19,1.39,7,0,35,44,5,2
10837,14,0.59,0.79,5,0,65,39,0,2
10843,12,0.59,0.99,1,0,105,57,0,1
10848,14,1.19,1.59,5,0,45,44,0,0
10856,16,0.59,0.79,7,1,130,50,4,0
10861,13,0.89,1.29,3,0,25,22,2,0
10867,12,1.19,1.19,7,0,85,20,0,3
10871,16,0.89,1.09,5,1,75,46,0,2
10879,16,0.89,1.29,5,0,105,33,8,0
10880,16,0.89,0.89,3,0,65,25,1.333333,0
10882,12,0.59,0.79,1,0,45,71,0,1
10883,14,0.89,1.29,3,0,85,53,2,0
10892,14,1.19,1.59,5,0,55,27,4,0
10893,18,0.89,1.09,2,1,75,63,0,0
10910,13,0.89,1.09,2,0,45,45,1,0
10918,11,1.19,1.59,2,0,15,55,0,1
10927,12,0.59,0.99,6,0,65,62,0,2
10929,14,0.89,0.89,2,0,65,41,0,1.333333
10939,17,0.89,1.09,5,0,75,42,1,1
10950,16,1.19,1.59,3,0,95,47,0.6666667,0.6666667
10951,17,0.89,1.09,4,0,35,31,1,0
10956,12,0.59,0.59,3,0,65,23,2,1
10970,16,0.89,1.29,2,0,85,62,0,1
10976,12,1.19,1.59,4,0,35,39,0,3
10979,13,0.59,0.99,5,0,35,34,1,2
10980,20,0.59,0.59,2,1,65,29,0,2
10982,16,0.59,0.59,4,1,95,35,0,3
10983,16,1.19,1.39,2,0,35,58,0.6666667,0
10991,16,0.59,0.99,4,0,105,50,2,0
10995,12,1.19,1.19,1,1,5,81,0,0
10997,17,0.59,0.99,2,0,45,32,0,3
10998,18,0.89,1.09,3,1,65,51,0,0.6666667
11018,12,1.19,1.19,3,0,15,37,3,0
11022,16,0.59,0.59,4,1,85,52,2,0.6666667
11024,16,1.19,1.59,2,1,35,48,0,0
11031,16,1.19,1.39,2,0,65,38,0,4
11040,16,0.89,1.29,2,0,65,66,3,0
11041,14,0.89,0.89,1,1,55,47,0,2.333333
11043,14,1.19,1.39,4,0,85,40,1.666667,0
11048,12,0.59,0.59,2,0,25,22,0,0.5
11061,18,0.59,0.59,1,1,75,56,2.5,2.5
11064,12,1.19,1.19,1,0,35,53,0,2
11065,14,1.19,1.19,1,1,35,30,5,5
11067,16,0.59,0.79,1,0,25,81,2,0
11080,16,1.19,1.59,2,0,35,28,1,1
11082,17,0.59,0.79,1,1,45,64,0.6666667,0.3333333
11085,12,0.89,1.29,4,0,15,27,0,1.5
11088,12,1.19,1.39,1,0,5,85,1,0
11098,18,0.59,0.59,4,1,95,47,0,1
11114,20,0.89,1.09,3,0,45,55,2,0
11117,16,0.59,0.59,3,1,85,36,0,2
11119,16,0.59,0.99,3,0,45,44,3,0
11142,12,0.89,0.89,2,1,45,60,10,5
11144,12,0.59,0.99,3,0,35,38,0,0.6666667
11146,12,0.59,0.79,2,1,55,27,1,0
11148,16,0.59,0.59,2,1,65,33,0,2
11149,12,0.59,0.79,1,1,35,66,1,1
11161,16,1.19,1.19,3,1,75,47,0,2.5
11162,12,1.19,1.19,5,0,25,43,0,3
11170,12,0.89,0.89,3,1,65,41,0,5
11180,13,0.89,1.29,2,0,35,46,2,0
11184,15,0.59,0.59,4,0,25,44,1,0
11194,13,1.19,1.59,4,0,175,36,0,3.333333
11209,14,0.89,1.09,1,1,15,34,5,0
11214,18,0.89,1.29,3,0,55,35,0,1.333333
11217,12,0.59,0.79,2,0,25,51,2,1
11225,14,0.59,0.59,4,0,75,33,0,1
11228,18,1.19,1.39,4,0,130,35,1,1
11233,20,1.19,1.59,2,0,25,60,0,1.5
11243,14,1.19,1.59,2,0,45,63,0,2.5
11252,12,0.89,1.29,1,0,15,66,0,1.333333
11256,12,1.19,1.59,4,0,65,46,0,5
11258,16,0.59,0.99,1,1,55,37,0,2
11267,18,0.89,1.29,2,0,35,67,1,1
11271,16,1.19,1.19,3,0,45,38,0,1.333333
11276,15,0.89,1.09,4,1,175,22,0,5
11279,16,0.89,1.09,4,0,175,49,0,1.333333
11283,18,0.59,0.59,2,1,45,65,0,2
11284,18,1.19,1.39,3,0,85,45,0,5
11286,16,0.89,0.89,5,0,35,41,0,3
11287,12,1.19,1.59,4,0,25,21,1,0
11288,13,0.59,0.79,4,0,105,58,3,2
11290,14,0.59,0.99,1,1,25,43,1.666667,0
11292,16,0.59,0.59,3,0,250,46,0.6666667,0.6666667
11305,18,0.59,0.59,2,0,75,31,0,1.666667
11306,15,1.19,1.39,3,0,45,37,0.6666667,0.6666667
11312,12,0.59,0.99,4,0,25,43,0,0
11315,13,0.89,0.89,3,0,45,60,0,1.333333
11322,14,0.59,0.99,3,0,75,64,5,0
11323,12,0.89,1.29,2,0,35,44,2,0
11354,13,0.89,1.09,6,1,55,56,2,0
11386,12,1.19,1.39,1,0,5,75,1.333333,0
11388,16,0.89,1.09,2,0,130,35,0,2
11391,20,0.59,0.59,2,0,55,62,0,1.666667
11403,13,0.59,0.59,2,0,45,44,0,1
11404,18,0.59,0.59,3,0,65,62,0,1.333333
11412,14,0.89,1.09,3,0,25,35,2,0
11420,15,0.89,1.09,1,0,75,48,1,1
11426,12,0.59,0.79,4,1,35,49,2,0
11427,12,0.59,0.79,3,0,55,33,3,0
11433,16,0.89,0.89,1,1,45,41,0,1.666667
11434,12,0.89,1.29,2,1,25,20,1,0
11437,15,0.89,1.09,7,0,35,21,0,2
11442,12,0.59,0.59,2,0,65,55,0,2
11447,13,0.59,0.79,2,0,130,30,1,0
11448,12,1.19,1.59,1,1,15,34,3,0
11449,15,1.19,1.19,2,1,45,42,0,1.5
11456,18,1.19,1.19,2,1,55,71,0,2
11457,13,0.89,1.29,2,0,45,25,0,2
11460,13,1.19,1.59,5,0,35,42,3,0
11467,13,0.89,1.29,6,0,45,33,2.5,2.5
11480,17,0.89,1.09,3,0,95,46,0,4
11486,16,1.19,1.39,2,1,85,31,1.666667,0
11487,12,0.59,0.79,1,1,85,51,6,0
11492,16,0.89,0.89,3,0,5,46,0,2
11494,12,0.59,0.59,4,0,65,34,0,5
11495,16,0.59,0.99,4,1,105,46,1.666667,0
11497,13,0.89,1.29,2,1,65,40,1,0
11502,12,0.89,0.89,5,0,35,39,0,1.666667
11507,18,0.89,1.09,2,0,25,42,0,3
11508,12,0.89,1.29,2,1,55,62,0.5,0.5
11517,18,1.19,1.19,2,0,130,54,0,1
11518,16,1.19,1.19,3,1,35,30,0,2
11535,12,1.19,1.19,3,1,25,29,1,0
11541,17,0.59,0.59,1,0,35,51,0,3
11545,12,0.89,1.29,4,0,35,57,3,0
11553,13,1.19,1.39,2,1,45,58,5,0
11559,18,0.59,0.99,3,0,65,53,0.6666667,0.6666667
11560,13,0.89,0.89,8,0,35,33,1,1
11561,12,0.59,0.79,2,1,25,24,0,2
11564,12,0.89,0.89,5,1,85,39,4,0
11567,17,1.19,1.59,4,0,65,41,0,1
11572,16,1.19,1.39,6,0,65,46,0,1.666667
11573,15,1.19,1.59,2,0,75,46,0,1.333333
11583,16,0.89,0.89,4,1,15,33,0,2
11587,12,1.19,1.39,6,1,25,37,2,0
11592,12,0.59,0.99,1,0,5,75,5,0
11594,13,0.89,1.09,3,0,85,35,1,0
11598,12,0.89,1.29,5,0,15,29,5,0
11599,18,0.59,0.79,1,0,130,31,0.6666667,0
11600,14,1.19,1.19,2,0,25,47,0,0
11603,18,1.19,1.39,4,0,35,39,1.666667,0
11604,14,1.19,1.19,7,1,35,30,0,4
11610,13,0.89,1.29,1,0,15,79,1,1
11618,16,0.89,1.09,4,0,175,43,0,2
11623,12,1.19,1.39,4,0,35,30,1.666667,0
11624,12,1.19,1.19,2,0,25,28,0,1.333333
11629,12,0.89,1.09,2,0,35,54,2,0
11630,13,1.19,1.19,4,0,35,37,0,5
11636,10,0.89,0.89,2,0,75,49,1.666667,0
11639,12,1.19,1.39,2,0,25,38,0,2
11657,12,0.59,0.99,3,1,35,41,0,0
11658,16,0.59,0.79,9,0,35,21,0,3
11665,10,1.19,1.39,8,0,5,40,1,0
11669,13,0.59,0.59,5,0,35,30,0.5,0.5
11673,12,0.59,0.99,3,0,15,54,3,1
11679,14,0.59,0.59,3,0,25,39,1,1
11705,18,0.89,0.89,5,1,65,58,0,0.3333333
11706,18,0.59,0.79,2,0,45,39,0,3
11708,15,0.59,0.79,1,0,35,33,1,0
11710,14,0.59,0.59,3,0,45,34,0,1.666667
11712,14,1.19,1.19,4,1,45,28,2,0
11713,16,1.19,1.39,2,0,75,53,0,0.3333333
11721,16,0.59,0.59,4,0,25,26,0,3
11722,13,0.59,0.79,4,0,75,30,0,2
11723,18,1.19,1.59,2,0,65,46,1,0
11725,15,0.59,0.59,2,0,45,42,0,1.333333
11737,20,0.89,1.29,1,0,5,80,3.333333,0
11746,14,0.89,1.29,2,0,45,24,0,1
11747,17,0.59,0.59,6,0,75,35,0,2
11750,18,0.89,1.09,3,0,95,47,0,5
11753,12,1.19,1.59,1,0,25,78,0,3
11757,18,1.19,1.19,1,0,75,53,2,0
11759,8,0.89,1.09,1,0,5,79,0.6666667,0
11765,12,0.59,0.79,3,1,85,37,0,4
11771,13,0.59,0.99,2,0,25,23,0.6666667,0
11778,12,1.19,1.39,2,0,25,68,0,2
11781,12,0.59,0.79,2,0,25,52,1.666667,0
11786,17,0.59,0.79,3,0,35,26,0,5
11810,15,0.89,1.09,2,1,25,66,3,0
11812,13,0.89,1.29,2,0,5,28,1,1
11814,13,0.89,1.09,1,0,15,70,0,0
11821,12,0.89,1.29,3,0,55,42,2,0
11828,18,0.59,0.59,2,0,55,48,0,2
11830,18,1.19,1.19,3,1,15,22,1.333333,1.333333
11839,11,0.59,0.99,3,0,25,63,3,0
11840,14,0.59,0.79,5,1,45,44,0,21
11844,12,0.59,0.99,3,1,45,47,3,0
11845,16,0.59,0.99,2,0,55,41,3,0
11851,14,0.89,1.09,3,1,35,23,2.333333,0
11854,13,1.19,1.39,4,0,55,56,0,3
11868,12,0.59,0.59,2,0,75,43,0,0.6666667
11869,13,0.89,0.89,2,1,35,72,0,5
11874,16,1.19,1.59,2,0,25,75,5,0
11879,13,0.89,0.89,1,0,35,49,0,1
11880,17,0.89,0.89,2,1,105,51,0,2
11884,13,0.59,0.99,3,0,45,64,2,0
11893,12,0.89,1.29,5,0,25,21,2,0
11895,12,0.59,0.79,5,0,45,40,0,3
11897,14,0.59,0.59,3,0,25,35,0,3
11898,12,0.89,1.09,3,0,45,57,2,0
11900,12,1.19,1.39,1,0,25,70,2,0
11901,17,0.59,0.99,4,0,25,43,0,0.5
11908,16,0.59,0.99,1,0,35,30,2,0
11917,13,1.19,1.59,4,1,105,30,0,2
11931,18,0.89,0.89,1,1,55,35,0,1
11934,18,0.89,1.29,2,0,55,36,0,5
11941,18,1.19,1.19,1,0,25,28,0.3333333,0.3333333
11949,13,0.89,1.09,5,0,35,42,0,1.666667
11954,17,0.59,0.79,1,0,25,67,0,2
11966,17,1.19,1.19,1,1,25,43,0,1
11973,16,1.19,1.59,1,0,45,63,1.5,1.5
11986,16,0.59,0.99,1,0,35,32,1,0
11992,13,1.19,1.59,5,1,45,22,0,3
11994,14,0.89,0.89,1,0,15,88,0,3
11998,16,1.19,1.59,2,0,25,52,0,0
12003,13,0.89,0.89,2,0,35,74,0,10.5
12004,13,1.19,1.19,2,1,45,47,0,1
12022,16,1.19,1.59,2,0,35,23,0,5
12023,12,0.89,1.29,2,0,45,58,0,0.6666667
12025,12,0.89,0.89,4,0,45,49,3,0
12032,14,0.59,0.59,6,0,15,39,0,2
12033,13,0.59,0.59,4,0,15,46,2,2
12035,13,1.19,1.19,5,0,45,53,0,1
12036,18,0.59,0.99,2,0,35,78,1,1
12038,13,0.89,0.89,2,1,55,25,1,1
12050,13,0.89,0.89,4,0,65,37,0,3
12056,13,0.59,0.59,7,0,25,22,0,1
12067,16,1.19,1.39,1,1,65,40,0.6666667,0.6666667
12078,16,0.89,1.29,3,0,95,27,1,1
12080,12,0.89,0.89,5,0,35,31,0,1.333333
12086,18,0.59,0.59,2,0,35,59,0,2
12088,12,0.59,0.59,5,0,65,42,0,0
12096,16,0.59,0.59,2,0,25,41,0,3
12100,12,0.59,0.59,1,1,85,79,0,1
12101,15,1.19,1.39,2,0,45,27,1.333333,0
12108,12,1.19,1.19,2,0,15,68,3,0
12109,18,0.59,0.79,1,1,15,34,2,0
12110,16,1.19,1.59,2,1,45,48,1,0
12114,17,0.59,0.99,2,1,175,58,0,5
12120,11,0.59,0.99,5,1,55,19,0,2
12138,15,0.59,0.79,2,0,75,24,3.333333,0
12142,12,0.89,0.89,2,0,35,67,2,0
12144,13,0.59,0.99,2,0,75,51,2,0
12146,14,1.19,1.39,2,1,35,28,2,0
12149,11,0.89,1.29,5,0,25,51,5,0
12157,12,1.19,1.59,2,0,35,64,0,0
12158,15,0.59,0.79,5,1,85,37,1,0
12161,13,0.59,0.59,2,0,35,48,0.5,0.5
12166,16,1.19,1.59,4,0,25,77,4,4
12171,13,1.19,1.19,2,1,95,36,1,1
12179,16,1.19,1.19,4,0,130,43,1.333333,0
12185,13,1.19,1.19,2,0,25,74,8,8
12193,17,1.19,1.19,1,0,250,70,0,1.666667
12198,16,0.89,1.09,2,0,65,25,1.333333,2.333333
12207,13,0.59,0.79,2,1,25,72,2,0
12228,18,0.89,1.09,4,0,65,44,2.666667,0
12234,18,0.59,0.99,1,0,25,35,0,0
12242,12,0.89,0.89,2,0,55,63,0,4
12244,20,0.59,0.59,3,0,45,60,0,5
12245,16,1.19,1.39,2,0,45,42,0,4
12254,13,1.19,1.19,4,0,25,29,0,10.5
12265,16,0.59,0.59,4,0,95,45,2.666667,0
12281,18,0.89,1.29,4,0,250,38,0,1.666667
12284,13,0.59,0.99,3,0,45,26,0,1
12286,14,0.59,0.59,4,0,55,42,0,5
12294,13,0.89,1.09,8,0,35,34,0,2
12312,15,0.89,0.89,3,0,35,50,0,2
12314,15,0.89,0.89,1,0,35,23,1,0.6666667
12321,16,0.89,1.29,3,0,35,27,3.333333,0
12322,16,0.89,1.29,4,0,65,35,2,0
12325,12,1.19,1.19,6,0,25,33,0,1.333333
12327,12,0.89,1.09,3,0,65,50,0,2
12331,15,1.19,1.59,1,1,15,44,0,1
12335,12,0.89,1.09,5,0,75,40,0,3
12348,13,0.89,1.29,3,0,25,44,2.5,2.5
12349,12,1.19,1.39,3,0,75,47,1,0
12350,16,1.19,1.39,2,0,45,37,0,3
12354,13,0.89,0.89,2,0,25,42,0,2
12355,16,0.59,0.79,1,1,45,52,5,5
12360,12,1.19,1.39,1,0,15,77,0,3
12369,14,1.19,1.39,1,0,35,66,2,0
12370,16,0.59,0.99,4,0,65,31,0,1.333333
12373,14,0.59,0.59,3,0,35,34,1.5,0
12377,13,0.59,0.59,2,0,55,25,1.666667,0
12380,16,1.19,1.59,2,1,250,33,0,2
12383,12,0.59,0.59,4,0,45,36,0,2
12388,14,0.89,1.09,2,1,35,58,1,0
12389,14,0.89,1.29,3,1,75,22,0,2
12390,14,1.19,1.19,1,0,35,72,0,0
12397,18,0.89,0.89,3,0,65,46,0,2
12398,17,0.59,0.59,4,0,25,28,6,0
12400,8,0.59,0.99,1,0,15,69,0,0
12407,13,0.89,0.89,3,0,35,49,1,1
12410,12,0.89,0.89,4,0,25,32,1.666667,1.666667
12411,16,1.19,1.19,2,0,55,25,0,42
12416,16,0.89,1.29,3,0,75,51,1.666667,0
12431,13,1.19,1.59,4,0,35,20,1.666667,0
12435,12,1.19,1.59,2,0,25,61,2,0
12457,18,0.59,0.79,3,0,85,29,0.6666667,0.6666667
12464,14,0.89,1.29,1,1,75,48,0,1.333333
12467,12,0.89,0.89,3,1,25,43,3,0
12468,18,1.19,1.19,2,1,25,28,0,1
12487,14,1.19,1.19,2,1,25,57,2.333333,0
12495,13,0.59,0.99,3,1,25,21,1,0
12502,12,1.19,1.39,1,0,15,75,0,3
12516,12,1.19,1.19,3,0,15,63,0,0
12520,12,1.19,1.59,1,1,75,35,1.666667,0
12532,13,0.59,0.79,5,0,25,35,2,0
12533,15,0.59,0.59,3,0,55,58,0,3
12543,11,1.19,1.19,2,0,15,51,0,1
12547,18,1.19,1.39,6,0,65,46,0,1.666667
12551,18,0.89,1.29,2,0,65,32,1.333333,0
12552,12,0.59,0.99,3,0,75,35,0,2
12554,18,0.59,0.59,2,1,25,25,0,1.333333
12556,14,0.59,0.99,4,0,65,36,0,1
12560,12,1.19,1.59,2,0,55,52,0,0.3333333
12565,14,0.59,0.79,1,1,25,19,2,0
12569,16,0.59,0.79,2,0,45,49,0,2
12582,12,0.59,0.79,3,1,55,49,3,0
12592,20,0.89,0.89,7,1,105,31,0,7
12599,12,0.89,1.29,5,0,35,25,0,0.3333333
12604,16,0.89,1.29,2,0,65,55,1.333333,0.6666667
12606,12,0.59,0.99,5,0,65,52,2,0
12612,12,0.89,1.29,4,0,5,30,0,2
12617,12,0.59,0.99,1,1,25,64,2.666667,0
12628,14,1.19,1.39,1,0,55,35,0,10.5
12629,13,0.59,0.59,2,0,15,39,4,0
12630,12,1.19,1.39,7,0,65,44,2,1
12631,13,0.59,0.99,2,0,35,45,0,0.5
12640,12,0.59,0.79,4,0,45,54,0,2
12647,18,0.59,0.59,2,1,85,43,0.6666667,0.6666667
12648,16,0.89,1.09,4,0,55,44,10.5,0
12649,13,1.19,1.59,1,0,85,49,0,0
12650,16,0.89,0.89,1,0,35,59,0,1.333333
12659,17,0.59,0.79,2,1,75,32,5,0
12662,12,1.19,1.59,7,0,35,30,0,1
12663,12,0.89,1.29,8,0,65,67,2,0
12665,14,0.89,0.89,3,1,45,48,1.666667,1.666667
12667,13,0.59,0.59,1,1,85,19,2,0
12670,12,1.19,1.39,2,0,45,45,2,0
12674,16,1.19,1.59,2,0,75,62,2,0
12675,11,0.89,1.29,3,0,25,29,0,0
12693,16,1.19,1.19,4,0,65,42,0,3
12702,18,1.19,1.59,4,0,175,65,0,1.5
12704,12,0.59,0.59,3,1,55,40,5,5
12707,12,0.59,0.79,3,0,15,43,3,1
12713,16,1.19,1.19,6,0,55,29,0,3
12715,16,1.19,1.19,2,0,65,53,0,0
12719,15,0.89,0.89,4,1,15,36,2,2
12727,13,0.89,0.89,4,0,35,22,1.666667,1.666667
12732,13,0.89,1.29,3,0,95,49,1,0
12735,16,0.59,0.59,2,1,35,25,0,2
12736,18,0.89,1.29,2,0,35,28,0,1
12755,12,0.89,1.09,2,1,15,63,2,1
12761,18,1.19,1.19,2,0,95,51,1,1
12770,12,0.89,1.29,5,0,95,38,2,0
12771,12,1.19,1.19,3,1,65,50,0,5
12779,12,1.19,1.59,3,0,15,33,3,0
12781,14,0.89,0.89,2,1,15,81,0,3
