"respondentid","monthlysalary","education","experience","caste","gender","marital_status"
169,72960,13,8,"Upper Caste","Male","Married"
170,187021,13,25,"Upper Caste","Male","Married"
171,177293,18,13,"Upper Caste","Female","Single"
172,152000,12,8,"Upper Caste","Male","Single"
173,63840,12,19,"Upper Caste","Female","Married"
174,26387.2,13,1,"Upper Caste","Female","Single"
175,86822.4,12,43,"Upper Caste","Female","Single"
176,75635.2,12,19,"Upper Caste","Female","Married"
177,109440,12,11,"Upper Caste","Female","Married"
178,121600,14,43,"Upper Caste","Male","Married"
179,70163.2,10,44,"Upper Caste","Male","Married"
180,48640,12,22,"Upper Caste","Female","Married"
181,106400,16,3,"Upper Caste","Male","Married"
182,79404.8,16,3,"Upper Caste","Female","Single"
183,92416,12,41,"Upper Caste","Female","Single"
184,60800,14,5,"Upper Caste","Male","Single"
185,60800,12,14,"Upper Caste","Female","Single"
186,265818,12,24,"Upper Caste","Male","Married"
187,105062,12,28,"Upper Caste","Male","Married"
188,40128,12,25,"Upper Caste","Male","Married"
189,53990.4,12,3,"Upper Caste","Male","Single"
190,55328,12,11,"Upper Caste","Male","Married"
191,42560,12,7,"Lower Caste","Female","Married"
192,76000,16,9,"Upper Caste","Male","Married"
193,46816,16,5,"Upper Caste","Male","Married"
194,75148.8,14,9,"Upper Caste","Female","Married"
195,35385.6,11,1,"Upper Caste","Female","Single"
196,76000,16,2,"Lower Caste","Female","Single"
197,76000,12,13,"Upper Caste","Female","Married"
198,110048,12,10,"Upper Caste","Male","Married"
199,121600,17,5,"Upper Caste","Male","Married"
200,135098,12,30,"Upper Caste","Male","Married"
201,83660.8,12,31,"Upper Caste","Male","Married"
202,106400,16,1,"Lower Caste","Male","Single"
203,121600,8,9,"Upper Caste","Male","Married"
204,37088,12,10,"Upper Caste","Female","Married"
205,36480,12,38,"Upper Caste","Female","Married"
206,70528,12,19,"Upper Caste","Female","Married"
207,49856,16,5,"Upper Caste","Female","Married"
208,97280,12,26,"Upper Caste","Male","Married"
209,74784,12,35,"Upper Caste","Female","Single"
210,32832,9,2,"Upper Caste","Female","Single"
211,33440,13,1,"Upper Caste","Female","Single"
212,36480,16,19,"Upper Caste","Female","Married"
213,36480,14,3,"Upper Caste","Female","Single"
214,89497.6,8,36,"Upper Caste","Male","Married"
215,91200,14,29,"Upper Caste","Male","Married"
216,42560,13,1,"Upper Caste","Male","Single"
217,98496,12,38,"Upper Caste","Female","Married"
218,45600,18,1,"Upper Caste","Male","Single"
219,39520,9,29,"Lower Caste","Male","Married"
220,70892.8,8,36,"Upper Caste","Female","Married"
221,42560,8,4,"Upper Caste","Male","Single"
222,40492.8,12,45,"Upper Caste","Female","Married"
223,48640,14,22,"Upper Caste","Female","Single"
224,42560,12,20,"Upper Caste","Female","Married"
225,76000,16,5,"Upper Caste","Male","Married"
226,35872,8,15,"Lower Caste","Female","Married"
227,69433.6,13,10,"Upper Caste","Female","Married"
228,36480,9,3,"Upper Caste","Female","Single"
229,277978,16,16,"Upper Caste","Male","Married"
230,109440,12,38,"Upper Caste","Male","Married"
231,101293,15,33,"Upper Caste","Male","Married"
232,36480,11,2,"Upper Caste","Male","Single"
233,69920,14,6,"Upper Caste","Male","Married"
234,82201.6,12,19,"Lower Caste","Male","Married"
235,121600,12,29,"Upper Caste","Male","Married"
236,36480,12,2,"Upper Caste","Male","Single"
237,42560,18,3,"Upper Caste","Female","Single"
238,39520,12,4,"Upper Caste","Male","Single"
239,48640,12,10,"Lower Caste","Female","Single"
240,35507.2,12,4,"Upper Caste","Female","Single"
241,37209.6,12,14,"Lower Caste","Female","Single"
242,38912,12,15,"Upper Caste","Female","Married"
243,57760,12,19,"Upper Caste","Male","Married"
244,36480,14,17,"Upper Caste","Female","Married"
245,220826,16,29,"Upper Caste","Male","Married"
246,42560,12,2,"Upper Caste","Female","Single"
247,49977.6,14,5,"Upper Caste","Male","Single"
248,23833.6,11,38,"Lower Caste","Female","Single"
249,52166.4,12,3,"Upper Caste","Female","Single"
250,36480,10,47,"Upper Caste","Male","Single"
251,78432,12,7,"Upper Caste","Male","Married"
252,63232,6,47,"Lower Caste","Male","Married"
253,54720,13,23,"Lower Caste","Female","Single"
254,47180.8,12,12,"Upper Caste","Male","Married"
255,41952,10,11,"Upper Caste","Female","Single"
256,132666,12,25,"Upper Caste","Male","Single"
257,49856,14,6,"Upper Caste","Female","Married"
258,36480,13,3,"Upper Caste","Male","Single"
259,71744,12,14,"Lower Caste","Male","Married"
260,218880,18,13,"Upper Caste","Female","Single"
261,48640,12,9,"Upper Caste","Male","Single"
262,36480,12,1,"Lower Caste","Male","Single"
263,43168,12,6,"Upper Caste","Female","Married"
264,36480,12,11,"Upper Caste","Female","Married"
265,106400,12,47,"Upper Caste","Male","Married"
266,35264,8,49,"Upper Caste","Female","Single"
267,76121.6,13,37,"Upper Caste","Female","Married"
268,42560,13,2,"Upper Caste","Female","Single"
269,55936,14,7,"Upper Caste","Female","Married"
270,72960,12,22,"Upper Caste","Male","Single"
271,35142.4,10,8,"Upper Caste","Female","Single"
272,67852.8,16,1,"Upper Caste","Male","Married"
273,48640,12,43,"Upper Caste","Female","Married"
274,72960,16,2,"Upper Caste","Male","Single"
275,54720,12,2,"Upper Caste","Female","Single"
276,35507.2,14,1,"Upper Caste","Male","Single"
277,52652.8,18,1,"Upper Caste","Male","Single"
278,229702,17,26,"Upper Caste","Male","Married"
279,52044.8,13,1,"Upper Caste","Female","Single"
280,55571.2,14,37,"Upper Caste","Female","Married"
281,76000,15,12,"Upper Caste","Female","Married"
282,35872,14,41,"Lower Caste","Male","Married"
283,106400,12,24,"Upper Caste","Male","Single"
284,103360,8,38,"Upper Caste","Male","Single"
285,45600,12,18,"Upper Caste","Female","Married"
286,38304,12,26,"Upper Caste","Male","Married"
287,60800,8,45,"Upper Caste","Male","Single"
288,78553.6,12,27,"Upper Caste","Male","Married"
289,24320,9,2,"Upper Caste","Male","Single"
290,58246.4,12,41,"Upper Caste","Male","Married"
291,70284.8,16,11,"Upper Caste","Male","Married"
292,38668.8,12,5,"Upper Caste","Female","Married"
293,56908.8,16,3,"Upper Caste","Female","Single"
294,49856,12,3,"Upper Caste","Female","Single"
295,35385.6,12,4,"Upper Caste","Male","Married"
296,72960,13,21,"Upper Caste","Male","Married"
297,43776,10,34,"Upper Caste","Female","Married"
298,48032,6,49,"Upper Caste","Male","Married"
299,85120,12,6,"Lower Caste","Male","Married"
300,36480,12,26,"Upper Caste","Female","Married"
301,73932.8,16,9,"Upper Caste","Male","Single"
302,104941,12,23,"Upper Caste","Male","Married"
303,36480,8,33,"Upper Caste","Male","Married"
304,45600,12,5,"Upper Caste","Female","Married"
305,35264,6,49,"Upper Caste","Male","Married"
306,36480,4,48,"Lower Caste","Male","Married"
307,76000,11,35,"Upper Caste","Male","Married"
308,42560,11,23,"Lower Caste","Female","Single"
309,36480,7,26,"Upper Caste","Female","Single"
310,39398.4,12,16,"Upper Caste","Female","Married"
311,97523.2,18,23,"Upper Caste","Female","Married"
312,40492.8,12,36,"Upper Caste","Female","Married"
313,63840,16,4,"Upper Caste","Male","Single"
314,76000,12,10,"Upper Caste","Male","Married"
315,42560,14,18,"Upper Caste","Male","Married"
316,35872,12,3,"Upper Caste","Male","Single"
317,36480,10,7,"Upper Caste","Female","Married"
318,57030.4,10,7,"Upper Caste","Male","Single"
319,45356.8,9,33,"Upper Caste","Female","Single"
320,48640,10,34,"Upper Caste","Male","Married"
321,48640,12,8,"Upper Caste","Female","Married"
322,35264,12,17,"Upper Caste","Female","Married"
323,37088,12,2,"Upper Caste","Female","Single"
324,61408,10,5,"Upper Caste","Female","Single"
325,169632,16,41,"Upper Caste","Male","Married"
326,220826,16,35,"Upper Caste","Male","Married"
327,76000,16,11,"Upper Caste","Male","Single"
328,63840,12,4,"Lower Caste","Male","Single"
329,58246.4,12,12,"Upper Caste","Female","Married"
330,40736,7,35,"Upper Caste","Female","Single"
331,36480,8,33,"Upper Caste","Male","Married"
332,102509,16,8,"Upper Caste","Male","Married"
333,69312,16,2,"Upper Caste","Male","Single"
334,145677,18,8,"Upper Caste","Male","Married"
335,42560,13,29,"Upper Caste","Female","Married"
336,51558.4,10,14,"Lower Caste","Male","Married"
337,85120,16,26,"Upper Caste","Female","Married"
338,72960,14,11,"Upper Caste","Female","Married"
339,148595,16,10,"Upper Caste","Male","Single"
340,54720,12,13,"Upper Caste","Male","Married"
341,36480,9,23,"Upper Caste","Female","Married"
342,35264,11,1,"Lower Caste","Male","Single"
343,182400,11,35,"Upper Caste","Male","Married"
344,48640,12,5,"Upper Caste","Male","Married"
345,63840,11,13,"Upper Caste","Male","Married"
346,48640,12,22,"Upper Caste","Male","Married"
347,40128,12,21,"Upper Caste","Female","Married"
348,61408,12,19,"Upper Caste","Female","Married"
349,43532.8,12,13,"Upper Caste","Male","Single"
350,60800,14,15,"Upper Caste","Male","Married"
351,55571.2,14,3,"Upper Caste","Male","Married"
352,152000,18,6,"Upper Caste","Male","Single"
353,41952,12,6,"Upper Caste","Female","Married"
354,56300.8,12,16,"Upper Caste","Female","Single"
355,121600,12,31,"Upper Caste","Male","Married"
356,35507.2,11,1,"Upper Caste","Female","Single"
357,54841.6,12,5,"Upper Caste","Male","Single"
358,79040,17,3,"Upper Caste","Male","Married"
359,91200,16,11,"Upper Caste","Male","Married"
360,43046.4,13,6,"Upper Caste","Female","Married"
361,51072,13,11,"Upper Caste","Female","Married"
362,42681.6,12,7,"Upper Caste","Female","Married"
363,54720,14,5,"Upper Caste","Male","Married"
364,40736,14,5,"Upper Caste","Female","Married"
365,35385.6,11,2,"Upper Caste","Male","Single"
366,63840,10,44,"Upper Caste","Male","Married"
367,49248,8,44,"Upper Caste","Male","Married"
368,45600,14,13,"Upper Caste","Female","Married"
369,41344,12,26,"Upper Caste","Female","Married"
370,36480,10,2,"Upper Caste","Female","Single"
371,76486.4,17,10,"Upper Caste","Male","Married"
372,30886.4,9,2,"Upper Caste","Female","Single"
373,54720,12,35,"Upper Caste","Female","Married"
374,38060.8,12,6,"Upper Caste","Female","Married"
375,77337.6,14,8,"Upper Caste","Male","Married"
376,56908.8,16,1,"Upper Caste","Male","Single"
377,82688,12,14,"Upper Caste","Male","Married"
378,103725,10,14,"Upper Caste","Male","Married"
379,50707.2,0,22,"Upper Caste","Female","Single"
380,45600,14,8,"Upper Caste","Female","Married"
381,134976,15,1,"Upper Caste","Female","Single"
382,39641.6,16,15,"Lower Caste","Female","Married"
383,111021,12,14,"Upper Caste","Male","Married"
384,54720,11,37,"Upper Caste","Male","Married"
385,36480,11,1,"Upper Caste","Female","Single"
386,106400,12,4,"Upper Caste","Male","Married"
387,50342.4,13,29,"Upper Caste","Female","Married"
388,34899.2,12,45,"Upper Caste","Female","Married"
389,40736,13,22,"Upper Caste","Female","Single"
390,73932.8,16,42,"Upper Caste","Male","Single"
391,36480,15,9,"Lower Caste","Male","Single"
392,51072,16,8,"Upper Caste","Female","Married"
393,68096,15,31,"Upper Caste","Female","Single"
394,121600,12,24,"Upper Caste","Male","Married"
395,152000,18,16,"Upper Caste","Male","Married"
396,45721.6,6,6,"Upper Caste","Male","Single"
397,37696,6,14,"Lower Caste","Female","Single"
398,52166.4,12,47,"Upper Caste","Female","Married"
399,132787,12,34,"Upper Caste","Male","Married"
400,91200,16,6,"Upper Caste","Female","Married"
401,49248,9,7,"Upper Caste","Female","Married"
402,56544,12,27,"Upper Caste","Male","Married"
403,60800,11,24,"Upper Caste","Male","Married"
404,35264,10,18,"Upper Caste","Female","Married"
405,97280,12,12,"Lower Caste","Female","Single"
406,102509,8,27,"Upper Caste","Male","Married"
407,35507.2,9,49,"Upper Caste","Female","Single"
408,76000,17,4,"Upper Caste","Female","Single"
409,76000,16,24,"Upper Caste","Female","Married"
410,62137.6,11,3,"Upper Caste","Male","Single"
411,48640,10,2,"Upper Caste","Female","Single"
412,53990.4,8,29,"Upper Caste","Male","Married"
413,83660.8,13,34,"Upper Caste","Male","Married"
414,66028.8,14,10,"Lower Caste","Male","Married"
415,36480,13,5,"Upper Caste","Female","Single"
416,35264,11,2,"Upper Caste","Female","Single"
417,76000,7,39,"Lower Caste","Male","Married"
418,52774.4,16,5,"Lower Caste","Female","Single"
419,39520,12,14,"Upper Caste","Female","Married"
420,88281.6,13,8,"Upper Caste","Male","Single"
421,77216,14,10,"Upper Caste","Female","Married"
422,68460.8,16,2,"Upper Caste","Male","Married"
423,106400,14,9,"Upper Caste","Male","Married"
424,38912,11,1,"Upper Caste","Male","Single"
425,36480,8,45,"Upper Caste","Female","Married"
426,36480,14,33,"Upper Caste","Female","Married"
427,152000,17,21,"Upper Caste","Male","Married"
428,35020.8,10,2,"Upper Caste","Female","Single"
429,40736,12,9,"Upper Caste","Male","Married"
430,79040,12,33,"Upper Caste","Male","Married"
431,126221,18,16,"Lower Caste","Male","Married"
432,54720,14,10,"Upper Caste","Male","Married"
433,121600,18,9,"Upper Caste","Male","Single"
434,46329.6,12,8,"Upper Caste","Female","Married"
435,107008,16,9,"Upper Caste","Male","Married"
436,114547,14,23,"Upper Caste","Female","Married"
437,76972.8,12,23,"Upper Caste","Male","Married"
438,48640,9,22,"Lower Caste","Male","Single"
439,35264,12,37,"Upper Caste","Female","Married"
440,243200,12,22,"Upper Caste","Male","Married"
441,136800,17,28,"Upper Caste","Male","Married"
442,42560,12,14,"Lower Caste","Female","Single"
443,72960,15,19,"Upper Caste","Female","Married"
444,174861,17,10,"Lower Caste","Male","Married"
445,77337.6,16,25,"Upper Caste","Male","Married"
446,43168,12,21,"Upper Caste","Female","Married"
447,36480,15,32,"Upper Caste","Male","Married"
448,54720,16,21,"Upper Caste","Male","Married"
449,80620.8,12,36,"Upper Caste","Female","Single"
450,113088,15,2,"Upper Caste","Male","Married"
451,36480,12,11,"Upper Caste","Female","Married"
452,39520,12,40,"Upper Caste","Female","Single"
453,18240,12,11,"Upper Caste","Female","Married"
454,71744,12,9,"Upper Caste","Female","Married"
455,97280,16,23,"Upper Caste","Male","Single"
456,35264,11,1,"Upper Caste","Female","Single"
457,40006.4,14,30,"Upper Caste","Male","Single"
458,79040,14,41,"Upper Caste","Male","Married"
459,48640,13,6,"Upper Caste","Female","Single"
460,72960,14,11,"Upper Caste","Male","Married"
461,49612.8,12,43,"Upper Caste","Female","Married"
462,45600,12,39,"Upper Caste","Female","Married"
463,37088,8,50,"Upper Caste","Female","Single"
464,42560,12,26,"Upper Caste","Female","Married"
465,35507.2,3,51,"Lower Caste","Male","Single"
466,54720,11,3,"Upper Caste","Male","Single"
467,40736,15,3,"Upper Caste","Female","Married"
468,72352,11,15,"Lower Caste","Male","Married"
469,97280,12,17,"Upper Caste","Male","Married"
470,36480,4,36,"Upper Caste","Male","Married"
471,60800,9,31,"Lower Caste","Male","Married"
472,66880,12,9,"Upper Caste","Male","Married"
473,32224,12,42,"Upper Caste","Female","Married"
474,36480,11,3,"Upper Caste","Female","Single"
475,54720,12,37,"Upper Caste","Female","Married"
476,212800,16,23,"Upper Caste","Male","Married"
477,99468.8,13,21,"Upper Caste","Male","Single"
478,110534,15,11,"Upper Caste","Male","Married"
479,143731,16,35,"Upper Caste","Male","Married"
480,39520,12,42,"Upper Caste","Female","Married"
481,54720,12,3,"Upper Caste","Male","Single"
482,54720,12,13,"Upper Caste","Male","Married"
483,45113.6,9,14,"Upper Caste","Male","Married"
484,79040,10,14,"Upper Caste","Male","Married"
485,35264,12,39,"Upper Caste","Female","Married"
486,68096,11,11,"Upper Caste","Male","Married"
487,27116.8,8,28,"Upper Caste","Male","Married"
488,60800,6,18,"Upper Caste","Female","Married"
489,101293,16,6,"Upper Caste","Male","Married"
490,35264,12,26,"Upper Caste","Female","Single"
491,76000,12,21,"Upper Caste","Male","Married"
492,55328,16,34,"Upper Caste","Male","Married"
493,39884.8,12,17,"Upper Caste","Female","Single"
494,27968,10,2,"Upper Caste","Female","Single"
495,40128,13,5,"Upper Caste","Female","Single"
496,38304,13,1,"Upper Caste","Female","Single"
497,152000,14,40,"Upper Caste","Male","Married"
498,62624,16,39,"Upper Caste","Female","Single"
499,38060.8,10,1,"Upper Caste","Male","Single"
500,88160,12,14,"Upper Caste","Male","Married"
501,35264,12,2,"Upper Caste","Female","Single"
502,21280,11,2,"Upper Caste","Male","Single"
503,35142.4,0,42,"Upper Caste","Female","Married"
504,35264,5,34,"Upper Caste","Female","Married"
505,215354,16,10,"Upper Caste","Male","Married"
506,76000,16,4,"Upper Caste","Male","Married"
507,31616,9,4,"Upper Caste","Male","Single"
508,80620.8,15,21,"Upper Caste","Female","Married"
509,42560,12,31,"Lower Caste","Female","Single"
510,79040,12,20,"Upper Caste","Male","Married"
511,36480,12,36,"Lower Caste","Female","Single"
512,53260.8,13,7,"Lower Caste","Male","Married"
513,121600,12,15,"Upper Caste","Male","Single"
514,60192,7,25,"Upper Caste","Male","Married"
515,109440,17,7,"Upper Caste","Female","Married"
516,17388.8,12,17,"Upper Caste","Female","Married"
517,37452.8,12,3,"Upper Caste","Male","Single"
518,113453,14,12,"Upper Caste","Male","Married"
519,91200,12,18,"Upper Caste","Male","Married"
520,57760,13,47,"Upper Caste","Male","Married"
521,68704,12,2,"Upper Caste","Male","Single"
522,182400,16,14,"Upper Caste","Female","Married"
523,27603.2,10,2,"Upper Caste","Female","Single"
524,56787.2,15,13,"Upper Caste","Male","Married"
525,140570,16,5,"Upper Caste","Male","Married"
526,42560,14,5,"Lower Caste","Female","Single"
