"id","attendance","sem_gpa","cum_gpa","admission_score","final_score","year1","year2","classes_missed","sex"
44,25,5.3,5.325,78,89,0,1,7,0
45,31,6.25,6.05,78,91,0,1,1,1
46,32,9.525,8.575,89,99,0,1,0,1
47,30,7.75,5.875,81,84,1,0,2,1
48,30,7.85,9.025,86,89,0,1,2,0
49,30,7.5,7.15,84,94,0,1,2,1
50,10,3.025,5.125,90,94,1,0,22,1
51,19,5.45,7.375,89,88,0,1,13,1
52,30,7.025,6.025,79,85,0,1,2,0
53,17,5.25,5.8,83,92,0,1,15,1
54,27,5.175,5.75,81,90,0,1,5,1
55,27,3.4,4.475,81,87,1,0,5,0
56,27,7.5,5.75,81,95,0,1,5,0
57,28,4.9,6.2,80,86,0,1,4,1
58,30,7.15,7.175,82,100,1,0,2,1
59,30,6.525,5.05,85,89,1,0,2,0
60,30,6.775,6.65,81,88,0,1,2,0
61,31,7.225,7.025,85,88,0,1,1,1
62,26,7.15,5.85,81,93,0,0,6,1
63,25,5.875,6.325,87,96,0,1,7,0
64,24,6.6,5.225,79,86,0,1,8,0
65,19,8.225,6.675,81,100,0,1,13,0
66,22,3.85,4.75,85,83,0,1,10,1
67,28,8.3,7,81,86,1,0,4,0
68,32,10,9.825,85,100,0,1,0,1
69,29,6.575,6.375,86,90,0,1,3,0
70,19,5.95,5.425,81,87,1,0,13,1
71,20,3.25,3.95,78,86,0,1,12,0
72,29,6.9,5.3,80,94,1,0,3,1
73,26,5.825,5.5,74,85,0,0,6,0
74,26,6.6,5.05,87,94,1,0,6,1
75,23,5.775,8.625,83,90,0,1,9,1
76,27,5.575,4.9,80,85,0,1,5,0
77,31,5.775,6.95,83,89,0,1,1,1
78,31,9.7,8.975,87,100,0,0,1,1
79,29,5.95,5,75,84,1,0,3,1
80,31,8.05,8.975,87,90,0,1,1,0
81,24,5.65,5.1,85,93,0,0,8,0
82,25,1.875,5.3,80,87,0,1,7,0
83,30,7.125,8.375,80,93,0,1,2,0
84,32,4.125,6.025,79,90,1,0,0,0
85,30,7.3,6.4,76,85,0,1,2,1
86,23,6.25,5.9,80,91,0,1,9,1
87,24,5.35,6.475,85,90,0,1,8,0
88,32,8.05,7.925,85,93,0,1,0,0
89,20,5.975,6.525,79,88,0,1,12,0
90,26,7.875,7.375,78,92,0,1,6,0
91,27,4.375,5.5,80,91,0,1,5,0
92,24,4.375,6.3,88,90,0,0,8,0
93,30,7.025,6.375,82,90,0,1,2,0
94,31,7.625,7.25,85,92,0,1,1,0
95,23,5.675,6.325,86,86,0,1,9,1
96,25,7.3,5.675,79,93,0,1,7,1
97,29,6.25,6.775,83,91,0,1,3,0
98,28,9.275,5,86,99,1,0,4,0
99,20,3.75,5.725,81,86,0,0,12,0
100,31,5.275,4.9,84,87,0,1,1,0
101,31,8.2,6.15,78,99,0,0,1,0
102,23,4,5.45,80,92,0,1,9,0
103,25,8.325,7.625,83,95,0,1,7,0
104,28,5.1,6.175,82,88,1,0,4,0
105,29,7.15,6.9,85,92,0,1,3,0
106,17,2.05,4.375,77,87,1,0,15,1
107,28,6.15,6.85,81,95,0,1,4,1
108,32,10,7.675,79,100,0,1,0,0
109,20,3.4,4.775,82,86,0,0,12,0
110,2,0,5.625,85,85,0,1,30,1
111,21,4.575,5.075,77,87,0,0,11,1
112,28,9.375,7.65,90,98,0,0,4,0
113,26,4.125,5.65,77,95,1,0,6,0
114,24,7.5,7.975,88,85,0,1,8,1
115,31,6.675,6.425,80,85,0,1,1,0
116,29,7.175,6.85,77,95,0,0,3,0
117,21,5.775,5.425,82,88,1,0,11,1
118,24,6.575,8.25,86,90,0,1,8,1
119,20,4.575,6.325,87,92,0,1,12,1
120,30,5,5.175,83,84,0,1,2,0
121,31,8.975,8.125,85,95,0,1,1,1
122,32,7.2,7.05,83,84,0,1,0,1
123,23,4.825,6.125,80,96,0,1,9,0
124,30,6.75,7.55,80,93,0,1,2,0
125,28,6.725,7.1,83,86,0,1,4,0
126,25,8.45,8.475,83,90,0,1,7,1
127,28,6.25,2.15,78,95,0,1,4,0
128,24,8.825,5.775,92,97,0,0,8,0
129,26,5.375,7.4,76,85,0,1,6,0
130,25,6.7,5.95,81,88,1,0,7,1
131,27,6.775,5.375,80,89,0,1,5,0
132,23,6.55,4.75,83,94,1,0,9,0
133,29,5.475,4.5,79,84,1,0,3,1
134,22,6.7,4.35,81,94,0,1,10,0
135,28,6.875,5.55,81,91,0,1,4,0
136,25,4,6.225,81,84,0,0,7,0
137,25,5.95,7.3,80,85,0,0,7,0
138,27,5.75,4.95,82,92,0,0,5,0
139,23,8.4,4.575,77,95,1,0,9,1
140,32,8.125,8.2,81,91,0,1,0,1
141,27,3.75,4.95,76,88,1,0,5,0
142,31,7.4,7.55,79,90,0,1,1,1
143,25,7.75,7.175,86,85,0,1,7,0
144,26,5.1,6.875,79,91,0,1,6,1
145,29,8.025,8.625,90,96,0,1,3,0
146,28,7.8,8.025,84,87,0,1,4,1
147,30,3.75,6.075,78,97,0,0,2,0
148,29,4.9,6.4,83,81,1,0,3,1
149,29,8.35,8.55,82,89,0,1,3,1
150,28,7.25,6.075,81,87,0,1,4,0
151,32,9.125,8.725,83,96,0,0,0,1
152,25,7.575,5.85,82,90,0,1,7,0
153,28,6.7,6.2,88,92,1,0,4,0
154,28,6.075,8.025,83,91,1,0,4,0
155,24,3.75,5.25,77,89,0,1,8,1
156,29,7.425,7.05,85,93,0,1,3,0
157,30,9.275,8.05,87,100,0,1,2,0
158,29,5.675,5.25,79,86,0,1,3,1
159,28,6.7,4.175,82,96,1,0,4,0
160,25,9.075,9.1,86,97,0,1,7,0
161,30,6.475,6.125,85,94,0,1,2,0
162,32,6.925,6.325,80,94,0,0,0,0
163,29,8.25,5.975,76,92,1,0,3,1
164,28,5.325,6.575,80,88,1,0,4,1
165,24,5.875,6.35,84,95,0,0,8,1
166,26,8.65,8.85,87,94,0,1,6,0
167,3,5.2,4.625,82,88,0,1,29,0
168,15,7.625,6.1,84,97,0,0,17,1
169,31,8.875,8.275,82,93,0,1,1,1
170,25,5.325,5.875,80,95,0,1,7,0
171,27,5.95,5.55,80,87,0,0,5,0
172,27,9.325,8,85,100,0,0,5,0
173,27,5.325,6.45,81,82,0,1,5,0
174,29,9.275,9.025,86,96,0,1,3,0
175,32,6.375,6.15,78,89,1,0,0,0
176,23,7.825,8.35,88,91,0,0,9,0
177,32,7.975,7.825,77,88,1,0,0,0
178,28,6.475,6.975,86,93,0,1,4,0
179,31,6.975,5.9,83,92,1,0,1,0
180,25,7.5,8.225,88,95,0,1,7,1
181,30,6.875,5.925,80,89,1,0,2,0
182,24,8.125,8.925,89,95,0,1,8,0
183,22,1.75,5.175,88,93,1,0,10,0
184,31,8.025,8,87,95,1,0,1,1
185,16,4.525,4.95,83,90,1,0,16,0
186,28,8.025,7,82,87,0,1,4,0
187,31,7.5,7.45,78,87,0,1,1,0
188,21,4.625,7.125,82,86,0,0,11,1
189,9,5,4.875,80,91,1,0,23,1
190,24,3.375,4.725,81,87,1,0,8,1
191,31,7.6,8.225,79,97,1,0,1,0
192,28,7.95,6.9,85,91,1,0,4,0
193,26,8.4,4.45,83,99,0,1,6,0
194,31,7.5,7.225,80,91,0,1,1,1
195,20,7.2,4.875,85,91,0,1,12,1
196,23,7.6,6.2,87,95,0,1,9,1
197,29,6.825,5.75,76,89,1,0,3,0
198,32,6.95,4.65,81,99,1,0,0,1
199,32,7.4,6.75,84,95,0,1,0,1
200,29,5.625,5.7,75,91,1,0,3,0
201,28,5.275,6.725,79,84,0,1,4,0
202,31,8.175,6.175,85,99,0,0,1,0
203,28,5.575,6.675,79,87,1,0,4,1
204,31,7.35,6,82,87,1,0,1,1
205,30,10,8.625,90,100,0,0,2,0
206,27,5.8,5.875,81,92,1,0,5,0
207,25,8.525,7.3,83,89,0,0,7,1
208,27,5.725,6.825,78,91,0,1,5,0
209,25,3.85,6.7,79,87,0,1,7,1
210,32,8.9,8.8,83,96,0,1,0,1
211,10,2.5,3.525,83,85,1,0,22,1
212,25,7.35,7.35,80,95,0,0,7,0
213,31,7.85,8.3,83,87,0,1,1,0
214,29,6.875,7.275,79,87,0,1,3,1
215,27,5.575,5.325,84,91,1,0,5,0
216,30,9.5,7.775,84,94,0,1,2,1
217,32,8.85,7.35,76,87,1,0,0,1
218,31,9.375,8.825,86,96,0,1,1,1
219,32,8.75,7.075,82,92,0,1,0,1
220,29,6.55,6.65,86,88,0,1,3,1
221,24,4.4,5.3,83,91,0,1,8,1
222,21,5.9,5.5,79,87,0,1,11,0
223,21,6.15,5.625,86,89,1,0,11,0
224,32,9.325,8.05,88,97,0,1,0,1
225,28,8.075,7.375,81,91,0,1,4,1
226,32,6.525,6.65,77,96,0,1,0,1
227,28,6.575,6.025,80,90,0,1,4,1
228,28,7.7,6.475,79,92,0,1,4,1
229,30,3.45,6.375,79,82,0,1,2,1
230,30,8.85,8.7,88,94,0,1,2,1
231,28,7.875,7.275,83,91,1,0,4,0
232,29,5.525,5.7,78,91,0,1,3,1
233,17,5.45,6.225,90,89,0,0,15,1
234,32,7.75,7.35,83,90,0,0,0,0
235,26,6.55,7.775,87,89,0,1,6,0
236,31,6,6.725,83,93,1,0,1,0
237,30,9,8.4,88,86,0,1,2,0
238,26,5.1,5.3,82,97,0,1,6,1
239,29,7.8,6.025,83,93,0,0,3,0
240,28,7.975,5.75,79,87,0,1,4,0
241,25,4.925,5.175,84,89,0,1,7,0
242,32,7.5,7.95,85,98,0,1,0,1
243,31,8.4,6.55,87,93,1,0,1,0
244,24,4.475,4.35,84,90,1,0,8,1
245,27,7.425,7.875,88,92,0,1,5,1
246,23,6.675,5.775,82,92,0,1,9,1
247,29,7.9,7.1,80,91,0,1,3,0
248,26,6.25,5.175,83,87,0,1,6,1
249,22,4.275,5.325,80,86,0,1,10,1
250,29,6.825,6.375,84,92,0,1,3,1
251,29,8.95,6.975,88,95,0,0,3,1
252,27,5.525,5.975,80,91,0,1,5,1
253,18,4.375,5.475,82,86,0,1,14,1
254,27,5.275,5.35,80,88,0,1,5,0
255,29,10,9.6,88,100,0,1,3,0
256,23,7.85,8.025,82,89,0,1,9,1
257,25,7.3,6.7,80,92,0,1,7,1
258,28,5.725,6.15,79,84,0,1,4,1
259,30,7.4,5.85,84,90,0,1,2,1
260,24,5.175,6.55,85,86,1,0,8,1
261,30,4.5,6.525,80,95,0,0,2,0
262,32,9.325,9.525,92,100,0,1,0,0
263,28,5.775,6.05,78,84,1,0,4,0
264,29,5.975,6.125,80,90,0,1,3,0
265,25,7.4,7.325,88,100,0,1,7,0
266,31,9.05,8.7,84,97,0,1,1,1
267,31,7.8,7.4,82,94,0,1,1,1
268,30,5.775,5.9,79,95,0,1,2,1
269,23,4.275,7.225,84,87,0,1,9,1
270,31,6.725,7.55,86,94,0,0,1,0
271,32,6.075,6.475,76,86,0,1,0,0
272,32,6.375,6.425,75,85,1,0,0,1
273,30,6.925,6.325,84,94,0,1,2,1
274,28,8.5,9.15,89,91,0,1,4,0
275,26,6.25,5.25,77,86,0,0,6,0
276,24,7.5,4.525,82,95,0,1,8,0
277,28,5.625,5.975,76,84,0,0,4,1
278,15,6.25,5.075,86,89,0,1,17,0
279,28,5.125,6.475,82,89,0,1,4,0
280,29,3.45,4.8,76,81,1,0,3,1
281,27,6.825,4.625,83,90,1,0,5,1
282,28,8.25,8.85,86,98,0,0,4,0
283,31,6.975,6.425,79,96,0,1,1,0
284,29,8.275,8.175,86,92,0,1,3,0
285,30,4.475,6.1,80,79,0,1,2,0
286,24,7.425,5.925,82,96,1,0,8,0
287,31,5.325,6.575,79,79,0,0,1,1
288,28,7.6,6.7,85,89,0,0,4,1
289,21,5.1,6.25,78,88,1,0,11,1
290,26,6.875,7.375,81,90,0,1,6,1
291,32,8.5,7.9,85,94,0,1,0,1
292,32,7.05,7.825,82,84,0,1,0,0
293,21,1.375,4.95,78,88,1,0,11,1
294,9,3.575,5.075,88,90,0,1,23,1
295,26,5.375,4.825,76,92,1,0,6,0
296,24,6.35,4.7,83,89,1,0,8,0
297,26,6.25,7.15,83,90,0,1,6,1
298,31,5.95,5.75,77,90,0,1,1,0
299,27,4.175,5.475,73,80,0,1,5,0
300,28,8.025,6.35,83,90,1,0,4,0
301,32,6.875,7.35,82,89,0,1,0,0
302,25,6.25,7.325,85,94,0,1,7,1
303,26,7.25,6.5,79,89,1,0,6,0
304,27,6.625,8.15,80,94,0,0,5,0
305,32,8.575,8.225,80,87,0,1,0,1
306,21,7.125,5.475,84,96,1,0,11,0
307,32,8.025,7.55,87,83,0,1,0,1
308,25,5.625,5.225,80,90,0,1,7,0
309,28,6.1,5.275,84,87,0,0,4,1
310,24,6.925,7.075,84,97,0,1,8,1
311,23,8.5,5.875,81,92,0,0,9,1
312,31,8.65,5.95,83,95,0,1,1,1
313,32,8.35,7.85,85,92,0,1,0,0
314,29,6.075,6.2,82,87,0,1,3,0
315,29,6.775,6.3,81,87,1,0,3,0
316,31,5.275,6.9,84,91,0,1,1,1
317,29,10,9.25,84,100,0,0,3,0
318,24,5.25,5.2,82,95,0,1,8,0
319,17,5.95,5.975,82,89,0,1,15,0
320,29,5.3,6.15,81,83,0,1,3,1
321,31,10,9.25,85,100,0,1,1,0
322,27,7.6,4.975,85,91,0,1,5,0
323,20,2.775,6.45,85,93,0,1,12,0
324,31,7.825,6.675,81,95,0,1,1,1
325,27,7.5,4.775,83,94,1,0,5,1
326,17,4.5,4.9,84,90,0,1,15,1
327,17,4.2,5.375,80,89,0,1,15,0
328,29,7.5,7.35,82,89,1,0,3,1
329,27,5.625,5.275,75,90,0,1,5,0
330,31,8.125,8.75,85,95,0,1,1,0
331,12,2.85,4.6,82,82,0,1,20,1
332,27,7.425,7.75,84,90,0,1,5,0
333,25,4.725,7,83,90,0,1,7,1
334,27,6.675,4.4,83,91,1,0,5,1
335,26,8,7.425,82,94,0,0,6,0
336,27,6.25,5.925,83,88,1,0,5,1
337,23,4.475,4.2,81,84,0,1,9,1
338,25,5,5.675,77,87,0,1,7,1
339,27,9.05,7.75,88,97,0,1,5,1
340,28,6.25,5.95,76,93,0,0,4,0
341,32,7.625,7.1,75,89,0,1,0,1
342,28,9.1,9.225,86,96,0,1,4,1
343,26,8.85,8.425,85,96,0,1,6,0
344,23,7.15,5.425,83,93,1,0,9,0
345,32,9.2,9,83,96,0,1,0,0
346,28,8.075,8.2,86,94,0,1,4,1
347,30,7.875,8.725,85,83,0,1,2,0
348,27,7.775,7.1,81,96,0,1,5,0
349,25,6.475,7.3,84,93,0,1,7,0
350,32,6.975,6.875,84,90,0,1,0,1
351,25,7.6,7.925,84,91,0,1,7,1
352,27,5.45,6.1,82,87,1,0,5,1
353,28,7.025,5.875,82,87,0,0,4,1
354,32,7.25,5.475,78,89,0,1,0,1
355,30,8.75,8.2,88,98,0,1,2,0
356,18,5.425,5.625,85,100,0,1,14,1
357,15,3.375,3.975,91,86,0,1,17,1
358,21,1.975,4.125,83,88,1,0,11,1
359,24,7.975,6.55,79,99,1,0,8,0
360,32,8.45,8.225,83,94,0,1,0,1
361,18,4.625,3.575,85,92,0,0,14,1
362,24,6.575,8.475,84,92,0,0,8,1
363,25,5.1,5.975,81,87,0,1,7,1
364,30,10,5.6,85,100,0,1,2,0
365,32,9.65,9.675,91,99,0,1,0,1
366,32,7.675,7.25,78,88,0,1,0,1
367,29,6.625,6.6,83,84,0,1,3,1
368,10,6.25,5.625,91,100,0,1,22,1
369,27,9.075,5.45,83,94,0,0,5,0
370,19,4.075,6.15,83,89,0,1,13,0
371,17,6.625,6.675,88,91,0,1,15,1
372,29,7.025,8.125,82,95,0,1,3,0
373,26,5.95,6.075,83,91,1,0,6,1
374,16,4.125,5.575,80,87,1,0,16,0
375,18,6.675,6.575,84,89,1,0,14,0
376,17,4.2,4.95,82,78,0,1,15,1
377,6,5.775,4.5,87,93,0,1,26,0
378,27,7.5,7.025,81,95,1,0,5,1
379,24,6.6,5.675,81,87,0,1,8,1
380,26,5,6.925,82,84,0,0,6,1
381,15,4.05,5.2,86,84,0,1,17,0
382,28,6.725,6.25,85,93,1,0,4,0
383,30,9.875,9.525,91,100,0,1,2,0
384,29,4.05,6.425,81,90,0,0,3,1
385,30,6.075,4.825,80,82,0,0,2,1
386,28,6.25,6.275,84,93,0,0,4,0
387,28,8.65,5,80,100,1,0,4,0
388,32,7.725,6.475,83,98,0,0,0,1
389,23,5.825,6.525,84,84,0,0,9,1
390,12,3.075,6.275,85,86,0,0,20,0
391,26,8.125,5.375,87,97,0,1,6,0
392,5,4.425,4.775,87,90,0,1,27,0
393,30,10,9.8,89,100,0,1,2,0
394,25,6.575,7.1,85,87,0,1,7,1
395,27,9.25,8.275,84,96,0,1,5,0
396,28,4.9,5.1,81,82,0,1,4,0
397,14,2.925,4.6,79,93,0,0,18,0
398,28,7.2,7.425,84,92,0,0,4,1
399,28,5.825,5.9,78,87,0,1,4,1
400,23,5,5.375,79,82,0,1,9,1
401,28,5.375,5,80,88,0,1,4,0
402,27,4.7,4.35,75,92,1,0,5,0
403,32,7.25,6.75,81,88,1,0,0,0
404,29,8.75,8.975,88,100,0,0,3,1
405,25,6.025,6.875,81,88,0,0,7,1
406,29,5.95,6.85,79,90,0,0,3,0
407,22,7.6,6.2,76,89,0,0,10,1
408,31,6.025,6.2,87,90,0,1,1,0
409,29,6.125,6.1,78,88,0,1,3,0
410,26,9.15,7.15,87,95,0,1,6,1
411,10,3.825,5.05,88,97,0,1,22,1
412,27,4.725,4.925,81,86,1,0,5,1
413,23,9.25,7.05,84,99,0,1,9,1
414,32,10,9.75,88,100,0,0,0,0
415,28,5.825,6.05,79,82,1,0,4,1
416,24,7.125,6.25,85,96,0,1,8,1
417,24,5,5.325,75,91,0,0,8,1
418,30,9.05,9.5,87,96,0,1,2,0
419,31,6,7.55,83,92,0,1,1,0
420,30,9.275,8.75,88,100,0,1,2,1
421,32,8.85,8.3,83,97,0,0,0,1
422,32,8.925,7.1,79,91,0,1,0,0
423,31,7.775,6.85,79,89,1,0,1,1
424,28,5.325,5.075,82,84,0,1,4,0
425,31,8.75,8.075,84,93,0,1,1,0
426,27,8.275,5.475,87,91,1,0,5,1
427,23,5.625,5.6,81,89,0,1,9,0
428,25,5.95,5.375,83,93,1,0,7,1
429,28,3.65,5.8,85,97,0,0,4,1
430,28,7.6,7.35,79,92,0,0,4,1
431,23,6.7,6.75,83,86,0,1,9,1
432,14,2.775,3,85,83,1,0,18,1
433,27,1.725,4.35,81,84,0,1,5,1
434,29,7.4,7,76,88,0,1,3,0
435,25,5.925,6.15,83,97,0,1,7,1
436,25,5.625,5.5,79,89,1,0,7,0
437,27,5.625,6.5,86,96,0,1,5,0
438,30,6.25,5.525,76,94,1,0,2,0
439,28,5,5.425,78,86,0,0,4,0
440,26,7.5,6.5,83,88,0,1,6,0
441,6,5.325,7.35,88,94,0,0,26,0
442,27,3.075,6.775,85,91,0,0,5,1
443,26,5,4.5,76,91,0,1,6,1
444,28,8.75,6.475,79,94,1,0,4,1
445,17,5,6.6,84,89,0,1,15,0
446,24,5.8,5.25,85,95,1,0,8,1
447,26,4.75,6.225,84,85,0,1,6,1
448,30,6.25,6.075,82,84,0,1,2,0
449,25,8.225,7.25,85,100,0,1,7,1
450,29,5,7.275,83,85,0,0,3,1
451,29,8.525,7.45,87,100,0,1,3,0
452,21,3.75,5.975,79,89,0,1,11,0
453,29,8.75,7.6,87,93,1,0,3,1
454,19,1.425,4.35,81,88,1,0,13,1
455,29,7.975,8.75,85,97,0,1,3,0
456,28,4.7,6.35,77,85,0,1,4,1
457,32,5,6.125,77,94,0,1,0,0
458,26,6.55,7.45,91,87,1,0,6,1
459,29,7.05,4.9,82,91,1,0,3,0
460,28,7.85,5.05,80,85,0,1,4,1
461,32,7.125,4.775,80,92,0,1,0,1
462,31,5.325,5.75,77,85,0,0,1,1
463,27,6.6,6.4,79,84,1,0,5,0
464,27,5.3,5.525,80,84,0,0,5,1
465,24,8.375,5.3,77,94,0,0,8,1
466,26,6.825,7.725,85,87,0,1,6,1
467,31,7.5,3.75,80,87,1,0,1,0
468,20,4.375,4.95,77,87,1,0,12,0
469,28,7.2,7.05,85,86,0,0,4,1
470,23,8.075,7.8,88,95,0,1,9,1
471,31,7.4,6.7,81,89,0,1,1,1
472,12,5.8,6.45,83,85,0,1,20,1
473,29,6.35,5.65,81,89,0,1,3,1
474,12,0.825,6.175,86,88,0,0,20,0
475,27,4.55,5.65,78,82,0,1,5,0
476,31,8.35,8.025,81,93,0,1,1,1
477,29,7.25,6.65,82,94,0,0,3,0
478,26,7.3,7.5,83,90,0,1,6,1
479,29,7.9,8.125,83,91,0,1,3,0
480,30,7.625,7.075,81,84,0,0,2,1
481,22,6.35,7.1,82,98,0,1,10,0
482,29,5.25,4.875,82,95,0,0,3,1
483,30,9.425,8.825,85,92,0,0,2,1
484,15,3.125,4.375,87,93,0,1,17,0
485,29,6.625,5.675,85,82,0,1,3,1
486,25,5.75,5.1,79,86,0,1,7,0
487,29,2.675,3.3,81,81,1,0,3,0
488,25,6.4,6.775,84,89,0,0,7,1
489,21,6.35,4.7,82,95,1,0,11,0
490,31,7.275,6.675,83,93,1,0,1,0
491,26,7.5,7.3,79,89,0,0,6,1
492,29,6.075,3.35,78,86,1,0,3,1
493,31,8.025,6.7,86,97,0,1,1,0
494,10,4,5.725,84,82,0,1,22,0
495,29,7.125,5.975,84,94,0,1,3,0
496,23,7.575,9,89,96,0,1,9,0
497,26,7.6,6.4,87,95,0,1,6,1
498,27,4.225,6.525,83,85,0,0,5,1
499,27,4.875,6.875,84,95,1,0,5,1
500,21,4.825,5.95,80,93,0,1,11,0
501,18,4.525,6.875,87,92,0,1,14,0
502,27,7.15,7.825,81,76,0,1,5,0
503,27,8.125,6.575,86,95,0,1,5,1
504,28,6.25,6.55,80,88,0,1,4,1
505,27,5.975,5.725,77,95,1,0,5,0
506,16,6.325,7.225,92,94,0,1,16,0
507,23,6.625,3.125,85,94,1,0,9,1
508,22,8.55,6.275,83,91,0,0,10,0
509,26,6.7,6.15,82,89,1,0,6,1
510,19,4.475,4.55,80,90,0,1,13,1
511,9,3.375,3.8,87,95,1,0,23,0
512,30,8.45,7.5,81,81,0,1,2,1
513,4,1.125,5.35,87,90,0,0,28,1
514,32,9.7,8.075,82,95,0,0,0,1
515,31,7.125,5.95,80,94,1,0,1,0
516,28,5.775,4.7,80,89,1,0,4,0
517,28,6.625,6.925,83,93,0,1,4,0
518,25,7.15,6.525,85,90,0,0,7,1
519,25,4.075,5.025,80,92,0,0,7,1
520,32,7.675,7.225,86,96,0,0,0,1
521,19,5.3,5.4,82,96,0,1,13,0
522,32,10,9.525,85,100,0,1,0,0
523,25,4.9,5,82,93,1,0,7,1
524,28,4.425,4.725,79,82,1,0,4,1
525,24,6.725,5.3,83,93,0,1,8,0
526,32,7.425,7.2,85,95,0,0,0,1
527,31,8.175,7.625,82,97,0,1,1,0
528,27,5.775,5.575,82,87,0,1,5,1
529,30,4.7,5.275,82,89,0,1,2,0
530,27,5.625,6.525,78,89,1,0,5,0
531,29,6.875,7.45,91,100,0,1,3,1
532,26,4.475,6.825,87,89,1,0,6,0
533,32,9.65,9.825,84,99,0,1,0,0
534,21,5.2,4.975,84,88,0,0,11,0
535,28,7.4,6.9,83,96,1,0,4,0
536,26,5.575,4.575,78,86,0,1,6,0
537,25,6.15,6.45,80,86,0,1,7,0
538,26,4.25,5.3,88,91,1,0,6,0
539,30,7.825,6.7,83,94,1,0,2,0
540,27,5.95,5.05,76,86,0,1,5,1
541,16,6.875,5.15,80,87,0,1,16,1
542,27,6.6,5.675,82,84,1,0,5,1
543,13,6.15,7.6,84,89,0,1,19,0
544,5,1.675,4,86,88,1,0,27,0
545,32,7.05,6.775,78,94,0,1,0,0
546,11,0,4.35,84,92,0,1,21,0
547,32,6.7,4.15,79,88,1,0,0,1
548,25,1.575,5.55,83,89,0,0,7,1
549,29,7.225,7.625,83,90,0,1,3,0
550,13,4.9,5.15,82,90,0,0,19,1
551,27,6.175,7.25,78,92,0,0,5,1
552,30,7.75,6.575,82,90,0,1,2,1
553,28,5.375,5.7,83,92,1,0,4,0
554,9,0.8,4.475,81,91,0,0,23,0
555,21,6.75,7,86,87,0,0,11,1
556,30,7.825,7.275,86,94,0,1,2,0
557,19,7.8,4,80,98,1,0,13,1
558,17,6.575,3.375,86,88,0,0,15,1
559,30,7.4,7.95,85,93,0,1,2,1
560,31,7,7.3,80,87,0,1,1,0
561,31,9.65,7.625,87,99,0,0,1,0
562,29,7.25,7.725,84,87,0,1,3,0
563,18,6.075,6.5,76,94,0,1,14,1
564,30,7.225,6.075,77,93,1,0,2,1
565,24,5.95,6.675,85,86,1,0,8,1
566,14,2.175,4.075,85,88,0,1,18,1
567,30,6.25,6.625,80,89,1,0,2,1
568,31,8.875,8.125,83,92,0,1,1,0
569,28,8.75,9.125,80,94,1,0,4,1
570,30,4.025,5.125,83,83,0,1,2,0
571,27,6.725,5.4,83,90,0,1,5,1
572,19,6.625,3.875,82,99,1,0,13,0
573,29,7.125,6.875,80,93,0,0,3,0
574,31,5.625,6.65,78,90,0,1,1,1
575,28,7.4,7,83,97,0,0,4,1
576,29,9.1,7.7,77,96,0,1,3,1
577,27,6.575,5.35,80,86,0,1,5,0
578,29,8.65,8.725,87,94,0,0,3,0
579,12,5,3.575,85,89,0,0,20,0
580,28,6.25,6.075,79,88,1,0,4,0
581,31,7.25,5.75,81,81,0,1,1,1
582,30,6.925,6.95,78,92,0,1,2,0
583,25,5.725,5.9,78,88,0,1,7,1
