obs,totalwork,sleephours,gender,relationship,health
73,2563,3940,Male,Married,bad
74,2763,2618,Male,Single,good
75,2048,3368,Male,Married,good
76,2418,3143,Male,Married,good
77,2420,3518,Female,Married,good
78,2735,3138,Male,Married,good
79,2163,2891,Female,Married,good
80,3556,3665,Male,Single,bad
81,1555,3848,Male,Married,good
82,3869,2618,Female,Married,good
83,2281,3023,Female,Married,good
84,2488,3438,Female,Married,good
85,1263,3191,Female,Married,bad
86,113,3773,Female,Married,good
87,2325,2908,Male,Single,good
88,388,3715,Female,Married,bad
89,3230,4290,Male,Married,good
90,2755,2948,Male,Married,bad
91,2475,3433,Male,Married,good
92,2975,3428,Male,Married,good
93,0,3435,Female,Single,bad
94,2388,3018,Male,Married,good
95,1538,3840,Male,Married,bad
96,2150,3683,Male,Married,good
97,2488,2293,Male,Married,good
98,1050,4618,Female,Married,good
99,1806,4353,Male,Married,bad
100,2113,3810,Male,Married,good
101,588,3938,Female,Married,good
102,2325,3135,Male,Married,good
103,0,3975,Female,Married,bad
104,2195,3195,Male,Single,good
105,1920,3435,Male,Married,good
106,2250,3367,Female,Married,good
107,2896,2428,Male,Married,good
108,2276,2053,Male,Married,good
109,68,3441,Female,Married,good
110,1125,3683,Male,Married,good
111,2488,4113,Male,Married,bad
112,2138,2423,Female,Single,good
113,1880,3488,Male,Married,good
114,2946,3465,Male,Married,good
115,375,3518,Female,Married,bad
116,4065,2250,Female,Married,good
117,363,4035,Female,Married,good
118,2775,2755,Male,Married,good
119,3194,2985,Male,Married,good
120,1168,5224,Female,Single,good
121,0,6110,Male,Married,good
122,1188,3566,Female,Married,good
123,2513,3116,Male,Married,good
124,1208,3181,Female,Married,good
125,1913,3613,Male,Married,good
126,3146,2400,Male,Married,good
127,2791,3023,Male,Single,good
128,2250,3263,Male,Married,good
129,2681,3188,Male,Married,good
130,1800,3038,Male,Married,good
131,2238,3248,Male,Married,bad
132,1588,3503,Male,Married,good
133,2820,3308,Male,Married,bad
134,2313,3338,Male,Married,good
135,2965,3300,Male,Married,good
136,2263,2836,Male,Married,good
137,2506,2838,Male,Single,good
138,2880,4474,Male,Single,bad
139,2326,3443,Male,Married,good
140,3075,3155,Male,Married,good
141,2463,3203,Male,Married,bad
142,1075,4135,Male,Married,good
143,3180,2700,Male,Married,bad
144,2711,3775,Male,Married,good
145,2388,3183,Male,Married,good
146,2325,3453,Male,Married,good
147,2013,4088,Female,Single,good
148,2533,3693,Male,Married,bad
149,0,3215,Female,Married,bad
150,353,3773,Female,Married,bad
151,838,3236,Male,Married,bad
152,2588,3261,Male,Married,bad
153,2188,3653,Female,Married,good
154,2353,3368,Male,Married,good
155,2288,3143,Female,Married,bad
156,1125,4210,Female,Married,good
157,2366,2888,Male,Married,good
158,1510,3725,Female,Single,good
159,3213,3300,Male,Married,good
160,3411,2895,Female,Single,good
161,1138,3440,Male,Married,good
162,3533,2771,Male,Married,good
163,2050,2115,Female,Married,bad
164,2587,2770,Female,Married,bad
165,2140,3278,Female,Single,good
166,3225,3088,Male,Married,good
167,2143,3925,Male,Single,good
168,2808,3871,Male,Single,good
169,950,3541,Female,Married,good
170,2505,4185,Female,Single,good
171,2466,3610,Male,Married,good
172,1755,3570,Female,Married,good
173,2588,4034,Female,Single,good
174,4058,3533,Male,Married,good
175,3595,3605,Male,Married,bad
176,2941,3618,Male,Married,good
177,2931,2888,Male,Married,good
178,2425,3675,Female,Single,bad
179,1578,3195,Male,Married,good
180,2276,3518,Male,Married,good
181,2775,3008,Female,Single,bad
182,2125,2970,Male,Married,good
183,1863,3108,Female,Married,bad
184,2218,3668,Female,Single,good
185,1208,3551,Male,Single,good
186,375,3228,Female,Married,bad
187,2475,3353,Female,Married,bad
188,3171,3295,Male,Married,bad
189,4805,3530,Male,Married,bad
190,1543,3090,Male,Married,good
191,2443,4025,Male,Married,good
192,2450,3203,Male,Married,good
193,1175,2956,Female,Married,bad
194,3275,3218,Male,Married,good
195,2100,2911,Female,Single,good
196,2525,4530,Female,Married,bad
197,0,4073,Female,Married,bad
198,0,3628,Male,Single,bad
199,2560,3570,Female,Married,good
200,2393,3181,Male,Married,bad
201,2666,3140,Male,Married,good
202,2701,2443,Female,Married,good
203,1470,3495,Female,Married,good
204,2535,4538,Male,Married,bad
205,2725,2993,Male,Married,bad
206,2905,3008,Male,Married,good
207,3080,3165,Male,Married,good
208,2815,2760,Male,Married,bad
209,2433,3210,Male,Married,good
210,2163,3165,Male,Single,good
211,940,3705,Female,Married,good
212,2601,3248,Female,Single,bad
213,2206,3438,Male,Single,good
214,650,3545,Female,Single,good
215,1675,3724,Male,Married,bad
216,2880,2970,Female,Single,good
217,1563,3290,Female,Single,good
218,2606,2928,Male,Single,good
219,2538,2745,Female,Married,bad
220,2026,3458,Female,Married,good
221,2698,3646,Female,Married,bad
222,2740,2916,Male,Married,good
223,2250,3496,Female,Married,good
224,2400,2668,Male,Married,good
225,3615,2820,Female,Married,good
226,2100,3608,Female,Married,bad
227,2788,3330,Male,Married,bad
228,2758,4313,Male,Married,good
229,2571,3278,Male,Married,good
230,3825,2851,Male,Married,bad
231,2575,3660,Female,Married,good
232,1971,3523,Male,Married,bad
233,4011,2580,Male,Married,good
234,1673,3813,Male,Single,good
235,3071,3533,Male,Married,good
236,2100,3255,Male,Married,good
237,1751,4367,Female,Single,bad
238,2438,3798,Male,Married,good
239,2485,2901,Male,Married,bad
