respondentid,monthlysalary,education,experience,caste,gender,marital_status
65,94604.80,14,9,Upper Caste,Male,Single
66,242957.00,14,26,Upper Caste,Male,Married
67,76000.00,16,7,Lower Caste,Female,Married
68,121600.00,12,25,Upper Caste,Male,Married
69,69433.60,16,10,Upper Caste,Male,Married
70,24320.00,12,3,Upper Caste,Female,Single
71,69433.60,16,3,Upper Caste,Female,Single
72,159053.00,17,17,Lower Caste,Male,Married
73,59705.60,12,17,Upper Caste,Male,Married
74,35385.60,12,20,Upper Caste,Female,Married
75,45600.00,12,7,Upper Caste,Female,Married
76,144704.00,13,24,Upper Caste,Male,Married
77,48640.00,12,28,Upper Caste,Female,Married
78,37696.00,12,2,Upper Caste,Female,Single
79,102752.00,12,19,Upper Caste,Male,Married
80,86822.40,18,13,Upper Caste,Male,Married
81,54720.00,9,22,Upper Caste,Male,Married
82,56544.00,16,3,Upper Caste,Male,Single
83,35264.00,10,4,Upper Caste,Female,Single
84,81107.20,12,7,Upper Caste,Male,Single
85,42560.00,12,6,Lower Caste,Female,Single
86,39641.60,12,13,Upper Caste,Female,Married
87,39520.00,12,14,Upper Caste,Female,Married
88,97280.00,12,14,Upper Caste,Female,Single
89,119776.00,8,40,Lower Caste,Male,Married
90,91200.00,12,11,Upper Caste,Male,Married
91,71865.60,12,14,Upper Caste,Male,Married
92,143002.00,14,40,Upper Caste,Male,Married
93,36480.00,12,1,Upper Caste,Female,Single
94,58489.60,12,2,Upper Caste,Female,Single
95,79040.00,12,4,Upper Caste,Female,Single
96,48640.00,9,19,Upper Caste,Female,Married
97,42560.00,13,1,Upper Caste,Male,Single
98,160026.00,12,34,Upper Caste,Male,Married
99,51680.00,14,5,Upper Caste,Male,Married
100,42560.00,12,3,Upper Caste,Male,Single
101,62380.80,15,6,Upper Caste,Female,Single
102,45600.00,12,14,Upper Caste,Female,Married
103,54720.00,12,35,Upper Caste,Female,Married
104,92780.80,12,8,Upper Caste,Female,Single
105,182400.00,14,7,Lower Caste,Male,Married
106,83296.00,15,11,Upper Caste,Female,Married
107,162093.00,12,14,Upper Caste,Male,Married
108,81107.20,12,35,Upper Caste,Male,Single
109,30764.80,12,46,Upper Caste,Female,Single
110,119168.00,17,7,Upper Caste,Male,Married
111,40979.20,11,45,Upper Caste,Male,Married
112,303757.00,18,29,Upper Caste,Male,Married
113,65664.00,12,6,Upper Caste,Male,Married
114,74297.60,14,15,Upper Caste,Male,Married
115,51072.00,14,33,Upper Caste,Female,Married
116,45600.00,10,15,Upper Caste,Male,Single
117,42560.00,14,5,Upper Caste,Female,Married
118,44262.40,12,7,Upper Caste,Male,Single
119,46208.00,15,6,Upper Caste,Male,Married
120,36480.00,8,33,Upper Caste,Female,Married
121,60800.00,16,2,Upper Caste,Female,Married
122,56300.80,14,4,Upper Caste,Female,Married
123,36480.00,15,1,Upper Caste,Male,Single
124,38912.00,12,29,Upper Caste,Female,Single
125,47545.60,18,17,Upper Caste,Male,Married
126,78188.80,16,17,Upper Caste,Female,Married
127,66636.80,10,36,Upper Caste,Female,Married
128,18240.00,8,31,Upper Caste,Male,Single
129,35264.00,10,23,Upper Caste,Female,Single
130,60800.00,11,13,Upper Caste,Male,Married
131,108467.00,18,3,Upper Caste,Male,Married
132,60800.00,15,15,Upper Caste,Male,Single
133,42803.20,12,48,Upper Caste,Male,Married
134,35264.00,11,6,Upper Caste,Female,Single
135,54720.00,12,12,Upper Caste,Male,Married
136,27360.00,12,5,Upper Caste,Female,Single
137,60800.00,14,19,Upper Caste,Male,Married
138,121600.00,16,9,Lower Caste,Male,Married
139,45600.00,2,39,Upper Caste,Male,Married
140,121600.00,14,28,Upper Caste,Female,Married
141,133152.00,16,23,Upper Caste,Male,Married
142,96064.00,12,2,Upper Caste,Male,Single
143,57395.20,12,15,Upper Caste,Female,Single
144,71014.40,13,5,Upper Caste,Female,Married
145,46572.80,12,18,Upper Caste,Female,Single
146,38912.00,15,2,Upper Caste,Female,Single
147,24320.00,10,3,Lower Caste,Female,Single
148,54720.00,12,31,Upper Caste,Female,Married
149,140448.00,16,20,Upper Caste,Female,Married
150,26022.40,13,34,Lower Caste,Female,Married
151,28940.80,9,5,Lower Caste,Male,Single
152,45600.00,12,11,Upper Caste,Male,Single
153,67123.20,13,31,Upper Caste,Male,Single
154,79040.00,12,8,Upper Caste,Female,Married
155,37696.00,12,2,Upper Caste,Female,Single
156,121600.00,14,18,Upper Caste,Male,Married
157,80620.80,16,3,Upper Caste,Male,Married
158,121600.00,16,3,Upper Caste,Male,Married
159,28089.60,9,4,Upper Caste,Female,Single
160,83660.80,18,4,Upper Caste,Male,Single
161,34412.80,10,1,Upper Caste,Male,Single
162,38060.80,10,1,Upper Caste,Female,Single
163,97280.00,13,28,Upper Caste,Male,Married
164,54720.00,12,47,Upper Caste,Female,Married
165,105184.00,18,13,Upper Caste,Female,Single
166,24320.00,13,2,Upper Caste,Female,Single
167,57760.00,12,48,Upper Caste,Female,Married
168,76000.00,13,6,Upper Caste,Female,Married
169,72960.00,13,8,Upper Caste,Male,Married
170,187021.00,13,25,Upper Caste,Male,Married
171,177293.00,18,13,Upper Caste,Female,Single
172,152000.00,12,8,Upper Caste,Male,Single
173,63840.00,12,19,Upper Caste,Female,Married
174,26387.20,13,1,Upper Caste,Female,Single
175,86822.40,12,43,Upper Caste,Female,Single
176,75635.20,12,19,Upper Caste,Female,Married
177,109440.00,12,11,Upper Caste,Female,Married
178,121600.00,14,43,Upper Caste,Male,Married
179,70163.20,10,44,Upper Caste,Male,Married
180,48640.00,12,22,Upper Caste,Female,Married
181,106400.00,16,3,Upper Caste,Male,Married
182,79404.80,16,3,Upper Caste,Female,Single
183,92416.00,12,41,Upper Caste,Female,Single
184,60800.00,14,5,Upper Caste,Male,Single
185,60800.00,12,14,Upper Caste,Female,Single
186,265818.00,12,24,Upper Caste,Male,Married
187,105062.00,12,28,Upper Caste,Male,Married
188,40128.00,12,25,Upper Caste,Male,Married
189,53990.40,12,3,Upper Caste,Male,Single
190,55328.00,12,11,Upper Caste,Male,Married
191,42560.00,12,7,Lower Caste,Female,Married
192,76000.00,16,9,Upper Caste,Male,Married
193,46816.00,16,5,Upper Caste,Male,Married
194,75148.80,14,9,Upper Caste,Female,Married
195,35385.60,11,1,Upper Caste,Female,Single
196,76000.00,16,2,Lower Caste,Female,Single
197,76000.00,12,13,Upper Caste,Female,Married
198,110048.00,12,10,Upper Caste,Male,Married
199,121600.00,17,5,Upper Caste,Male,Married
200,135098.00,12,30,Upper Caste,Male,Married
201,83660.80,12,31,Upper Caste,Male,Married
202,106400.00,16,1,Lower Caste,Male,Single
203,121600.00,8,9,Upper Caste,Male,Married
204,37088.00,12,10,Upper Caste,Female,Married
205,36480.00,12,38,Upper Caste,Female,Married
206,70528.00,12,19,Upper Caste,Female,Married
207,49856.00,16,5,Upper Caste,Female,Married
208,97280.00,12,26,Upper Caste,Male,Married
209,74784.00,12,35,Upper Caste,Female,Single
210,32832.00,9,2,Upper Caste,Female,Single
211,33440.00,13,1,Upper Caste,Female,Single
212,36480.00,16,19,Upper Caste,Female,Married
213,36480.00,14,3,Upper Caste,Female,Single
214,89497.60,8,36,Upper Caste,Male,Married
215,91200.00,14,29,Upper Caste,Male,Married
216,42560.00,13,1,Upper Caste,Male,Single
217,98496.00,12,38,Upper Caste,Female,Married
218,45600.00,18,1,Upper Caste,Male,Single
219,39520.00,9,29,Lower Caste,Male,Married
220,70892.80,8,36,Upper Caste,Female,Married
221,42560.00,8,4,Upper Caste,Male,Single
222,40492.80,12,45,Upper Caste,Female,Married
223,48640.00,14,22,Upper Caste,Female,Single
224,42560.00,12,20,Upper Caste,Female,Married
225,76000.00,16,5,Upper Caste,Male,Married
226,35872.00,8,15,Lower Caste,Female,Married
227,69433.60,13,10,Upper Caste,Female,Married
228,36480.00,9,3,Upper Caste,Female,Single
229,277978.00,16,16,Upper Caste,Male,Married
230,109440.00,12,38,Upper Caste,Male,Married
231,101293.00,15,33,Upper Caste,Male,Married
232,36480.00,11,2,Upper Caste,Male,Single
233,69920.00,14,6,Upper Caste,Male,Married
234,82201.60,12,19,Lower Caste,Male,Married
235,121600.00,12,29,Upper Caste,Male,Married
236,36480.00,12,2,Upper Caste,Male,Single
237,42560.00,18,3,Upper Caste,Female,Single
238,39520.00,12,4,Upper Caste,Male,Single
239,48640.00,12,10,Lower Caste,Female,Single
240,35507.20,12,4,Upper Caste,Female,Single
241,37209.60,12,14,Lower Caste,Female,Single
242,38912.00,12,15,Upper Caste,Female,Married
243,57760.00,12,19,Upper Caste,Male,Married
244,36480.00,14,17,Upper Caste,Female,Married
245,220826.00,16,29,Upper Caste,Male,Married
246,42560.00,12,2,Upper Caste,Female,Single
247,49977.60,14,5,Upper Caste,Male,Single
248,23833.60,11,38,Lower Caste,Female,Single
249,52166.40,12,3,Upper Caste,Female,Single
250,36480.00,10,47,Upper Caste,Male,Single
251,78432.00,12,7,Upper Caste,Male,Married
252,63232.00,6,47,Lower Caste,Male,Married
253,54720.00,13,23,Lower Caste,Female,Single
254,47180.80,12,12,Upper Caste,Male,Married
255,41952.00,10,11,Upper Caste,Female,Single
256,132666.00,12,25,Upper Caste,Male,Single
257,49856.00,14,6,Upper Caste,Female,Married
258,36480.00,13,3,Upper Caste,Male,Single
259,71744.00,12,14,Lower Caste,Male,Married
260,218880.00,18,13,Upper Caste,Female,Single
261,48640.00,12,9,Upper Caste,Male,Single
262,36480.00,12,1,Lower Caste,Male,Single
263,43168.00,12,6,Upper Caste,Female,Married
264,36480.00,12,11,Upper Caste,Female,Married
265,106400.00,12,47,Upper Caste,Male,Married
266,35264.00,8,49,Upper Caste,Female,Single
267,76121.60,13,37,Upper Caste,Female,Married
268,42560.00,13,2,Upper Caste,Female,Single
269,55936.00,14,7,Upper Caste,Female,Married
270,72960.00,12,22,Upper Caste,Male,Single
271,35142.40,10,8,Upper Caste,Female,Single
272,67852.80,16,1,Upper Caste,Male,Married
273,48640.00,12,43,Upper Caste,Female,Married
274,72960.00,16,2,Upper Caste,Male,Single
275,54720.00,12,2,Upper Caste,Female,Single
276,35507.20,14,1,Upper Caste,Male,Single
277,52652.80,18,1,Upper Caste,Male,Single
278,229702.00,17,26,Upper Caste,Male,Married
279,52044.80,13,1,Upper Caste,Female,Single
280,55571.20,14,37,Upper Caste,Female,Married
281,76000.00,15,12,Upper Caste,Female,Married
282,35872.00,14,41,Lower Caste,Male,Married
283,106400.00,12,24,Upper Caste,Male,Single
284,103360.00,8,38,Upper Caste,Male,Single
285,45600.00,12,18,Upper Caste,Female,Married
286,38304.00,12,26,Upper Caste,Male,Married
287,60800.00,8,45,Upper Caste,Male,Single
288,78553.60,12,27,Upper Caste,Male,Married
289,24320.00,9,2,Upper Caste,Male,Single
290,58246.40,12,41,Upper Caste,Male,Married
291,70284.80,16,11,Upper Caste,Male,Married
292,38668.80,12,5,Upper Caste,Female,Married
293,56908.80,16,3,Upper Caste,Female,Single
294,49856.00,12,3,Upper Caste,Female,Single
295,35385.60,12,4,Upper Caste,Male,Married
296,72960.00,13,21,Upper Caste,Male,Married
297,43776.00,10,34,Upper Caste,Female,Married
298,48032.00,6,49,Upper Caste,Male,Married
299,85120.00,12,6,Lower Caste,Male,Married
300,36480.00,12,26,Upper Caste,Female,Married
301,73932.80,16,9,Upper Caste,Male,Single
302,104941.00,12,23,Upper Caste,Male,Married
303,36480.00,8,33,Upper Caste,Male,Married
304,45600.00,12,5,Upper Caste,Female,Married
305,35264.00,6,49,Upper Caste,Male,Married
306,36480.00,4,48,Lower Caste,Male,Married
307,76000.00,11,35,Upper Caste,Male,Married
308,42560.00,11,23,Lower Caste,Female,Single
309,36480.00,7,26,Upper Caste,Female,Single
310,39398.40,12,16,Upper Caste,Female,Married
311,97523.20,18,23,Upper Caste,Female,Married
312,40492.80,12,36,Upper Caste,Female,Married
313,63840.00,16,4,Upper Caste,Male,Single
314,76000.00,12,10,Upper Caste,Male,Married
315,42560.00,14,18,Upper Caste,Male,Married
316,35872.00,12,3,Upper Caste,Male,Single
317,36480.00,10,7,Upper Caste,Female,Married
318,57030.40,10,7,Upper Caste,Male,Single
319,45356.80,9,33,Upper Caste,Female,Single
320,48640.00,10,34,Upper Caste,Male,Married
321,48640.00,12,8,Upper Caste,Female,Married
322,35264.00,12,17,Upper Caste,Female,Married
323,37088.00,12,2,Upper Caste,Female,Single
324,61408.00,10,5,Upper Caste,Female,Single
325,169632.00,16,41,Upper Caste,Male,Married
326,220826.00,16,35,Upper Caste,Male,Married
327,76000.00,16,11,Upper Caste,Male,Single
328,63840.00,12,4,Lower Caste,Male,Single
329,58246.40,12,12,Upper Caste,Female,Married
330,40736.00,7,35,Upper Caste,Female,Single
331,36480.00,8,33,Upper Caste,Male,Married
332,102509.00,16,8,Upper Caste,Male,Married
333,69312.00,16,2,Upper Caste,Male,Single
334,145677.00,18,8,Upper Caste,Male,Married
335,42560.00,13,29,Upper Caste,Female,Married
336,51558.40,10,14,Lower Caste,Male,Married
337,85120.00,16,26,Upper Caste,Female,Married
338,72960.00,14,11,Upper Caste,Female,Married
339,148595.00,16,10,Upper Caste,Male,Single
340,54720.00,12,13,Upper Caste,Male,Married
341,36480.00,9,23,Upper Caste,Female,Married
342,35264.00,11,1,Lower Caste,Male,Single
343,182400.00,11,35,Upper Caste,Male,Married
344,48640.00,12,5,Upper Caste,Male,Married
345,63840.00,11,13,Upper Caste,Male,Married
346,48640.00,12,22,Upper Caste,Male,Married
347,40128.00,12,21,Upper Caste,Female,Married
348,61408.00,12,19,Upper Caste,Female,Married
349,43532.80,12,13,Upper Caste,Male,Single
350,60800.00,14,15,Upper Caste,Male,Married
351,55571.20,14,3,Upper Caste,Male,Married
352,152000.00,18,6,Upper Caste,Male,Single
353,41952.00,12,6,Upper Caste,Female,Married
354,56300.80,12,16,Upper Caste,Female,Single
355,121600.00,12,31,Upper Caste,Male,Married
356,35507.20,11,1,Upper Caste,Female,Single
357,54841.60,12,5,Upper Caste,Male,Single
358,79040.00,17,3,Upper Caste,Male,Married
359,91200.00,16,11,Upper Caste,Male,Married
360,43046.40,13,6,Upper Caste,Female,Married
361,51072.00,13,11,Upper Caste,Female,Married
362,42681.60,12,7,Upper Caste,Female,Married
363,54720.00,14,5,Upper Caste,Male,Married
364,40736.00,14,5,Upper Caste,Female,Married
365,35385.60,11,2,Upper Caste,Male,Single
366,63840.00,10,44,Upper Caste,Male,Married
367,49248.00,8,44,Upper Caste,Male,Married
368,45600.00,14,13,Upper Caste,Female,Married
369,41344.00,12,26,Upper Caste,Female,Married
370,36480.00,10,2,Upper Caste,Female,Single
371,76486.40,17,10,Upper Caste,Male,Married
372,30886.40,9,2,Upper Caste,Female,Single
373,54720.00,12,35,Upper Caste,Female,Married
374,38060.80,12,6,Upper Caste,Female,Married
375,77337.60,14,8,Upper Caste,Male,Married
376,56908.80,16,1,Upper Caste,Male,Single
377,82688.00,12,14,Upper Caste,Male,Married
378,103725.00,10,14,Upper Caste,Male,Married
379,50707.20,0,22,Upper Caste,Female,Single
380,45600.00,14,8,Upper Caste,Female,Married
381,134976.00,15,1,Upper Caste,Female,Single
382,39641.60,16,15,Lower Caste,Female,Married
383,111021.00,12,14,Upper Caste,Male,Married
384,54720.00,11,37,Upper Caste,Male,Married
385,36480.00,11,1,Upper Caste,Female,Single
386,106400.00,12,4,Upper Caste,Male,Married
387,50342.40,13,29,Upper Caste,Female,Married
388,34899.20,12,45,Upper Caste,Female,Married
389,40736.00,13,22,Upper Caste,Female,Single
390,73932.80,16,42,Upper Caste,Male,Single
391,36480.00,15,9,Lower Caste,Male,Single
392,51072.00,16,8,Upper Caste,Female,Married
393,68096.00,15,31,Upper Caste,Female,Single
394,121600.00,12,24,Upper Caste,Male,Married
395,152000.00,18,16,Upper Caste,Male,Married
396,45721.60,6,6,Upper Caste,Male,Single
397,37696.00,6,14,Lower Caste,Female,Single
398,52166.40,12,47,Upper Caste,Female,Married
399,132787.00,12,34,Upper Caste,Male,Married
400,91200.00,16,6,Upper Caste,Female,Married
401,49248.00,9,7,Upper Caste,Female,Married
402,56544.00,12,27,Upper Caste,Male,Married
403,60800.00,11,24,Upper Caste,Male,Married
404,35264.00,10,18,Upper Caste,Female,Married
405,97280.00,12,12,Lower Caste,Female,Single
406,102509.00,8,27,Upper Caste,Male,Married
407,35507.20,9,49,Upper Caste,Female,Single
408,76000.00,17,4,Upper Caste,Female,Single
409,76000.00,16,24,Upper Caste,Female,Married
410,62137.60,11,3,Upper Caste,Male,Single
411,48640.00,10,2,Upper Caste,Female,Single
412,53990.40,8,29,Upper Caste,Male,Married
413,83660.80,13,34,Upper Caste,Male,Married
414,66028.80,14,10,Lower Caste,Male,Married
415,36480.00,13,5,Upper Caste,Female,Single
416,35264.00,11,2,Upper Caste,Female,Single
417,76000.00,7,39,Lower Caste,Male,Married
418,52774.40,16,5,Lower Caste,Female,Single
419,39520.00,12,14,Upper Caste,Female,Married
420,88281.60,13,8,Upper Caste,Male,Single
421,77216.00,14,10,Upper Caste,Female,Married
422,68460.80,16,2,Upper Caste,Male,Married
423,106400.00,14,9,Upper Caste,Male,Married
424,38912.00,11,1,Upper Caste,Male,Single
425,36480.00,8,45,Upper Caste,Female,Married
426,36480.00,14,33,Upper Caste,Female,Married
427,152000.00,17,21,Upper Caste,Male,Married
428,35020.80,10,2,Upper Caste,Female,Single
429,40736.00,12,9,Upper Caste,Male,Married
430,79040.00,12,33,Upper Caste,Male,Married
431,126221.00,18,16,Lower Caste,Male,Married
432,54720.00,14,10,Upper Caste,Male,Married
433,121600.00,18,9,Upper Caste,Male,Single
434,46329.60,12,8,Upper Caste,Female,Married
435,107008.00,16,9,Upper Caste,Male,Married
436,114547.00,14,23,Upper Caste,Female,Married
437,76972.80,12,23,Upper Caste,Male,Married
438,48640.00,9,22,Lower Caste,Male,Single
439,35264.00,12,37,Upper Caste,Female,Married
440,243200.00,12,22,Upper Caste,Male,Married
441,136800.00,17,28,Upper Caste,Male,Married
442,42560.00,12,14,Lower Caste,Female,Single
443,72960.00,15,19,Upper Caste,Female,Married
444,174861.00,17,10,Lower Caste,Male,Married
445,77337.60,16,25,Upper Caste,Male,Married
446,43168.00,12,21,Upper Caste,Female,Married
447,36480.00,15,32,Upper Caste,Male,Married
448,54720.00,16,21,Upper Caste,Male,Married
449,80620.80,12,36,Upper Caste,Female,Single
450,113088.00,15,2,Upper Caste,Male,Married
451,36480.00,12,11,Upper Caste,Female,Married
452,39520.00,12,40,Upper Caste,Female,Single
453,18240.00,12,11,Upper Caste,Female,Married
454,71744.00,12,9,Upper Caste,Female,Married
455,97280.00,16,23,Upper Caste,Male,Single
456,35264.00,11,1,Upper Caste,Female,Single
457,40006.40,14,30,Upper Caste,Male,Single
458,79040.00,14,41,Upper Caste,Male,Married
459,48640.00,13,6,Upper Caste,Female,Single
460,72960.00,14,11,Upper Caste,Male,Married
461,49612.80,12,43,Upper Caste,Female,Married
462,45600.00,12,39,Upper Caste,Female,Married
463,37088.00,8,50,Upper Caste,Female,Single
464,42560.00,12,26,Upper Caste,Female,Married
465,35507.20,3,51,Lower Caste,Male,Single
466,54720.00,11,3,Upper Caste,Male,Single
467,40736.00,15,3,Upper Caste,Female,Married
468,72352.00,11,15,Lower Caste,Male,Married
469,97280.00,12,17,Upper Caste,Male,Married
470,36480.00,4,36,Upper Caste,Male,Married
471,60800.00,9,31,Lower Caste,Male,Married
472,66880.00,12,9,Upper Caste,Male,Married
473,32224.00,12,42,Upper Caste,Female,Married
474,36480.00,11,3,Upper Caste,Female,Single
475,54720.00,12,37,Upper Caste,Female,Married
476,212800.00,16,23,Upper Caste,Male,Married
477,99468.80,13,21,Upper Caste,Male,Single
478,110534.00,15,11,Upper Caste,Male,Married
479,143731.00,16,35,Upper Caste,Male,Married
480,39520.00,12,42,Upper Caste,Female,Married
481,54720.00,12,3,Upper Caste,Male,Single
482,54720.00,12,13,Upper Caste,Male,Married
483,45113.60,9,14,Upper Caste,Male,Married
484,79040.00,10,14,Upper Caste,Male,Married
485,35264.00,12,39,Upper Caste,Female,Married
486,68096.00,11,11,Upper Caste,Male,Married
487,27116.80,8,28,Upper Caste,Male,Married
488,60800.00,6,18,Upper Caste,Female,Married
489,101293.00,16,6,Upper Caste,Male,Married
490,35264.00,12,26,Upper Caste,Female,Single
491,76000.00,12,21,Upper Caste,Male,Married
492,55328.00,16,34,Upper Caste,Male,Married
493,39884.80,12,17,Upper Caste,Female,Single
494,27968.00,10,2,Upper Caste,Female,Single
495,40128.00,13,5,Upper Caste,Female,Single
496,38304.00,13,1,Upper Caste,Female,Single
497,152000.00,14,40,Upper Caste,Male,Married
498,62624.00,16,39,Upper Caste,Female,Single
499,38060.80,10,1,Upper Caste,Male,Single
500,88160.00,12,14,Upper Caste,Male,Married
501,35264.00,12,2,Upper Caste,Female,Single
502,21280.00,11,2,Upper Caste,Male,Single
503,35142.40,0,42,Upper Caste,Female,Married
504,35264.00,5,34,Upper Caste,Female,Married
505,215354.00,16,10,Upper Caste,Male,Married
506,76000.00,16,4,Upper Caste,Male,Married
507,31616.00,9,4,Upper Caste,Male,Single
508,80620.80,15,21,Upper Caste,Female,Married
509,42560.00,12,31,Lower Caste,Female,Single
510,79040.00,12,20,Upper Caste,Male,Married
511,36480.00,12,36,Lower Caste,Female,Single
512,53260.80,13,7,Lower Caste,Male,Married
513,121600.00,12,15,Upper Caste,Male,Single
514,60192.00,7,25,Upper Caste,Male,Married
515,109440.00,17,7,Upper Caste,Female,Married
516,17388.80,12,17,Upper Caste,Female,Married
517,37452.80,12,3,Upper Caste,Male,Single
518,113453.00,14,12,Upper Caste,Male,Married
519,91200.00,12,18,Upper Caste,Male,Married
520,57760.00,13,47,Upper Caste,Male,Married
521,68704.00,12,2,Upper Caste,Male,Single
522,182400.00,16,14,Upper Caste,Female,Married
523,27603.20,10,2,Upper Caste,Female,Single
524,56787.20,15,13,Upper Caste,Male,Married
525,140570.00,16,5,Upper Caste,Male,Married
526,42560.00,14,5,Lower Caste,Female,Single
