ID,Attendance,Semester GPA,Cumulative GPA,APU Admission Test Score,Statistics Final Exam Score,1st Year UG,2nd Year UG,No of Classes Missed,Sex
103,25,3.33,3.05,83,95,0,1,7,0
104,28,2.04,2.47,82,88,1,0,4,0
105,29,2.86,2.76,85,92,0,1,3,0
106,17,0.82,1.75,77,87,1,0,15,1
107,28,2.46,2.74,81,95,0,1,4,1
108,32,4,3.07,79,100,0,1,0,0
109,20,1.36,1.91,82,86,0,0,12,0
110,2,0,2.25,85,85,0,1,30,1
111,21,1.83,2.03,77,87,0,0,11,1
112,28,3.75,3.06,90,98,0,0,4,0
113,26,1.65,2.26,77,95,1,0,6,0
114,24,3,3.19,88,85,0,1,8,1
115,31,2.67,2.57,80,85,0,1,1,0
116,29,2.87,2.74,77,95,0,0,3,0
117,21,2.31,2.17,82,88,1,0,11,1
118,24,2.63,3.3,86,90,0,1,8,1
119,20,1.83,2.53,87,92,0,1,12,1
120,30,2,2.07,83,84,0,1,2,0
121,31,3.59,3.25,85,95,0,1,1,1
122,32,2.88,2.82,83,84,0,1,0,1
123,23,1.93,2.45,80,96,0,1,9,0
124,30,2.7,3.02,80,93,0,1,2,0
125,28,2.69,2.84,83,86,0,1,4,0
126,25,3.38,3.39,83,90,0,1,7,1
127,28,2.5,0.86,78,95,0,1,4,0
128,24,3.53,2.31,92,97,0,0,8,0
129,26,2.15,2.96,76,85,0,1,6,0
130,25,2.68,2.38,81,88,1,0,7,1
131,27,2.71,2.15,80,89,0,1,5,0
132,23,2.62,1.9,83,94,1,0,9,0
133,29,2.19,1.8,79,84,1,0,3,1
134,22,2.68,1.74,81,94,0,1,10,0
135,28,2.75,2.22,81,91,0,1,4,0
136,25,1.6,2.49,81,84,0,0,7,0
137,25,2.38,2.92,80,85,0,0,7,0
138,27,2.3,1.98,82,92,0,0,5,0
139,23,3.36,1.83,77,95,1,0,9,1
140,32,3.25,3.28,81,91,0,1,0,1
141,27,1.5,1.98,76,88,1,0,5,0
142,31,2.96,3.02,79,90,0,1,1,1
143,25,3.1,2.87,86,85,0,1,7,0
144,26,2.04,2.75,79,91,0,1,6,1
145,29,3.21,3.45,90,96,0,1,3,0
146,28,3.12,3.21,84,87,0,1,4,1
147,30,1.5,2.43,78,97,0,0,2,0
148,29,1.96,2.56,83,81,1,0,3,1
149,29,3.34,3.42,82,89,0,1,3,1
150,28,2.9,2.43,81,87,0,1,4,0
151,32,3.65,3.49,83,96,0,0,0,1
152,25,3.03,2.34,82,90,0,1,7,0
153,28,2.68,2.48,88,92,1,0,4,0
154,28,2.43,3.21,83,91,1,0,4,0
155,24,1.5,2.1,77,89,0,1,8,1
156,29,2.97,2.82,85,93,0,1,3,0
157,30,3.71,3.22,87,100,0,1,2,0
158,29,2.27,2.1,79,86,0,1,3,1
159,28,2.68,1.67,82,96,1,0,4,0
160,25,3.63,3.64,86,97,0,1,7,0
161,30,2.59,2.45,85,94,0,1,2,0
162,32,2.77,2.53,80,94,0,0,0,0
163,29,3.3,2.39,76,92,1,0,3,1
164,28,2.13,2.63,80,88,1,0,4,1
165,24,2.35,2.54,84,95,0,0,8,1
166,26,3.46,3.54,87,94,0,1,6,0
167,3,2.08,1.85,82,88,0,1,29,0
168,15,3.05,2.44,84,97,0,0,17,1
169,31,3.55,3.31,82,93,0,1,1,1
170,25,2.13,2.35,80,95,0,1,7,0
171,27,2.38,2.22,80,87,0,0,5,0
172,27,3.73,3.2,85,100,0,0,5,0
173,27,2.13,2.58,81,82,0,1,5,0
174,29,3.71,3.61,86,96,0,1,3,0
175,32,2.55,2.46,78,89,1,0,0,0
176,23,3.13,3.34,88,91,0,0,9,0
177,32,3.19,3.13,77,88,1,0,0,0
178,28,2.59,2.79,86,93,0,1,4,0
179,31,2.79,2.36,83,92,1,0,1,0
180,25,3,3.29,88,95,0,1,7,1
181,30,2.75,2.37,80,89,1,0,2,0
182,24,3.25,3.57,89,95,0,1,8,0
183,22,0.7,2.07,88,93,1,0,10,0
184,31,3.21,3.2,87,95,1,0,1,1
185,16,1.81,1.98,83,90,1,0,16,0
186,28,3.21,2.8,82,87,0,1,4,0
187,31,3,2.98,78,87,0,1,1,0
188,21,1.85,2.85,82,86,0,0,11,1
189,9,2,1.95,80,91,1,0,23,1
190,24,1.35,1.89,81,87,1,0,8,1
191,31,3.04,3.29,79,97,1,0,1,0
192,28,3.18,2.76,85,91,1,0,4,0
193,26,3.36,1.78,83,99,0,1,6,0
194,31,3,2.89,80,91,0,1,1,1
195,20,2.88,1.95,85,91,0,1,12,1
196,23,3.04,2.48,87,95,0,1,9,1
197,29,2.73,2.3,76,89,1,0,3,0
198,32,2.78,1.86,81,99,1,0,0,1
199,32,2.96,2.7,84,95,0,1,0,1
200,29,2.25,2.28,75,91,1,0,3,0
201,28,2.11,2.69,79,84,0,1,4,0
202,31,3.27,2.47,85,99,0,0,1,0
203,28,2.23,2.67,79,87,1,0,4,1
204,31,2.94,2.4,82,87,1,0,1,1
205,30,4,3.45,90,100,0,0,2,0
206,27,2.32,2.35,81,92,1,0,5,0
207,25,3.41,2.92,83,89,0,0,7,1
208,27,2.29,2.73,78,91,0,1,5,0
209,25,1.54,2.68,79,87,0,1,7,1
210,32,3.56,3.52,83,96,0,1,0,1
211,10,1,1.41,83,85,1,0,22,1
212,25,2.94,2.94,80,95,0,0,7,0
213,31,3.14,3.32,83,87,0,1,1,0
214,29,2.75,2.91,79,87,0,1,3,1
215,27,2.23,2.13,84,91,1,0,5,0
216,30,3.8,3.11,84,94,0,1,2,1
217,32,3.54,2.94,76,87,1,0,0,1
218,31,3.75,3.53,86,96,0,1,1,1
219,32,3.5,2.83,82,92,0,1,0,1
220,29,2.62,2.66,86,88,0,1,3,1
221,24,1.76,2.12,83,91,0,1,8,1
222,21,2.36,2.2,79,87,0,1,11,0
223,21,2.46,2.25,86,89,1,0,11,0
224,32,3.73,3.22,88,97,0,1,0,1
225,28,3.23,2.95,81,91,0,1,4,1
226,32,2.61,2.66,77,96,0,1,0,1
227,28,2.63,2.41,80,90,0,1,4,1
228,28,3.08,2.59,79,92,0,1,4,1
229,30,1.38,2.55,79,82,0,1,2,1
230,30,3.54,3.48,88,94,0,1,2,1
231,28,3.15,2.91,83,91,1,0,4,0
232,29,2.21,2.28,78,91,0,1,3,1
233,17,2.18,2.49,90,89,0,0,15,1
234,32,3.1,2.94,83,90,0,0,0,0
235,26,2.62,3.11,87,89,0,1,6,0
236,31,2.4,2.69,83,93,1,0,1,0
237,30,3.6,3.36,88,86,0,1,2,0
238,26,2.04,2.12,82,97,0,1,6,1
239,29,3.12,2.41,83,93,0,0,3,0
240,28,3.19,2.3,79,87,0,1,4,0
241,25,1.97,2.07,84,89,0,1,7,0
242,32,3,3.18,85,98,0,1,0,1
243,31,3.36,2.62,87,93,1,0,1,0
244,24,1.79,1.74,84,90,1,0,8,1
245,27,2.97,3.15,88,92,0,1,5,1
246,23,2.67,2.31,82,92,0,1,9,1
247,29,3.16,2.84,80,91,0,1,3,0
248,26,2.5,2.07,83,87,0,1,6,1
249,22,1.71,2.13,80,86,0,1,10,1
250,29,2.73,2.55,84,92,0,1,3,1
251,29,3.58,2.79,88,95,0,0,3,1
252,27,2.21,2.39,80,91,0,1,5,1
253,18,1.75,2.19,82,86,0,1,14,1
254,27,2.11,2.14,80,88,0,1,5,0
255,29,4,3.84,88,100,0,1,3,0
256,23,3.14,3.21,82,89,0,1,9,1
257,25,2.92,2.68,80,92,0,1,7,1
258,28,2.29,2.46,79,84,0,1,4,1
259,30,2.96,2.34,84,90,0,1,2,1
260,24,2.07,2.62,85,86,1,0,8,1
261,30,1.8,2.61,80,95,0,0,2,0
262,32,3.73,3.81,92,100,0,1,0,0
263,28,2.31,2.42,78,84,1,0,4,0
264,29,2.39,2.45,80,90,0,1,3,0
265,25,2.96,2.93,88,100,0,1,7,0
266,31,3.62,3.48,84,97,0,1,1,1
267,31,3.12,2.96,82,94,0,1,1,1
268,30,2.31,2.36,79,95,0,1,2,1
269,23,1.71,2.89,84,87,0,1,9,1
270,31,2.69,3.02,86,94,0,0,1,0
271,32,2.43,2.59,76,86,0,1,0,0
272,32,2.55,2.57,75,85,1,0,0,1
273,30,2.77,2.53,84,94,0,1,2,1
274,28,3.4,3.66,89,91,0,1,4,0
275,26,2.5,2.1,77,86,0,0,6,0
276,24,3,1.81,82,95,0,1,8,0
277,28,2.25,2.39,76,84,0,0,4,1
278,15,2.5,2.03,86,89,0,1,17,0
279,28,2.05,2.59,82,89,0,1,4,0
280,29,1.38,1.92,76,81,1,0,3,1
281,27,2.73,1.85,83,90,1,0,5,1
282,28,3.3,3.54,86,98,0,0,4,0
283,31,2.79,2.57,79,96,0,1,1,0
284,29,3.31,3.27,86,92,0,1,3,0
285,30,1.79,2.44,80,79,0,1,2,0
286,24,2.97,2.37,82,96,1,0,8,0
287,31,2.13,2.63,79,79,0,0,1,1
288,28,3.04,2.68,85,89,0,0,4,1
289,21,2.04,2.5,78,88,1,0,11,1
290,26,2.75,2.95,81,90,0,1,6,1
291,32,3.4,3.16,85,94,0,1,0,1
292,32,2.82,3.13,82,84,0,1,0,0
293,21,0.55,1.98,78,88,1,0,11,1
294,9,1.43,2.03,88,90,0,1,23,1
295,26,2.15,1.93,76,92,1,0,6,0
296,24,2.54,1.88,83,89,1,0,8,0
297,26,2.5,2.86,83,90,0,1,6,1
298,31,2.38,2.3,77,90,0,1,1,0
299,27,1.67,2.19,73,80,0,1,5,0
300,28,3.21,2.54,83,90,1,0,4,0
301,32,2.75,2.94,82,89,0,1,0,0
302,25,2.5,2.93,85,94,0,1,7,1
303,26,2.9,2.6,79,89,1,0,6,0
304,27,2.65,3.26,80,94,0,0,5,0
305,32,3.43,3.29,80,87,0,1,0,1
306,21,2.85,2.19,84,96,1,0,11,0
307,32,3.21,3.02,87,83,0,1,0,1
308,25,2.25,2.09,80,90,0,1,7,0
309,28,2.44,2.11,84,87,0,0,4,1
310,24,2.77,2.83,84,97,0,1,8,1
311,23,3.4,2.35,81,92,0,0,9,1
312,31,3.46,2.38,83,95,0,1,1,1
313,32,3.34,3.14,85,92,0,1,0,0
314,29,2.43,2.48,82,87,0,1,3,0
315,29,2.71,2.52,81,87,1,0,3,0
316,31,2.11,2.76,84,91,0,1,1,1
317,29,4,3.7,84,100,0,0,3,0
318,24,2.1,2.08,82,95,0,1,8,0
319,17,2.38,2.39,82,89,0,1,15,0
320,29,2.12,2.46,81,83,0,1,3,1
321,31,4,3.7,85,100,0,1,1,0
322,27,3.04,1.99,85,91,0,1,5,0
323,20,1.11,2.58,85,93,0,1,12,0
324,31,3.13,2.67,81,95,0,1,1,1
325,27,3,1.91,83,94,1,0,5,1
326,17,1.8,1.96,84,90,0,1,15,1
327,17,1.68,2.15,80,89,0,1,15,0
328,29,3,2.94,82,89,1,0,3,1
329,27,2.25,2.11,75,90,0,1,5,0
330,31,3.25,3.5,85,95,0,1,1,0
331,12,1.14,1.84,82,82,0,1,20,1
332,27,2.97,3.1,84,90,0,1,5,0
333,25,1.89,2.8,83,90,0,1,7,1
334,27,2.67,1.76,83,91,1,0,5,1
335,26,3.2,2.97,82,94,0,0,6,0
336,27,2.5,2.37,83,88,1,0,5,1
337,23,1.79,1.68,81,84,0,1,9,1
338,25,2,2.27,77,87,0,1,7,1
339,27,3.62,3.1,88,97,0,1,5,1
340,28,2.5,2.38,76,93,0,0,4,0
341,32,3.05,2.84,75,89,0,1,0,1
342,28,3.64,3.69,86,96,0,1,4,1
343,26,3.54,3.37,85,96,0,1,6,0
344,23,2.86,2.17,83,93,1,0,9,0
345,32,3.68,3.6,83,96,0,1,0,0
346,28,3.23,3.28,86,94,0,1,4,1
347,30,3.15,3.49,85,83,0,1,2,0
348,27,3.11,2.84,81,96,0,1,5,0
349,25,2.59,2.92,84,93,0,1,7,0
350,32,2.79,2.75,84,90,0,1,0,1
351,25,3.04,3.17,84,91,0,1,7,1
352,27,2.18,2.44,82,87,1,0,5,1
353,28,2.81,2.35,82,87,0,0,4,1
354,32,2.9,2.19,78,89,0,1,0,1
355,30,3.5,3.28,88,98,0,1,2,0
356,18,2.17,2.25,85,100,0,1,14,1
357,15,1.35,1.59,91,86,0,1,17,1
358,21,0.79,1.65,83,88,1,0,11,1
359,24,3.19,2.62,79,99,1,0,8,0
360,32,3.38,3.29,83,94,0,1,0,1
361,18,1.85,1.43,85,92,0,0,14,1
362,24,2.63,3.39,84,92,0,0,8,1
363,25,2.04,2.39,81,87,0,1,7,1
364,30,4,2.24,85,100,0,1,2,0
365,32,3.86,3.87,91,99,0,1,0,1
366,32,3.07,2.9,78,88,0,1,0,1
367,29,2.65,2.64,83,84,0,1,3,1
368,10,2.5,2.25,91,100,0,1,22,1
369,27,3.63,2.18,83,94,0,0,5,0
370,19,1.63,2.46,83,89,0,1,13,0
371,17,2.65,2.67,88,91,0,1,15,1
372,29,2.81,3.25,82,95,0,1,3,0
373,26,2.38,2.43,83,91,1,0,6,1
374,16,1.65,2.23,80,87,1,0,16,0
375,18,2.67,2.63,84,89,1,0,14,0
376,17,1.68,1.98,82,78,0,1,15,1
377,6,2.31,1.8,87,93,0,1,26,0
378,27,3,2.81,81,95,1,0,5,1
379,24,2.64,2.27,81,87,0,1,8,1
380,26,2,2.77,82,84,0,0,6,1
381,15,1.62,2.08,86,84,0,1,17,0
382,28,2.69,2.5,85,93,1,0,4,0
383,30,3.95,3.81,91,100,0,1,2,0
384,29,1.62,2.57,81,90,0,0,3,1
385,30,2.43,1.93,80,82,0,0,2,1
386,28,2.5,2.51,84,93,0,0,4,0
387,28,3.46,2,80,100,1,0,4,0
388,32,3.09,2.59,83,98,0,0,0,1
389,23,2.33,2.61,84,84,0,0,9,1
390,12,1.23,2.51,85,86,0,0,20,0
391,26,3.25,2.15,87,97,0,1,6,0
392,5,1.77,1.91,87,90,0,1,27,0
393,30,4,3.92,89,100,0,1,2,0
394,25,2.63,2.84,85,87,0,1,7,1
395,27,3.7,3.31,84,96,0,1,5,0
396,28,1.96,2.04,81,82,0,1,4,0
397,14,1.17,1.84,79,93,0,0,18,0
398,28,2.88,2.97,84,92,0,0,4,1
399,28,2.33,2.36,78,87,0,1,4,1
400,23,2,2.15,79,82,0,1,9,1
401,28,2.15,2,80,88,0,1,4,0
402,27,1.88,1.74,75,92,1,0,5,0
403,32,2.9,2.7,81,88,1,0,0,0
404,29,3.5,3.59,88,100,0,0,3,1
405,25,2.41,2.75,81,88,0,0,7,1
406,29,2.38,2.74,79,90,0,0,3,0
407,22,3.04,2.48,76,89,0,0,10,1
408,31,2.41,2.48,87,90,0,1,1,0
409,29,2.45,2.44,78,88,0,1,3,0
410,26,3.66,2.86,87,95,0,1,6,1
411,10,1.53,2.02,88,97,0,1,22,1
412,27,1.89,1.97,81,86,1,0,5,1
413,23,3.7,2.82,84,99,0,1,9,1
414,32,4,3.9,88,100,0,0,0,0
415,28,2.33,2.42,79,82,1,0,4,1
416,24,2.85,2.5,85,96,0,1,8,1
417,24,2,2.13,75,91,0,0,8,1
418,30,3.62,3.8,87,96,0,1,2,0
419,31,2.4,3.02,83,92,0,1,1,0
420,30,3.71,3.5,88,100,0,1,2,1
421,32,3.54,3.32,83,97,0,0,0,1
422,32,3.57,2.84,79,91,0,1,0,0
423,31,3.11,2.74,79,89,1,0,1,1
424,28,2.13,2.03,82,84,0,1,4,0
425,31,3.5,3.23,84,93,0,1,1,0
426,27,3.31,2.19,87,91,1,0,5,1
427,23,2.25,2.24,81,89,0,1,9,0
428,25,2.38,2.15,83,93,1,0,7,1
429,28,1.46,2.32,85,97,0,0,4,1
430,28,3.04,2.94,79,92,0,0,4,1
431,23,2.68,2.7,83,86,0,1,9,1
432,14,1.11,1.2,85,83,1,0,18,1
433,27,0.69,1.74,81,84,0,1,5,1
434,29,2.96,2.8,76,88,0,1,3,0
435,25,2.37,2.46,83,97,0,1,7,1
436,25,2.25,2.2,79,89,1,0,7,0
437,27,2.25,2.6,86,96,0,1,5,0
438,30,2.5,2.21,76,94,1,0,2,0
439,28,2,2.17,78,86,0,0,4,0
440,26,3,2.6,83,88,0,1,6,0
441,6,2.13,2.94,88,94,0,0,26,0
442,27,1.23,2.71,85,91,0,0,5,1
443,26,2,1.8,76,91,0,1,6,1
444,28,3.5,2.59,79,94,1,0,4,1
445,17,2,2.64,84,89,0,1,15,0
446,24,2.32,2.1,85,95,1,0,8,1
447,26,1.9,2.49,84,85,0,1,6,1
448,30,2.5,2.43,82,84,0,1,2,0
449,25,3.29,2.9,85,100,0,1,7,1
450,29,2,2.91,83,85,0,0,3,1
451,29,3.41,2.98,87,100,0,1,3,0
452,21,1.5,2.39,79,89,0,1,11,0
453,29,3.5,3.04,87,93,1,0,3,1
454,19,0.57,1.74,81,88,1,0,13,1
455,29,3.19,3.5,85,97,0,1,3,0
456,28,1.88,2.54,77,85,0,1,4,1
457,32,2,2.45,77,94,0,1,0,0
458,26,2.62,2.98,91,87,1,0,6,1
459,29,2.82,1.96,82,91,1,0,3,0
460,28,3.14,2.02,80,85,0,1,4,1
461,32,2.85,1.91,80,92,0,1,0,1
462,31,2.13,2.3,77,85,0,0,1,1
463,27,2.64,2.56,79,84,1,0,5,0
464,27,2.12,2.21,80,84,0,0,5,1
465,24,3.35,2.12,77,94,0,0,8,1
466,26,2.73,3.09,85,87,0,1,6,1
467,31,3,1.5,80,87,1,0,1,0
468,20,1.75,1.98,77,87,1,0,12,0
469,28,2.88,2.82,85,86,0,0,4,1
470,23,3.23,3.12,88,95,0,1,9,1
471,31,2.96,2.68,81,89,0,1,1,1
472,12,2.32,2.58,83,85,0,1,20,1
473,29,2.54,2.26,81,89,0,1,3,1
474,12,0.33,2.47,86,88,0,0,20,0
475,27,1.82,2.26,78,82,0,1,5,0
476,31,3.34,3.21,81,93,0,1,1,1
477,29,2.9,2.66,82,94,0,0,3,0
478,26,2.92,3,83,90,0,1,6,1
479,29,3.16,3.25,83,91,0,1,3,0
480,30,3.05,2.83,81,84,0,0,2,1
481,22,2.54,2.84,82,98,0,1,10,0
482,29,2.1,1.95,82,95,0,0,3,1
483,30,3.77,3.53,85,92,0,0,2,1
484,15,1.25,1.75,87,93,0,1,17,0
485,29,2.65,2.27,85,82,0,1,3,1
486,25,2.3,2.04,79,86,0,1,7,0
487,29,1.07,1.32,81,81,1,0,3,0
488,25,2.56,2.71,84,89,0,0,7,1
489,21,2.54,1.88,82,95,1,0,11,0
490,31,2.91,2.67,83,93,1,0,1,0
491,26,3,2.92,79,89,0,0,6,1
492,29,2.43,1.34,78,86,1,0,3,1
493,31,3.21,2.68,86,97,0,1,1,0
494,10,1.6,2.29,84,82,0,1,22,0
495,29,2.85,2.39,84,94,0,1,3,0
496,23,3.03,3.6,89,96,0,1,9,0
497,26,3.04,2.56,87,95,0,1,6,1
498,27,1.69,2.61,83,85,0,0,5,1
499,27,1.95,2.75,84,95,1,0,5,1
500,21,1.93,2.38,80,93,0,1,11,0
501,18,1.81,2.75,87,92,0,1,14,0
502,27,2.86,3.13,81,76,0,1,5,0
503,27,3.25,2.63,86,95,0,1,5,1
504,28,2.5,2.62,80,88,0,1,4,1
505,27,2.39,2.29,77,95,1,0,5,0
506,16,2.53,2.89,92,94,0,1,16,0
507,23,2.65,1.25,85,94,1,0,9,1
508,22,3.42,2.51,83,91,0,0,10,0
509,26,2.68,2.46,82,89,1,0,6,1
510,19,1.79,1.82,80,90,0,1,13,1
511,9,1.35,1.52,87,95,1,0,23,0
512,30,3.38,3,81,81,0,1,2,1
513,4,0.45,2.14,87,90,0,0,28,1
514,32,3.88,3.23,82,95,0,0,0,1
515,31,2.85,2.38,80,94,1,0,1,0
516,28,2.31,1.88,80,89,1,0,4,0
517,28,2.65,2.77,83,93,0,1,4,0
518,25,2.86,2.61,85,90,0,0,7,1
519,25,1.63,2.01,80,92,0,0,7,1
520,32,3.07,2.89,86,96,0,0,0,1
521,19,2.12,2.16,82,96,0,1,13,0
522,32,4,3.81,85,100,0,1,0,0
523,25,1.96,2,82,93,1,0,7,1
524,28,1.77,1.89,79,82,1,0,4,1
525,24,2.69,2.12,83,93,0,1,8,0
526,32,2.97,2.88,85,95,0,0,0,1
527,31,3.27,3.05,82,97,0,1,1,0
528,27,2.31,2.23,82,87,0,1,5,1
529,30,1.88,2.11,82,89,0,1,2,0
530,27,2.25,2.61,78,89,1,0,5,0
531,29,2.75,2.98,91,100,0,1,3,1
532,26,1.79,2.73,87,89,1,0,6,0
533,32,3.86,3.93,84,99,0,1,0,0
534,21,2.08,1.99,84,88,0,0,11,0
535,28,2.96,2.76,83,96,1,0,4,0
536,26,2.23,1.83,78,86,0,1,6,0
537,25,2.46,2.58,80,86,0,1,7,0
538,26,1.7,2.12,88,91,1,0,6,0
539,30,3.13,2.68,83,94,1,0,2,0
540,27,2.38,2.02,76,86,0,1,5,1
541,16,2.75,2.06,80,87,0,1,16,1
542,27,2.64,2.27,82,84,1,0,5,1
543,13,2.46,3.04,84,89,0,1,19,0
544,5,0.67,1.6,86,88,1,0,27,0
545,32,2.82,2.71,78,94,0,1,0,0
546,11,0,1.74,84,92,0,1,21,0
547,32,2.68,1.66,79,88,1,0,0,1
548,25,0.63,2.22,83,89,0,0,7,1
549,29,2.89,3.05,83,90,0,1,3,0
550,13,1.96,2.06,82,90,0,0,19,1
551,27,2.47,2.9,78,92,0,0,5,1
552,30,3.1,2.63,82,90,0,1,2,1
553,28,2.15,2.28,83,92,1,0,4,0
554,9,0.32,1.79,81,91,0,0,23,0
555,21,2.7,2.8,86,87,0,0,11,1
556,30,3.13,2.91,86,94,0,1,2,0
557,19,3.12,1.6,80,98,1,0,13,1
558,17,2.63,1.35,86,88,0,0,15,1
559,30,2.96,3.18,85,93,0,1,2,1
560,31,2.8,2.92,80,87,0,1,1,0
561,31,3.86,3.05,87,99,0,0,1,0
562,29,2.9,3.09,84,87,0,1,3,0
563,18,2.43,2.6,76,94,0,1,14,1
564,30,2.89,2.43,77,93,1,0,2,1
565,24,2.38,2.67,85,86,1,0,8,1
566,14,0.87,1.63,85,88,0,1,18,1
567,30,2.5,2.65,80,89,1,0,2,1
568,31,3.55,3.25,83,92,0,1,1,0
569,28,3.5,3.65,80,94,1,0,4,1
570,30,1.61,2.05,83,83,0,1,2,0
571,27,2.69,2.16,83,90,0,1,5,1
572,19,2.65,1.55,82,99,1,0,13,0
573,29,2.85,2.75,80,93,0,0,3,0
574,31,2.25,2.66,78,90,0,1,1,1
575,28,2.96,2.8,83,97,0,0,4,1
576,29,3.64,3.08,77,96,0,1,3,1
577,27,2.63,2.14,80,86,0,1,5,0
578,29,3.46,3.49,87,94,0,0,3,0
579,12,2,1.43,85,89,0,0,20,0
580,28,2.5,2.43,79,88,1,0,4,0
581,31,2.9,2.3,81,81,0,1,1,1
