obs,gender,city,relationship,lwage,exper
97,female,small,married,1.470176,8
98,male,small,married,2.039921,28
99,male,small,married,1.570697,37
100,male,big,married,1.656321,31
101,male,big,married,0.7608059,24
102,male,big,married,1.501853,33
103,male,small,married,1.283708,8
104,male,small,married,1.695616,33
105,male,big,married,1.609438,30
106,male,small,married,1.906575,23
107,male,big,married,2.307573,24
108,male,small,married,1.877937,4
109,female,big,single,2.219203,40
110,female,small,single,1.530395,1
111,female,big,single,1.214913,36
112,female,small,single,1.711995,7
113,female,big,married,1.809927,7
114,female,small,single,1.607436,14
115,female,small,married,1.771557,7
116,female,small,single,1.733424,11
117,male,small,married,1.386294,6
118,female,big,married,1.927164,23
119,female,big,single,1.474763,19
120,male,small,married,1.752672,30
121,male,big,married,1.752672,21
122,male,big,married,2.510412,9
123,male,small,married,2.948641,29
124,female,big,single,2.021548,9
125,female,big,single,1.774952,18
126,female,big,single,1.851599,26
127,male,big,married,1.816452,21
128,female,small,married,0.6523252,12
129,male,small,single,1.18479,11
130,male,small,single,0.7793249,18
131,male,small,married,1.726332,22
132,female,big,single,2.228939,38
133,female,small,married,1.857859,10
134,female,small,married,2.009555,22
135,female,big,single,1.885553,16
136,female,small,married,1.906575,20
137,female,small,married,1.724551,14
138,female,big,married,1.294727,14
139,male,big,married,2.565718,15
140,male,big,single,1.941615,18
141,female,small,married,2.039921,21
142,male,small,married,1.906575,15
143,female,big,single,1.635106,10
144,female,small,married,0.7608059,6
145,female,small,married,1.510722,8
146,female,big,single,2.208274,18
147,female,small,single,2.280339,15
148,female,big,married,1.289233,11
149,female,big,married,1.975469,20
150,female,small,married,2.362739,18
151,female,small,married,1.530395,10
152,female,big,single,1.877937,26
153,female,big,single,2.494857,35
154,female,small,married,1.975469,30
155,female,small,single,1.832582,6
156,female,small,married,1.348073,13
157,female,small,married,1.108563,10
158,female,big,married,0.6981347,16
159,female,big,married,1.360977,5
160,female,big,single,1.848455,11
161,female,big,married,0.6931472,6
162,male,small,married,2.039921,22
163,female,big,single,0.9669839,4
164,female,big,married,1.609438,15
165,female,big,single,1.877937,7
166,female,small,married,1.646734,10
167,female,big,married,2.277267,8
168,female,big,married,1.033184,14
169,male,small,married,1.530395,11
170,male,small,married,1.991976,34
171,male,big,married,2.039921,12
172,male,big,married,1.181727,10
173,female,small,single,1.752672,11
174,male,small,single,1.720979,8
175,male,big,single,1.635106,28
176,male,big,married,2.690565,24
177,female,big,single,1.300192,8
178,male,big,married,2.275214,13
179,male,big,married,1.241269,4
180,male,small,married,1.851599,43
181,female,small,married,1.884035,30
182,male,big,single,2.317474,16
183,male,big,married,2.222459,19
184,male,small,married,1.909543,21
185,female,big,single,2.324347,26
186,male,small,married,1.560248,8
187,female,big,single,0.5653138,24
188,male,small,married,2.543961,15
189,male,big,married,1.766442,26
190,male,big,married,1.153732,6
191,male,small,married,1.790091,19
192,male,big,married,1.530395,4
193,male,big,married,0.5877866,23
194,male,small,married,1.783391,25
195,male,big,married,2.009555,18
196,male,small,married,2.163323,27
197,male,big,married,1.321756,16
198,male,small,married,2.039921,20
199,male,big,married,1.656321,12
200,male,big,married,2.312536,35
201,male,small,single,1.321756,36
202,male,small,married,1.756132,35
203,male,small,married,1.621367,5
204,male,small,married,2.074429,15
205,male,big,married,2.551006,44
206,male,small,married,2.135349,28
207,female,big,single,1.324419,2
208,male,small,married,1.050822,43
209,male,big,married,2.468947,30
210,male,small,married,2.039921,26
211,male,big,married,1.975469,40
212,female,small,single,1.05779,7
213,female,small,single,1.745715,10
214,male,big,married,1.501853,37
215,male,small,married,2.258633,27
216,male,big,married,1.283708,5
217,male,big,married,2.05027,14
218,male,big,single,2.222459,16
219,male,small,married,1.719189,4
220,male,big,married,1.675226,39
221,male,small,married,1.642873,32
222,male,big,married,1.857859,16
223,female,small,single,2.00148,10
224,male,small,married,1.909543,15
225,male,small,married,2.135349,10
226,female,big,single,1.528228,10
227,female,small,married,2.152924,12
228,male,big,single,1.656321,4
229,male,big,single,2.733068,12
230,female,small,married,0.8628899,15
231,female,big,single,1.905088,37
232,male,small,married,2.24071,23
233,male,small,married,2.059239,15
234,male,big,single,2.70805,10
235,female,small,married,1.547562,14
236,male,big,single,2.423031,17
237,male,small,married,2.482404,24
238,male,big,married,2.638343,13
239,female,small,married,1.098612,5
240,female,small,married,1.226712,20
241,male,small,married,2.263844,29
242,male,big,single,1.906575,10
243,male,big,married,2.263844,36
244,female,big,married,1.646734,15
245,female,big,married,1.530395,26
246,female,big,married,1.61542,13
247,male,small,married,2.286456,26
248,male,small,married,1.665818,9
249,male,small,married,2.396986,40
250,male,big,married,1.957274,28
251,male,big,single,2.100469,12
252,female,big,married,1.771557,25
253,female,small,married,2.069391,18
254,male,small,single,1.490654,9
255,male,big,married,1.893112,9
256,male,small,married,2.76001,30
257,female,big,single,2.222459,40
258,male,big,married,2.551006,36
259,male,small,married,2.651833,30
260,male,big,married,2.445819,27
261,male,small,married,2.24071,22
262,male,small,married,2.340844,40
263,male,big,married,1.711995,40
264,male,big,married,2.061787,21
265,male,big,married,2.100469,36
266,female,small,married,1.398717,16
267,male,big,married,2.055405,36
268,male,big,married,0.9400072,18
269,male,big,single,2.56341,11
270,male,small,married,3.729781,16
271,female,big,married,1.570697,12
272,male,small,married,0.2776318,2
273,male,big,single,1.311032,4
274,male,big,married,1.570697,21
275,male,big,single,1.543298,4
276,female,big,single,2.105353,32
277,female,big,single,1.393766,7
278,male,big,single,1.570697,5
279,male,big,married,2.749192,23
280,male,big,married,2.039921,23
281,male,small,married,1.969906,14
282,male,small,married,2.089392,13
283,male,small,married,2.200552,28
284,male,big,married,1.909543,35
285,male,big,married,2.132982,16
286,male,big,married,1.791759,12
287,male,big,married,1.816452,7
288,male,small,married,1.410987,25
289,male,small,married,2.651127,22
290,male,small,married,1.857859,22
291,male,small,married,3.436886,32
292,male,small,married,2.331172,35
293,male,big,married,1.621367,28
294,male,small,married,1.851599,18
295,female,small,single,1.091923,11
296,male,big,married,2.586259,40
297,male,big,married,1.435084,10
298,male,small,married,2.188296,40
299,female,big,married,0.9669839,7
300,male,big,married,3.267285,24
301,male,big,single,2.020222,36
302,male,small,married,2.157559,34
303,male,big,married,3.044046,44
304,male,small,married,2.328253,44
305,male,big,married,2.145931,30
306,male,big,married,0.7323679,23
307,male,big,single,1.098612,5
308,male,small,married,1.793425,25
309,male,small,single,2.307573,14
310,male,small,married,1.745715,5
311,male,big,married,1.780024,20
312,male,small,single,1.501853,1
313,male,big,single,1.733424,13
314,male,big,married,2.321407,15
315,male,big,married,3.044046,35
316,male,small,married,2.202765,20
317,male,small,married,1.366092,12
318,female,big,single,1.453953,7
319,female,small,single,1.011601,7
320,male,big,married,1.05779,32
321,male,small,married,1.857859,13
322,male,small,married,2.039921,15
323,female,big,single,1.321756,33
324,male,small,married,1.857859,48
325,male,small,married,2.445819,38
326,male,big,married,2.433613,28
327,female,big,married,0.7884574,18
328,female,small,single,0.5007753,24
329,male,small,single,1.885553,27
330,male,big,married,2.403335,24
331,male,small,married,0.48858,16
332,female,big,married,1.275363,44
333,male,small,married,2.510412,14
334,male,big,married,1.896119,16
335,female,big,married,2.354228,18
336,female,big,married,0.6523252,18
337,male,big,married,2.956471,15
338,male,big,married,1.975469,41
339,male,big,married,3.244153,28
340,male,small,married,1.348073,24
341,male,small,married,2.396986,13
342,male,big,married,2.304583,22
343,male,small,married,1.669592,18
344,male,small,married,1.972691,40
345,male,big,married,1.34025,17
346,male,small,married,2.263844,17
347,male,big,married,2.263844,20
348,male,big,married,1.348073,30
349,male,small,married,2.014903,30
350,male,small,married,1.934416,22
351,male,small,married,2.039921,7
352,male,small,single,2.222459,23
353,female,small,married,0.2390169,8
354,male,big,married,1.572774,31
355,male,small,married,1.909543,30
356,male,big,single,2.145931,26
357,male,big,married,1.857859,24
358,male,small,married,2.006871,12
359,female,small,married,0.2776318,37
360,female,big,single,1.570697,16
361,male,small,married,2.66375,23
362,male,big,married,0.8754688,9
363,male,small,married,1.12493,14
364,male,big,single,2.366498,8
365,male,small,married,2.039921,41
366,male,small,single,0.9321641,5
367,male,big,married,1.853168,30
368,male,big,married,1.570697,12
369,female,small,single,1.34025,24
370,male,big,married,2.00148,19
371,male,big,married,2.039921,20
372,female,big,married,2.109,23
373,male,small,single,0.9669839,3
374,male,big,married,1.669592,20
375,male,big,married,1.098612,45
376,male,small,married,1.740466,31
377,male,big,married,2.861629,23
378,male,small,single,1.358409,7
379,male,big,married,2.781301,23
380,male,small,married,2.907993,25
381,male,small,married,2.343727,28
382,male,big,married,3.208017,36
383,male,big,married,2.029463,14
384,male,small,married,2.302585,41
385,male,big,married,0.5187938,15
386,male,small,married,1.629241,34
387,male,small,married,2.043814,20
388,male,big,married,2.599722,20
389,male,big,married,2.861057,35
390,male,big,married,0.6523252,25
391,male,small,married,1.627278,38
392,female,big,single,1.851599,16
393,male,big,single,1.695616,6
394,male,big,married,1.34025,14
395,male,small,married,3.037833,34
396,male,small,single,1.824549,8
397,male,big,married,3.266522,17
398,male,small,married,0.9162908,27
399,male,small,single,2.091864,13
400,male,small,married,1.826161,42
401,male,small,married,1.656321,11
402,male,big,married,1.717395,12
403,male,small,married,2.028148,43
404,male,small,married,2.861629,18
405,male,small,single,2.312536,17
406,male,small,single,1.465567,4
407,male,big,married,1.682688,40
408,male,small,married,1.740466,14
409,male,big,married,2.75557,32
410,female,small,married,1.150572,13
411,male,small,single,2.032088,34
412,male,big,single,2.039921,10
413,male,small,single,1.272566,25
414,male,big,married,1.778336,11
415,male,small,married,2.574138,40
416,male,small,married,3.659966,29
417,female,small,single,0.6523252,30
418,male,small,married,2.314514,20
419,male,big,married,2.551006,12
420,female,small,single,1.702928,20
421,male,small,married,2.693951,29
422,male,small,married,2.321407,15
423,female,big,single,0.7466879,37
424,male,big,single,2.227861,11
425,male,small,married,1.673351,19
426,male,small,married,2.211566,13
427,male,small,married,2.291524,41
428,male,small,married,1.851599,11
429,female,small,single,1.386294,26
430,male,small,married,1.627278,7
431,male,big,married,1.635106,21
432,female,small,single,0.9042181,1
433,female,big,married,1.190888,26
434,female,big,single,1.373716,1
435,female,small,married,1.111858,12
436,female,big,married,0.8197798,3
437,female,big,married,1.205971,5
438,male,small,single,1.589235,5
439,male,small,married,1.975469,6
440,male,big,single,1.235471,1
441,female,big,married,0.8754688,6
442,male,big,married,2.111425,38
443,male,small,married,2.368373,38
444,male,big,married,1.530395,37
445,male,small,married,2.021548,26
446,male,big,married,1.909543,42
447,male,small,married,2.039921,42
448,male,small,married,1.981001,10
449,male,small,married,2.16791,16
450,male,small,married,1.530395,34
451,male,big,single,1.202972,17
452,female,small,single,1.570697,12
453,male,small,married,1.521699,24
454,female,small,married,1.408545,3
455,female,big,single,0.604316,3
456,male,small,married,1.202972,14
457,female,big,single,1.551809,3
458,male,big,married,1.118415,32
459,male,small,married,1.599388,9
460,male,small,married,2.445819,34
461,male,small,married,1.728109,5
462,female,small,married,1.398717,10
463,female,small,single,0.14842,2
464,female,big,married,1.410987,34
465,female,big,married,0.9001614,17
466,female,big,single,1.413423,10
467,female,big,married,1.809927,44
468,female,small,married,1.497388,11
469,female,big,single,1.530395,3
470,female,big,married,0.2468601,2
471,female,big,single,1.481605,25
472,female,small,married,0.2390169,12
473,female,big,single,1.373716,10
474,male,small,single,1.291984,8
475,female,small,single,1.321756,5
476,female,small,single,1.166271,12
477,female,small,married,0.9669839,6
478,male,big,married,1.729884,9
479,female,big,single,1.098612,2
480,female,big,married,0.6830968,7
481,female,big,single,1.570697,26
482,female,small,married,0.9669839,13
483,female,small,married,1.150572,27
484,male,big,single,1.835776,3
485,female,small,single,1.398717,8
486,female,small,married,0.6830968,8
487,female,small,married,0.7793249,2
488,female,big,married,0.9669839,4
489,female,small,single,0.8878913,1
490,female,big,single,0.6830968,4
491,female,big,married,1.408545,5
492,female,small,single,0.9162908,12
493,female,big,single,0.9202827,4
494,female,small,single,1.348073,7
495,male,small,single,1.635106,5
496,female,small,single,1.570697,5
497,male,small,single,1.570697,3
498,female,big,single,1.95586,8
499,female,small,single,0.8372475,3
500,female,big,single,1.358409,4
501,female,big,single,0.6830968,25
502,female,big,single,1.321756,31
503,female,big,married,0.2231435,5
504,male,big,single,2.032088,11
505,female,small,single,1.877937,8
506,male,small,married,2.5749,24
507,female,small,single,1.481605,3
508,female,small,married,2.039921,16
509,male,small,married,1.348073,7
510,male,small,married,2.039921,25
511,male,small,single,1.609438,19
512,male,small,married,2.190536,31
513,female,big,single,1.627278,7
514,female,big,single,1.150572,1
515,male,small,married,2.358965,21
516,female,big,married,1.927164,5
517,female,big,single,0.7608059,4
518,female,big,single,1.635106,15
519,female,small,married,0.6678294,10
520,female,big,married,0.6523252,8
521,female,small,married,0.9745597,18
522,female,big,married,0.9631743,10
523,female,small,single,2.068128,6
524,male,big,married,2.145931,30
525,female,big,single,2.132982,19
526,male,big,married,2.074429,30
527,male,big,single,1.975469,38
528,male,big,single,1.541159,4
529,female,small,single,1.453953,7
530,female,small,single,1.283708,4
531,female,small,single,0.6523252,2
532,female,big,married,0.5187938,5
533,female,small,married,1.495149,21
534,female,small,single,0.7466879,12
535,male,small,married,1.337629,4
536,female,small,married,1.832582,11
537,female,small,single,1.12493,5
538,male,small,married,1.684545,45
539,male,big,married,1.991976,31
540,female,big,single,1.593309,38
541,male,big,single,2.291524,35
542,female,small,married,1.091923,12
543,female,big,single,1.071584,12
544,female,small,married,1.427916,34
545,female,small,single,1.205971,20
546,female,big,single,0.8153648,3
547,female,small,single,2.314514,18
548,female,small,married,1.848455,20
549,female,big,single,2.054124,6
550,female,small,single,1.321756,9
551,female,small,married,1.278152,3
552,female,small,single,1.508512,7
553,female,small,married,1.497388,12
554,female,small,single,1.665818,12
555,female,small,single,1.665818,10
556,female,small,single,1.570697,9
557,female,big,married,0.6830968,3
558,female,big,single,1.153732,2
559,female,big,married,1.05779,40
560,female,big,married,1.244155,5
561,female,big,married,1.366092,15
562,female,big,married,1.241269,13
563,female,big,single,1.599388,10
564,female,big,single,0.7793249,2
565,female,small,single,1.410987,23
566,female,big,single,0.9631743,15
567,female,small,single,1.885553,30
568,female,big,married,1.376244,15
569,female,small,single,1.570697,11
570,female,small,single,1.321756,27
571,female,big,single,1.993339,9
572,female,big,single,1.075002,1
573,female,small,single,1.244155,15
574,female,small,married,1.729884,16
575,female,big,single,1.321756,3
576,female,small,single,1.695616,19
577,female,big,single,1.408545,18
578,female,small,married,1.321756,4
579,female,small,married,1.906575,14
580,female,small,married,1.187843,8
581,female,small,single,1.272566,10
582,male,big,married,1.793425,33
583,male,small,married,1.530395,9
584,male,big,married,1.922788,26
585,female,big,married,1.857859,15
586,male,small,married,1.235471,31
587,male,small,married,1.348073,22
588,female,big,single,1.967112,30
589,female,big,single,1.398717,3
590,male,small,single,1.068153,4
591,female,small,single,0.6523252,4
592,male,small,single,1.48614,9
593,male,big,single,2.138889,7
594,male,big,single,1.453953,3
595,male,big,married,1.202972,5
596,male,big,married,2.135349,48
597,female,small,single,2.157559,3
598,female,small,married,0.14842,5
599,female,small,married,0.6830968,5
600,female,small,married,0.9439059,3
601,female,small,single,0.9477894,6
602,female,big,married,0.9202827,10
603,female,big,married,4.353113,9
604,female,small,married,1.465567,26
605,male,small,married,1.408545,33
606,female,big,single,1.745715,12
607,female,big,single,1.570697,11
608,female,small,single,2.039921,10
609,female,small,single,1.745715,9
610,female,small,single,1.771557,17
611,male,big,married,1.451614,37
612,male,big,single,2.263844,28
613,male,small,single,2.236445,16
614,female,small,single,1.373716,2
615,female,big,married,1.745715,34
616,female,small,single,0.9555114,7
617,female,big,single,1.321756,4
618,female,small,married,1.724551,12
619,female,small,married,1.745715,20
620,female,small,married,1.348073,17
621,female,small,single,1.05779,0
622,female,small,single,1.011601,7
623,male,big,single,2.448416,13
624,female,big,single,1.465567,4
625,female,big,married,1.011601,3
626,female,small,single,1.675226,5
627,male,small,married,1.880991,19
628,male,big,married,1.543298,12
629,female,big,married,0.6830968,10
630,male,small,married,2.074429,18
631,female,big,married,1.583094,18
632,female,big,married,1.150572,44
633,male,small,single,1.832582,5
634,female,small,married,1.098612,18
635,female,small,single,1.321756,12
636,female,small,married,1.321756,6
637,female,big,single,1.877937,13
638,male,big,married,1.432701,10
639,male,big,married,1.680828,20
640,female,big,single,0.7608059,32
641,female,big,married,1.570697,32
642,female,big,married,1.261298,8
643,female,small,single,1.465567,25
644,male,small,married,1.813195,18
645,male,big,married,2.173615,31
646,male,big,married,2.105353,30
647,male,big,married,0.8712934,8
648,male,big,married,1.521699,18
649,male,big,married,1.941615,16
650,male,big,married,2.314514,29
651,male,small,married,1.321756,30
652,male,small,single,1.258461,8
653,male,big,married,2.129421,22
654,male,small,married,2.074429,15
655,male,big,married,2.109,20
656,male,big,married,1.169381,18
657,male,small,married,2.074429,36
658,male,big,single,2.157559,11
659,male,small,single,1.451614,3
660,male,big,married,2.538447,22
661,male,big,married,2.074429,16
662,male,big,married,1.249902,44
663,male,small,single,2.314514,20
664,male,small,married,1.12493,5
665,male,small,married,2.074429,8
666,male,big,single,1.011601,2
667,male,small,married,1.22083,10
668,male,small,married,1.702928,7
669,male,small,married,1.451614,11
670,male,small,married,1.742219,18
671,female,small,married,1.241269,8
672,male,small,married,2.733068,37
673,male,small,single,2.129421,12
674,male,small,married,2.314514,11
675,male,small,married,1.348073,7
676,male,big,married,1.530395,23
677,male,big,married,1.226712,5
678,male,small,married,2.358965,22
679,male,big,single,2.312536,35
680,male,small,married,2.074429,6
681,male,big,married,1.918392,14
682,male,small,married,1.975469,37
683,male,small,married,1.857859,32
684,male,big,married,1.562346,30
685,male,big,married,1.800058,10
686,male,big,married,1.321756,9
687,male,small,married,2.214846,14
688,male,big,married,1.202972,19
689,male,small,married,1.562346,6
690,male,small,married,1.756132,28
691,female,big,single,1.376244,10
692,male,big,married,1.857859,37
693,male,big,married,1.713798,41
694,male,big,married,2.544747,18
695,male,big,single,2.039921,14
696,male,big,single,2.100469,12
697,male,small,married,1.856298,26
698,female,small,married,1.272566,19
699,male,big,single,1.885553,22
700,male,small,married,2.039921,27
701,male,big,single,2.328253,27
702,male,big,married,1.957274,25
703,male,small,married,2.343727,10
704,male,small,married,2.089392,7
705,male,small,single,1.599388,7
706,male,big,married,2.283402,24
707,male,big,single,1.752672,10
708,male,small,single,1.570697,3
709,male,big,married,2.480731,28
710,male,big,married,1.811562,23
711,male,big,single,1.521699,37
712,female,big,married,0.8153648,18
713,male,small,married,1.474763,5
714,male,big,married,2.042518,42
715,female,small,single,2.074429,20
716,male,big,single,2.189416,33
717,male,small,married,2.507157,25
718,female,big,married,1.745715,14
719,male,small,married,1.98238,10
720,male,small,married,1.553925,21
721,male,big,married,1.682688,8
722,male,big,married,2.197225,42
723,male,big,married,1.591274,10
724,male,small,married,2.660959,40
725,male,big,married,2.276241,13
726,male,big,married,1.418277,39
727,male,small,married,1.321756,9
728,male,big,married,1.660131,26
729,male,big,married,3.079154,24
730,male,small,married,2.175888,14
731,male,small,married,2.100469,12
732,male,big,married,2.014903,35
733,male,big,married,1.229641,14
734,male,small,married,2.184927,18
735,male,big,married,1.425515,32
736,male,big,married,2.100469,23
737,male,small,married,2.09433,22
738,male,small,married,2.314514,29
739,male,small,married,2.525729,30
740,male,small,single,1.465567,15
741,male,big,single,1.648659,10
742,male,small,married,2.263844,12
743,male,small,married,2.774462,25
744,male,small,married,2.227861,29
745,male,big,married,1.033184,40
746,male,small,married,1.975469,34
747,male,small,married,2.079442,18
748,male,big,married,2.396986,22
749,male,big,married,1.497388,12
750,male,small,married,1.95586,10
751,male,big,married,0.5068176,15
752,male,big,married,2.070653,39
753,male,big,single,1.654411,18
754,male,small,married,2.074429,18
755,male,big,married,1.950187,16
756,male,big,married,1.321756,18
757,male,small,single,1.665818,4
758,male,small,single,1.495149,4
759,male,big,married,2.074429,39
760,male,small,married,1.695616,16
761,male,small,married,1.927164,23
762,male,small,married,2.332144,14
763,male,big,married,2.080691,12
764,male,big,married,1.832582,40
765,male,small,married,2.074429,44
766,male,small,married,1.368639,8
767,male,big,married,2.047693,23
768,male,big,single,1.458615,11
769,male,big,married,1.589235,8
770,male,small,married,1.715598,45
771,male,small,married,1.745715,19
772,male,big,married,1.740466,19
773,male,big,single,1.519513,7
774,male,big,married,1.423108,8
775,male,big,married,1.549688,34
776,male,small,married,1.975469,20
777,male,small,single,1.951608,12
778,male,big,single,0.3920421,13
779,female,big,married,1.214913,13
780,male,big,single,2.263844,4
781,male,big,single,1.321756,3
782,male,big,married,1.965713,17
783,male,big,married,1.944481,10
784,male,big,married,2.135349,26
785,male,big,married,1.560248,12
786,female,small,single,1.360977,2
787,male,small,married,1.752672,11
788,male,small,married,2.16791,19
789,male,big,single,1.880991,4
790,male,big,single,1.444563,9
791,male,big,married,1.408545,15
792,male,big,married,3.044046,25
793,male,small,married,2.039921,7
794,male,small,married,1.521699,29
795,male,small,married,1.870263,28
796,male,big,married,2.551006,3
797,male,big,married,2.263844,9
798,male,small,married,2.184927,42
799,male,big,married,2.358965,17
800,male,big,single,1.975469,29
801,male,small,single,0.5007753,7
802,male,small,married,2.358965,15
803,male,big,married,1.111858,15
804,male,small,married,1.515127,43
805,male,big,married,2.039921,44
806,male,small,married,1.098612,11
807,male,big,married,2.486572,31
808,male,big,married,1.790091,21
809,male,big,married,2.190536,35
810,male,big,single,1.386294,7
811,male,big,single,0.6830968,3
812,female,small,single,0.2390169,0
813,male,small,married,1.717395,10
814,male,small,married,1.99606,39
815,male,small,married,1.12493,5
816,male,small,married,2.265921,36
817,male,big,married,1.627278,18
818,male,small,married,2.314514,17
819,male,big,single,2.263844,40
820,male,big,married,1.752672,5
821,male,small,single,2.118662,26
822,male,big,married,1.745715,34
823,male,small,married,1.745715,11
824,male,big,married,1.975469,43
825,male,small,married,2.172476,24
826,male,small,married,2.074429,15
827,male,small,married,2.263844,11
828,male,big,married,2.008214,38
829,male,small,married,2.915606,20
830,male,small,married,2.180418,9
831,male,big,single,2.079442,7
832,male,small,married,1.745715,47
833,male,big,married,2.361797,17
834,male,big,married,1.922788,45
835,male,small,married,2.051556,9
836,male,small,single,1.437463,18
837,male,big,married,2.314514,28
838,male,big,married,1.715598,10
839,male,big,single,1.752672,24
840,male,big,married,1.348073,14
841,male,big,single,1.465567,31
842,female,big,single,1.408545,3
843,male,big,married,2.039921,9
844,male,big,married,1.943049,38
845,female,small,married,1.73871,35
846,female,small,married,0.1823216,5
847,male,small,single,2.012233,3
848,female,big,married,1.141033,5
849,male,big,married,1.724551,13
850,female,small,single,1.18479,4
851,male,small,married,1.832582,10
852,male,small,married,2.039921,10
853,female,small,single,1.386294,23
854,female,small,single,1.539015,38
855,male,big,married,1.34025,4
856,male,big,married,1.656321,13
857,female,big,married,1.635106,35
858,female,big,single,1.214913,2
859,female,small,single,1.857859,5
860,female,small,married,1.570697,13
861,male,small,married,1.724551,25
862,male,small,married,2.075685,9
863,female,big,married,1.321756,20
864,female,small,married,1.638997,10
865,male,big,married,1.752672,17
866,male,big,married,1.597365,46
867,male,small,single,1.321756,3
868,male,big,married,0.6830968,23
869,female,small,single,0.9242589,3
870,female,small,single,1.075002,42
871,male,big,married,1.627278,35
872,male,small,single,0.8754688,4
873,male,big,single,1.583094,12
874,male,small,married,1.885553,20
875,female,small,married,0.1823216,4
876,female,small,single,1.202972,8
877,female,small,single,0.6729445,1
878,male,small,married,1.004302,41
879,female,small,married,0.9669839,0
880,male,big,single,1.321756,1
881,female,big,married,1.12493,8
882,male,big,married,1.451614,44
883,male,big,married,1.504077,11
884,male,small,married,1.710188,8
885,male,big,married,1.408545,5
886,male,small,married,1.515127,5
887,male,small,married,2.93066,7
888,male,small,married,1.415853,12
889,male,big,married,1.752672,20
890,male,big,single,1.570697,3
891,male,big,married,1.752672,6
892,female,small,married,1.570697,42
893,male,small,married,2.157559,22
894,female,big,married,0.6523252,3
895,male,big,married,1.780024,29
896,male,big,married,1.793425,8
897,male,small,single,1.20896,4
898,male,big,married,1.793425,32
899,male,small,single,1.085189,2
900,male,small,married,2.381396,24
901,male,small,married,1.570697,23
902,male,big,married,2.173615,40
903,male,small,married,2.451005,14
904,male,big,single,1.570697,5
905,male,big,married,1.321756,44
906,male,big,married,1.665818,12
907,male,small,married,1.871802,9
908,male,big,married,1.7613,30
909,male,big,single,0.5822156,2
910,male,big,single,1.453953,3
911,female,big,married,0.6830968,25
912,female,small,married,0.8372475,9
913,female,big,married,1.252763,10
914,female,big,married,1.474763,2
915,female,big,married,0.8153648,23
916,female,small,single,1.321756,19
917,female,big,married,1.321756,34
918,female,big,married,0.9707789,8
919,female,small,single,0.8153648,21
920,female,big,married,0.604316,11
921,female,big,single,1.05779,20
922,female,big,single,0.6830968,10
923,female,small,married,0.6830968,27
924,female,big,married,0.6830968,25
